Código,Sí,No,Total,CO_FRACC
0201003,2263.0,7.0,2270.0,010_3
0201004,2742.0,9.0,2751.0,010_4
0201005,4119.0,24.0,4143.0,010_5
0201006,4155.0,24.0,4179.0,010_6
0201007,4013.0,28.0,4041.0,010_7
0201008,3185.0,24.0,3209.0,010_8
0201009,2992.0,16.0,3008.0,010_9
0201010,3641.0,43.0,3684.0,010_10
0201011,3508.0,115.0,3623.0,010_11
0201012,2654.0,121.0,2775.0,010_12
0201013,3163.0,29.0,3192.0,010_13
0201014,3174.0,49.0,3223.0,010_14
0201015,2600.0,64.0,2664.0,010_15
0201016,2944.0,44.0,2988.0,010_16
0201017,3124.0,17.0,3141.0,010_17
0201018,3478.0,81.0,3559.0,010_18
0201019,3873.0,210.0,4083.0,010_19
0201101,3572.0,12.0,3584.0,011_1
0201102,3424.0,7.0,3431.0,011_2
0201103,3252.0,7.0,3259.0,011_3
0201104,3779.0,11.0,3790.0,011_4
0201105,3022.0,12.0,3034.0,011_5
0201106,3426.0,11.0,3437.0,011_6
0201107,3484.0,16.0,3500.0,011_7
0201108,2925.0,8.0,2933.0,011_8
0201109,3604.0,9.0,3613.0,011_9
0201110,3531.0,12.0,3543.0,011_10
0201111,2667.0,9.0,2676.0,011_11
0201112,2681.0,17.0,2698.0,011_12
0201113,3677.0,25.0,3702.0,011_13
0201114,2769.0,4.0,2773.0,011_14
0201115,3734.0,60.0,3794.0,011_15
0201116,3035.0,20.0,3055.0,011_16
0201117,2566.0,28.0,2594.0,011_17
0201118,3016.0,59.0,3075.0,011_18
0201119,2737.0,39.0,2776.0,011_19
0201120,3150.0,37.0,3187.0,011_20
0201121,3473.0,48.0,3521.0,011_21
0201122,3422.0,63.0,3485.0,011_22
0201201,3008.0,15.0,3023.0,012_1
0201202,2849.0,20.0,2869.0,012_2
0201203,3045.0,38.0,3083.0,012_3
0201204,3057.0,21.0,3078.0,012_4
0201205,3597.0,42.0,3639.0,012_5
0201206,3276.0,8.0,3284.0,012_6
0201207,3630.0,18.0,3648.0,012_7
0201208,3809.0,22.0,3831.0,012_8
0201209,2544.0,26.0,2570.0,012_9
0201210,3651.0,47.0,3698.0,012_10
0201211,3390.0,36.0,3426.0,012_11
0201212,2868.0,11.0,2879.0,012_12
0201213,3146.0,16.0,3162.0,012_13
0201214,3878.0,15.0,3893.0,012_14
0201215,4648.0,14.0,4662.0,012_15
0201216,5461.0,27.0,5488.0,012_16
0201217,3135.0,20.0,3155.0,012_17
0201218,3987.0,24.0,4011.0,012_18
0201219,4327.0,26.0,4353.0,012_19
0201220,3149.0,29.0,3178.0,012_20
0201221,3535.0,15.0,3550.0,012_21
0201222,4056.0,11.0,4067.0,012_22
0201301,4092.0,10.0,4102.0,013_1
0201302,3879.0,33.0,3912.0,013_2
0201303,3375.0,11.0,3386.0,013_3
0201304,4869.0,55.0,4924.0,013_4
0201305,3272.0,23.0,3295.0,013_5
0201306,3047.0,34.0,3081.0,013_6
0201307,3173.0,5.0,3178.0,013_7
0201308,3542.0,14.0,3556.0,013_8
0201309,3153.0,27.0,3180.0,013_9
0201310,4083.0,36.0,4119.0,013_10
0201311,1753.0,10.0,1763.0,013_11
0201312,2888.0,12.0,2900.0,013_12
0201313,4423.0,12.0,4435.0,013_13
0201314,2978.0,9.0,2987.0,013_14
0201315,4103.0,26.0,4129.0,013_15
0201316,4300.0,20.0,4320.0,013_16
0201317,4022.0,17.0,4039.0,013_17
0201318,3111.0,12.0,3123.0,013_18
0201319,3500.0,31.0,3531.0,013_19
0201320,3743.0,9.0,3752.0,013_20
0201321,3043.0,2.0,3045.0,013_21
0201322,2854.0,4.0,2858.0,013_22
0201323,4091.0,18.0,4109.0,013_23
0201324,3054.0,17.0,3071.0,013_24
0201325,2549.0,16.0,2565.0,013_25
0201326,3174.0,78.0,3252.0,013_26
0201327,3448.0,65.0,3513.0,013_27
0201328,2962.0,57.0,3019.0,013_28
0201329,3310.0,52.0,3362.0,013_29
0201401,3749.0,35.0,3784.0,014_1
0201402,3615.0,11.0,3626.0,014_2
0201403,4215.0,6.0,4221.0,014_3
0201404,4012.0,14.0,4026.0,014_4
0201405,3644.0,37.0,3681.0,014_5
0201406,3728.0,51.0,3779.0,014_6
0201407,2761.0,31.0,2792.0,014_7
0201408,3056.0,48.0,3104.0,014_8
0201409,4976.0,16.0,4992.0,014_9
0201410,6.0,0.0,6.0,014_10
0201411,4686.0,38.0,4724.0,014_11
0201412,3118.0,97.0,3215.0,014_12
0201413,3256.0,111.0,3367.0,014_13
0201414,3577.0,39.0,3616.0,014_14
0201415,3439.0,77.0,3516.0,014_15
0201416,2653.0,10.0,2663.0,014_16
0201417,2823.0,6.0,2829.0,014_17
0201418,3119.0,8.0,3127.0,014_18
0201419,2622.0,9.0,2631.0,014_19
0201420,2917.0,10.0,2927.0,014_20
0201421,2866.0,73.0,2939.0,014_21
0201422,3518.0,66.0,3584.0,014_22
0201423,3939.0,54.0,3993.0,014_23
0201424,2723.0,14.0,2737.0,014_24
0201425,2859.0,27.0,2886.0,014_25
0201426,3287.0,7.0,3294.0,014_26
0201427,2775.0,7.0,2782.0,014_27
0201428,3785.0,5.0,3790.0,014_28
0201429,3533.0,9.0,3542.0,014_29
0201430,3520.0,17.0,3537.0,014_30
0201431,3198.0,10.0,3208.0,014_31
0201501,3531.0,11.0,3542.0,015_1
0201502,2503.0,13.0,2516.0,015_2
0201503,4127.0,37.0,4164.0,015_3
0201504,4067.0,54.0,4121.0,015_4
0201505,3922.0,28.0,3950.0,015_5
0201506,1740.0,2.0,1742.0,015_6
0201507,3459.0,163.0,3622.0,015_7
0201508,3264.0,52.0,3316.0,015_8
0201509,2237.0,142.0,2379.0,015_9
0201510,4082.0,81.0,4163.0,015_10
0201511,4159.0,86.0,4245.0,015_11
0201512,2613.0,74.0,2687.0,015_12
0201513,2785.0,31.0,2816.0,015_13
0201514,3748.0,32.0,3780.0,015_14
0201515,3301.0,52.0,3353.0,015_15
0201516,3540.0,27.0,3567.0,015_16
0201517,3867.0,30.0,3897.0,015_17
0201518,3147.0,55.0,3202.0,015_18
0201519,3671.0,17.0,3688.0,015_19
0201520,3680.0,39.0,3719.0,015_20
0201521,3942.0,54.0,3996.0,015_21
