Código,Varón,Mujer,Total,CO_FRACC
0201120,4072.0,4725.0,8797.0,011_20
0201121,4060.0,4873.0,8933.0,011_21
0201122,4453.0,5005.0,9458.0,011_22
0201201,4104.0,4473.0,8577.0,012_1
0201202,3417.0,4110.0,7527.0,012_2
0201203,4341.0,4922.0,9263.0,012_3
0201204,3797.0,4247.0,8044.0,012_4
0201205,3969.0,4668.0,8637.0,012_5
0201206,3774.0,4473.0,8247.0,012_6
0201207,4214.0,4959.0,9173.0,012_7
0201208,4393.0,5038.0,9431.0,012_8
0201209,3294.0,3640.0,6934.0,012_9
0201210,4476.0,5086.0,9562.0,012_10
0201211,4122.0,4720.0,8842.0,012_11
0201212,3091.0,3718.0,6809.0,012_12
0201213,3174.0,3898.0,7072.0,012_13
0201214,4146.0,5027.0,9173.0,012_14
0201215,5168.0,6307.0,11475.0,012_15
0201216,5773.0,6685.0,12458.0,012_16
0201217,3836.0,4322.0,8158.0,012_17
0201218,5099.0,5981.0,11080.0,012_18
0201219,5496.0,6481.0,11977.0,012_19
0201220,3737.0,4291.0,8028.0,012_20
0201221,4173.0,4795.0,8968.0,012_21
0201222,4933.0,5748.0,10681.0,012_22
0201301,4332.0,4949.0,9281.0,013_1
0201302,4238.0,4742.0,8980.0,013_2
0201303,3739.0,4257.0,7996.0,013_3
0201304,4902.0,5993.0,10895.0,013_4
0201305,3426.0,4212.0,7638.0,013_5
0201306,3208.0,3951.0,7159.0,013_6
0201307,3292.0,4118.0,7410.0,013_7
0201308,3490.0,4311.0,7801.0,013_8
0201309,3114.0,4066.0,7180.0,013_9
0201310,4094.0,4927.0,9021.0,013_10
0201311,2291.0,2557.0,4848.0,013_11
0201312,3535.0,3860.0,7395.0,013_12
0201313,4724.0,5758.0,10482.0,013_13
0201314,3120.0,3863.0,6983.0,013_14
0201315,3619.0,4941.0,8560.0,013_15
0201316,3873.0,5108.0,8981.0,013_16
0201317,4067.0,5024.0,9091.0,013_17
0201318,3601.0,4363.0,7964.0,013_18
0201319,3700.0,4652.0,8352.0,013_19
0201320,3407.0,4591.0,7998.0,013_20
0201321,3352.0,4183.0,7535.0,013_21
0201322,3194.0,4036.0,7230.0,013_22
0201323,3778.0,4866.0,8644.0,013_23
0201324,3411.0,4143.0,7554.0,013_24
0201325,2812.0,3286.0,6098.0,013_25
0201326,3606.0,4388.0,7994.0,013_26
0201327,3283.0,4366.0,7649.0,013_27
0201328,2812.0,3606.0,6418.0,013_28
0201329,3812.0,4382.0,8194.0,013_29
0201401,4052.0,5124.0,9176.0,014_1
0201402,3635.0,4674.0,8309.0,014_2
0201403,3907.0,5075.0,8982.0,014_3
0201404,4108.0,5119.0,9227.0,014_4
0201405,3813.0,4623.0,8436.0,014_5
0201406,3639.0,4256.0,7895.0,014_6
0201407,3266.0,3702.0,6968.0,014_7
0201408,3096.0,3569.0,6665.0,014_8
0201409,5129.0,5976.0,11105.0,014_9
