Código,COUNTER,1,2,Total,CO_FRAC_RA
020021604,534.0,99.0,3.0,102.0,2_16_4
020021605,822.0,188.0,6.0,194.0,2_16_5
020021606,675.0,164.0,3.0,167.0,2_16_6
020021607,770.0,181.0,3.0,184.0,2_16_7
020021608,425.0,78.0,0.0,78.0,2_16_8
020021701,1217.0,376.0,1.0,377.0,2_17_1
020021702,838.0,220.0,2.0,222.0,2_17_2
020021703,931.0,215.0,1.0,216.0,2_17_3
020021704,339.0,81.0,2.0,83.0,2_17_4
020021705,532.0,144.0,4.0,148.0,2_17_5
020021706,986.0,241.0,7.0,248.0,2_17_6
020021707,1121.0,336.0,5.0,341.0,2_17_7
020021708,913.0,292.0,7.0,299.0,2_17_8
020021709,741.0,170.0,0.0,170.0,2_17_9
020021801,891.0,267.0,7.0,274.0,2_18_1
020021802,1188.0,331.0,5.0,336.0,2_18_2
020021803,787.0,198.0,5.0,203.0,2_18_3
020021804,1185.0,170.0,2.0,172.0,2_18_4
020021805,549.0,108.0,3.0,111.0,2_18_5
020021806,744.0,186.0,4.0,190.0,2_18_6
020021807,595.0,135.0,1.0,136.0,2_18_7
020021808,912.0,181.0,9.0,190.0,2_18_8
020021901,854.0,198.0,3.0,201.0,2_19_1
020021902,675.0,161.0,2.0,163.0,2_19_2
020021903,717.0,157.0,2.0,159.0,2_19_3
020021904,997.0,225.0,12.0,237.0,2_19_4
020021905,790.0,218.0,3.0,221.0,2_19_5
020021906,745.0,261.0,4.0,265.0,2_19_6
020021907,682.0,171.0,2.0,173.0,2_19_7
020021908,831.0,209.0,1.0,210.0,2_19_8
020022001,959.0,248.0,1.0,249.0,2_20_1
020022002,822.0,241.0,5.0,246.0,2_20_2
020022003,751.0,180.0,2.0,182.0,2_20_3
020022004,841.0,216.0,4.0,220.0,2_20_4
020022005,504.0,115.0,1.0,116.0,2_20_5
020022006,637.0,175.0,3.0,178.0,2_20_6
020022007,569.0,158.0,6.0,164.0,2_20_7
020022008,671.0,161.0,6.0,167.0,2_20_8
020022101,1058.0,225.0,1.0,226.0,2_21_1
020022102,959.0,239.0,7.0,246.0,2_21_2
020022103,775.0,233.0,1.0,234.0,2_21_3
020022104,1046.0,308.0,4.0,312.0,2_21_4
020022105,984.0,286.0,4.0,290.0,2_21_5
020022106,926.0,263.0,9.0,272.0,2_21_6
020022201,699.0,189.0,5.0,194.0,2_22_1
020022202,534.0,126.0,2.0,128.0,2_22_2
020022203,439.0,108.0,1.0,109.0,2_22_3
020022204,959.0,248.0,3.0,251.0,2_22_4
020022205,1093.0,270.0,8.0,278.0,2_22_5
020022206,1016.0,313.0,6.0,319.0,2_22_6
020022301,1079.0,186.0,3.0,189.0,2_23_1
020022302,1025.0,269.0,3.0,272.0,2_23_2
020022303,928.0,238.0,5.0,243.0,2_23_3
020022304,849.0,201.0,4.0,205.0,2_23_4
020022305,650.0,148.0,2.0,150.0,2_23_5
020022306,406.0,99.0,0.0,99.0,2_23_6
020022307,456.0,108.0,2.0,110.0,2_23_7
020022308,445.0,103.0,11.0,114.0,2_23_8
020022309,943.0,213.0,1.0,214.0,2_23_9
020022401,1012.0,223.0,4.0,227.0,2_24_1
020022402,787.0,173.0,3.0,176.0,2_24_2
020022403,795.0,170.0,1.0,171.0,2_24_3
020022404,1050.0,209.0,7.0,216.0,2_24_4
020022405,922.0,255.0,3.0,258.0,2_24_5
020022406,968.0,257.0,5.0,262.0,2_24_6
020022501,570.0,170.0,0.0,170.0,2_25_1
020022502,647.0,199.0,4.0,203.0,2_25_2
020022503,743.0,81.0,3.0,84.0,2_25_3
020022504,757.0,188.0,4.0,192.0,2_25_4
020022505,930.0,228.0,2.0,230.0,2_25_5
020022506,759.0,173.0,18.0,191.0,2_25_6
020022507,768.0,192.0,6.0,198.0,2_25_7
020022508,1222.0,279.0,9.0,288.0,2_25_8
020022509,775.0,238.0,3.0,241.0,2_25_9
020022510,605.0,143.0,1.0,144.0,2_25_10
020022511,1037.0,270.0,5.0,275.0,2_25_11
020030101,1026.0,242.0,11.0,253.0,3_1_1
020030102,903.0,235.0,18.0,253.0,3_1_2
020030103,960.0,230.0,11.0,241.0,3_1_3
020030104,490.0,128.0,7.0,135.0,3_1_4
020030105,909.0,152.0,10.0,162.0,3_1_5
