Código,Primario,EGB,Secundario,Superior no universitario,Universitario,Post universitario,Total
020152103,68.0,0.0,106.0,44.0,88.0,15.0,321.0
020152104,65.0,0.0,101.0,67.0,110.0,32.0,375.0
020152105,42.0,0.0,75.0,28.0,47.0,9.0,201.0
020152106,78.0,0.0,176.0,73.0,156.0,30.0,513.0
020152107,32.0,0.0,57.0,32.0,62.0,10.0,193.0
020152108,43.0,0.0,82.0,51.0,101.0,14.0,291.0
020152109,83.0,0.0,137.0,75.0,120.0,13.0,428.0
020152110,50.0,0.0,80.0,32.0,109.0,18.0,289.0
020152111,50.0,0.0,92.0,52.0,160.0,23.0,377.0
020152112,48.0,0.0,85.0,32.0,54.0,12.0,231.0
020152113,88.0,0.0,146.0,88.0,123.0,17.0,462.0
