Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRAC_RA
020011907,219.0,106.0,325.0,1_19_7
020011908,57.0,103.0,160.0,1_19_8
020011909,216.0,7.0,223.0,1_19_9
020012001,191.0,68.0,259.0,1_20_1
020012002,267.0,31.0,298.0,1_20_2
020012003,217.0,21.0,238.0,1_20_3
020012004,299.0,44.0,343.0,1_20_4
020012005,346.0,6.0,352.0,1_20_5
020012006,278.0,58.0,336.0,1_20_6
020012007,202.0,5.0,207.0,1_20_7
020012008,153.0,65.0,218.0,1_20_8
020012009,226.0,21.0,247.0,1_20_9
020012010,238.0,78.0,316.0,1_20_10
020012101,188.0,78.0,266.0,1_21_1
020012102,207.0,59.0,266.0,1_21_2
020012103,116.0,54.0,170.0,1_21_3
020012104,305.0,195.0,500.0,1_21_4
020012105,219.0,56.0,275.0,1_21_5
020012106,194.0,70.0,264.0,1_21_6
020012107,221.0,111.0,332.0,1_21_7
020012108,202.0,38.0,240.0,1_21_8
020012109,297.0,31.0,328.0,1_21_9
020012110,311.0,65.0,376.0,1_21_10
020012201,260.0,1.0,261.0,1_22_1
020012202,380.0,42.0,422.0,1_22_2
020012203,295.0,76.0,371.0,1_22_3
020012204,177.0,30.0,207.0,1_22_4
020012205,186.0,0.0,186.0,1_22_5
020012206,220.0,39.0,259.0,1_22_6
020012207,228.0,40.0,268.0,1_22_7
020012208,224.0,52.0,276.0,1_22_8
020012209,309.0,68.0,377.0,1_22_9
020012210,497.0,85.0,582.0,1_22_10
020012301,269.0,3.0,272.0,1_23_1
020012302,218.0,1.0,219.0,1_23_2
020012303,345.0,28.0,373.0,1_23_3
020012304,98.0,33.0,131.0,1_23_4
020012305,182.0,46.0,228.0,1_23_5
020012306,213.0,1.0,214.0,1_23_6
020012307,169.0,96.0,265.0,1_23_7
020012308,252.0,63.0,315.0,1_23_8
020012309,387.0,18.0,405.0,1_23_9
020012310,99.0,51.0,150.0,1_23_10
020012401,91.0,22.0,113.0,1_24_1
020012402,144.0,1.0,145.0,1_24_2
020012403,191.0,9.0,200.0,1_24_3
020012404,149.0,19.0,168.0,1_24_4
020012405,157.0,11.0,168.0,1_24_5
020012406,363.0,2.0,365.0,1_24_6
020012407,248.0,13.0,261.0,1_24_7
020012408,160.0,24.0,184.0,1_24_8
020012501,162.0,13.0,175.0,1_25_1
020012502,177.0,2.0,179.0,1_25_2
020012503,219.0,2.0,221.0,1_25_3
020012504,427.0,3.0,430.0,1_25_4
020012505,222.0,4.0,226.0,1_25_5
020012506,274.0,77.0,351.0,1_25_6
020012507,187.0,6.0,193.0,1_25_7
020012508,308.0,13.0,321.0,1_25_8
020012509,132.0,80.0,212.0,1_25_9
020012510,215.0,12.0,227.0,1_25_10
020012511,225.0,27.0,252.0,1_25_11
