Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRAC_RA
020060108,292.0,18.0,310.0,6_1_8
020060109,220.0,7.0,227.0,6_1_9
020060110,144.0,1.0,145.0,6_1_10
020060111,251.0,2.0,253.0,6_1_11
020060112,277.0,15.0,292.0,6_1_12
020060201,378.0,9.0,387.0,6_2_1
020060202,334.0,0.0,334.0,6_2_2
020060203,233.0,10.0,243.0,6_2_3
020060204,235.0,12.0,247.0,6_2_4
020060205,226.0,0.0,226.0,6_2_5
020060206,334.0,8.0,342.0,6_2_6
020060207,342.0,4.0,346.0,6_2_7
020060208,362.0,6.0,368.0,6_2_8
020060209,249.0,3.0,252.0,6_2_9
020060210,329.0,5.0,334.0,6_2_10
020060211,494.0,14.0,508.0,6_2_11
020060301,353.0,14.0,367.0,6_3_1
020060302,276.0,27.0,303.0,6_3_2
020060303,344.0,5.0,349.0,6_3_3
020060304,242.0,1.0,243.0,6_3_4
020060305,255.0,5.0,260.0,6_3_5
020060306,352.0,4.0,356.0,6_3_6
020060307,368.0,2.0,370.0,6_3_7
020060308,297.0,8.0,305.0,6_3_8
020060309,444.0,7.0,451.0,6_3_9
020060310,390.0,3.0,393.0,6_3_10
020060401,207.0,1.0,208.0,6_4_1
020060402,225.0,2.0,227.0,6_4_2
020060403,321.0,18.0,339.0,6_4_3
020060404,317.0,2.0,319.0,6_4_4
020060405,286.0,2.0,288.0,6_4_5
020060406,320.0,2.0,322.0,6_4_6
020060407,241.0,1.0,242.0,6_4_7
020060408,360.0,10.0,370.0,6_4_8
020060409,314.0,8.0,322.0,6_4_9
020060410,329.0,10.0,339.0,6_4_10
020060411,344.0,1.0,345.0,6_4_11
020060501,382.0,1.0,383.0,6_5_1
020060502,452.0,1.0,453.0,6_5_2
020060503,360.0,12.0,372.0,6_5_3
020060504,288.0,5.0,293.0,6_5_4
020060505,375.0,17.0,392.0,6_5_5
020060506,300.0,4.0,304.0,6_5_6
020060507,331.0,3.0,334.0,6_5_7
020060508,205.0,0.0,205.0,6_5_8
020060509,236.0,1.0,237.0,6_5_9
020060510,405.0,2.0,407.0,6_5_10
020060511,413.0,3.0,416.0,6_5_11
020060512,136.0,23.0,159.0,6_5_12
020060601,541.0,5.0,546.0,6_6_1
020060602,788.0,4.0,792.0,6_6_2
020060603,505.0,4.0,509.0,6_6_3
020060604,225.0,1.0,226.0,6_6_4
020060605,199.0,2.0,201.0,6_6_5
020060606,326.0,7.0,333.0,6_6_6
020060607,346.0,4.0,350.0,6_6_7
020060608,399.0,9.0,408.0,6_6_8
020060609,356.0,0.0,356.0,6_6_9
020060701,277.0,3.0,280.0,6_7_1
020060702,340.0,3.0,343.0,6_7_2
020060703,273.0,5.0,278.0,6_7_3
020060704,362.0,10.0,372.0,6_7_4
020060705,356.0,3.0,359.0,6_7_5
020060706,230.0,30.0,260.0,6_7_6
020060707,383.0,16.0,399.0,6_7_7
020060708,281.0,26.0,307.0,6_7_8
020060709,319.0,1.0,320.0,6_7_9
020060710,325.0,1.0,326.0,6_7_10
020060711,262.0,31.0,293.0,6_7_11
020060712,284.0,2.0,286.0,6_7_12
020060713,235.0,1.0,236.0,6_7_13
020060801,340.0,15.0,355.0,6_8_1
020060802,418.0,39.0,457.0,6_8_2
020060803,260.0,0.0,260.0,6_8_3
020060804,299.0,1.0,300.0,6_8_4
020060805,223.0,28.0,251.0,6_8_5
020060806,508.0,25.0,533.0,6_8_6
020060807,281.0,38.0,319.0,6_8_7
020060808,483.0,26.0,509.0,6_8_8
020060809,237.0,29.0,266.0,6_8_9
020060810,332.0,2.0,334.0,6_8_10
020060901,294.0,3.0,297.0,6_9_1
020060902,260.0,0.0,260.0,6_9_2
020060903,290.0,3.0,293.0,6_9_3
020060904,428.0,2.0,430.0,6_9_4
020060905,170.0,0.0,170.0,6_9_5
020060906,379.0,2.0,381.0,6_9_6
020060907,201.0,48.0,249.0,6_9_7
020060908,194.0,2.0,196.0,6_9_8
020060909,350.0,12.0,362.0,6_9_9
020060910,322.0,2.0,324.0,6_9_10
020061001,301.0,2.0,303.0,6_10_1
020061002,285.0,3.0,288.0,6_10_2
020061003,378.0,5.0,383.0,6_10_3
020061004,317.0,20.0,337.0,6_10_4
020061005,457.0,4.0,461.0,6_10_5
020061006,452.0,3.0,455.0,6_10_6
020061007,333.0,2.0,335.0,6_10_7
020061008,560.0,8.0,568.0,6_10_8
020061009,246.0,0.0,246.0,6_10_9
020061010,461.0,2.0,463.0,6_10_10
020061101,427.0,2.0,429.0,6_11_1
020061102,241.0,1.0,242.0,6_11_2
020061103,344.0,24.0,368.0,6_11_3
020061104,343.0,0.0,343.0,6_11_4
020061105,247.0,2.0,249.0,6_11_5
020061106,308.0,1.0,309.0,6_11_6
020061107,337.0,20.0,357.0,6_11_7
020061108,367.0,2.0,369.0,6_11_8
020061109,283.0,5.0,288.0,6_11_9
020061110,234.0,6.0,240.0,6_11_10
020061201,253.0,3.0,256.0,6_12_1
020061202,205.0,23.0,228.0,6_12_2
020061203,287.0,1.0,288.0,6_12_3
020061204,192.0,1.0,193.0,6_12_4
020061205,377.0,7.0,384.0,6_12_5
020061206,239.0,4.0,243.0,6_12_6
020061207,347.0,2.0,349.0,6_12_7
020061208,295.0,8.0,303.0,6_12_8
020061209,359.0,3.0,362.0,6_12_9
020061210,233.0,3.0,236.0,6_12_10
020061211,365.0,7.0,372.0,6_12_11
020061212,206.0,2.0,208.0,6_12_12
020061301,304.0,3.0,307.0,6_13_1
020061302,584.0,2.0,586.0,6_13_2
020061303,300.0,2.0,302.0,6_13_3
020061304,492.0,5.0,497.0,6_13_4
020061305,342.0,19.0,361.0,6_13_5
020061306,266.0,1.0,267.0,6_13_6
020061307,357.0,12.0,369.0,6_13_7
020061308,481.0,16.0,497.0,6_13_8
020061309,424.0,2.0,426.0,6_13_9
020061401,380.0,2.0,382.0,6_14_1
020061402,244.0,6.0,250.0,6_14_2
020061403,337.0,47.0,384.0,6_14_3
020061404,529.0,2.0,531.0,6_14_4
020061405,404.0,3.0,407.0,6_14_5
020061406,471.0,13.0,484.0,6_14_6
020061407,235.0,2.0,237.0,6_14_7
020061408,217.0,1.0,218.0,6_14_8
020061409,306.0,3.0,309.0,6_14_9
020061410,384.0,8.0,392.0,6_14_10
020061501,277.0,7.0,284.0,6_15_1
020061502,770.0,0.0,770.0,6_15_2
020061503,356.0,2.0,358.0,6_15_3
020061504,267.0,3.0,270.0,6_15_4
020061505,320.0,0.0,320.0,6_15_5
020061506,280.0,3.0,283.0,6_15_6
020061507,317.0,18.0,335.0,6_15_7
020061508,444.0,1.0,445.0,6_15_8
020061509,226.0,1.0,227.0,6_15_9
020061510,305.0,0.0,305.0,6_15_10
020061601,281.0,2.0,283.0,6_16_1
020061602,282.0,2.0,284.0,6_16_2
020061603,384.0,9.0,393.0,6_16_3
020061604,307.0,3.0,310.0,6_16_4
020061605,392.0,1.0,393.0,6_16_5
020061606,415.0,0.0,415.0,6_16_6
020061607,375.0,13.0,388.0,6_16_7
020061608,556.0,4.0,560.0,6_16_8
020061609,412.0,6.0,418.0,6_16_9
020061610,457.0,42.0,499.0,6_16_10
020061611,384.0,6.0,390.0,6_16_11
020061701,414.0,2.0,416.0,6_17_1
020061702,416.0,3.0,419.0,6_17_2
020061703,307.0,2.0,309.0,6_17_3
020061704,357.0,3.0,360.0,6_17_4
020061705,783.0,56.0,839.0,6_17_5
020061706,505.0,2.0,507.0,6_17_6
020061707,277.0,0.0,277.0,6_17_7
020061801,263.0,0.0,263.0,6_18_1
020061802,254.0,2.0,256.0,6_18_2
020061803,311.0,2.0,313.0,6_18_3
020061804,305.0,4.0,309.0,6_18_4
020061805,377.0,13.0,390.0,6_18_5
020061806,441.0,13.0,454.0,6_18_6
020061807,514.0,12.0,526.0,6_18_7
020061808,508.0,4.0,512.0,6_18_8
020061809,363.0,32.0,395.0,6_18_9
020061901,372.0,13.0,385.0,6_19_1
020061902,637.0,4.0,641.0,6_19_2
020061903,599.0,4.0,603.0,6_19_3
020061904,449.0,4.0,453.0,6_19_4
020061905,305.0,0.0,305.0,6_19_5
020061906,437.0,2.0,439.0,6_19_6
020061907,437.0,7.0,444.0,6_19_7
020061908,428.0,3.0,431.0,6_19_8
020062001,210.0,4.0,214.0,6_20_1
020062002,257.0,1.0,258.0,6_20_2
020062003,442.0,5.0,447.0,6_20_3
020062004,254.0,2.0,256.0,6_20_4
020062005,382.0,2.0,384.0,6_20_5
020062006,378.0,2.0,380.0,6_20_6
020062007,253.0,1.0,254.0,6_20_7
020062008,479.0,4.0,483.0,6_20_8
020062009,314.0,3.0,317.0,6_20_9
020062010,384.0,1.0,385.0,6_20_10
020062101,274.0,19.0,293.0,6_21_1
020062102,431.0,21.0,452.0,6_21_2
020062103,403.0,51.0,454.0,6_21_3
020062104,257.0,5.0,262.0,6_21_4
020062105,326.0,4.0,330.0,6_21_5
020062106,229.0,2.0,231.0,6_21_6
020062107,337.0,41.0,378.0,6_21_7
020062108,439.0,26.0,465.0,6_21_8
020062109,290.0,4.0,294.0,6_21_9
020062110,366.0,2.0,368.0,6_21_10
020062111,386.0,1.0,387.0,6_21_11
020070101,203.0,20.0,223.0,7_1_1
020070102,290.0,16.0,306.0,7_1_2
020070103,299.0,17.0,316.0,7_1_3
020070104,219.0,36.0,255.0,7_1_4
020070105,155.0,17.0,172.0,7_1_5
020070106,253.0,16.0,269.0,7_1_6
020070107,169.0,16.0,185.0,7_1_7
020070108,306.0,13.0,319.0,7_1_8
020070109,184.0,107.0,291.0,7_1_9
020070110,368.0,51.0,419.0,7_1_10
020070201,285.0,4.0,289.0,7_2_1
020070202,368.0,2.0,370.0,7_2_2
020070203,246.0,57.0,303.0,7_2_3
020070204,581.0,79.0,660.0,7_2_4
020070205,265.0,93.0,358.0,7_2_5
020070206,392.0,4.0,396.0,7_2_6
020070207,189.0,56.0,245.0,7_2_7
020070208,224.0,72.0,296.0,7_2_8
020070209,348.0,46.0,394.0,7_2_9
020070301,292.0,9.0,301.0,7_3_1
020070302,361.0,20.0,381.0,7_3_2
020070303,430.0,47.0,477.0,7_3_3
020070304,357.0,38.0,395.0,7_3_4
020070305,308.0,1.0,309.0,7_3_5
020070306,329.0,9.0,338.0,7_3_6
020070307,414.0,34.0,448.0,7_3_7
020070308,294.0,13.0,307.0,7_3_8
020070309,242.0,31.0,273.0,7_3_9
020070310,421.0,4.0,425.0,7_3_10
020070401,446.0,88.0,534.0,7_4_1
020070402,334.0,0.0,334.0,7_4_2
020070403,447.0,3.0,450.0,7_4_3
020070404,560.0,0.0,560.0,7_4_4
020070405,397.0,0.0,397.0,7_4_5
020070406,431.0,5.0,436.0,7_4_6
020070407,470.0,2.0,472.0,7_4_7
020070408,395.0,1.0,396.0,7_4_8
020070409,208.0,15.0,223.0,7_4_9
020070410,363.0,2.0,365.0,7_4_10
020070501,340.0,1.0,341.0,7_5_1
020070502,243.0,0.0,243.0,7_5_2
020070503,321.0,7.0,328.0,7_5_3
020070504,452.0,5.0,457.0,7_5_4
020070505,456.0,6.0,462.0,7_5_5
020070506,248.0,21.0,269.0,7_5_6
020070507,269.0,0.0,269.0,7_5_7
020070508,331.0,14.0,345.0,7_5_8
020070509,326.0,134.0,460.0,7_5_9
020070601,328.0,44.0,372.0,7_6_1
020070602,295.0,4.0,299.0,7_6_2
020070603,185.0,58.0,243.0,7_6_3
020070604,248.0,57.0,305.0,7_6_4
020070605,316.0,98.0,414.0,7_6_5
020070606,381.0,13.0,394.0,7_6_6
020070607,377.0,2.0,379.0,7_6_7
020070608,184.0,1.0,185.0,7_6_8
020070609,267.0,22.0,289.0,7_6_9
020070701,242.0,3.0,245.0,7_7_1
020070702,202.0,2.0,204.0,7_7_2
020070703,408.0,1.0,409.0,7_7_3
020070704,215.0,51.0,266.0,7_7_4
020070705,174.0,113.0,287.0,7_7_5
020070706,343.0,22.0,365.0,7_7_6
020070707,236.0,12.0,248.0,7_7_7
020070708,211.0,9.0,220.0,7_7_8
020070709,330.0,80.0,410.0,7_7_9
020070710,352.0,3.0,355.0,7_7_10
020070711,282.0,0.0,282.0,7_7_11
020070801,302.0,24.0,326.0,7_8_1
020070802,338.0,18.0,356.0,7_8_2
020070803,245.0,2.0,247.0,7_8_3
020070804,345.0,13.0,358.0,7_8_4
020070805,372.0,20.0,392.0,7_8_5
020070806,349.0,24.0,373.0,7_8_6
020070807,286.0,33.0,319.0,7_8_7
020070808,346.0,22.0,368.0,7_8_8
020070901,249.0,10.0,259.0,7_9_1
020070902,274.0,2.0,276.0,7_9_2
020070903,225.0,1.0,226.0,7_9_3
020070904,405.0,10.0,415.0,7_9_4
020070905,196.0,1.0,197.0,7_9_5
020070906,317.0,39.0,356.0,7_9_6
020070907,321.0,8.0,329.0,7_9_7
020070908,378.0,19.0,397.0,7_9_8
020070909,250.0,48.0,298.0,7_9_9
020070910,293.0,14.0,307.0,7_9_10
020070911,237.0,26.0,263.0,7_9_11
020071001,302.0,1.0,303.0,7_10_1
020071002,184.0,1.0,185.0,7_10_2
020071003,250.0,4.0,254.0,7_10_3
020071004,295.0,0.0,295.0,7_10_4
020071005,236.0,4.0,240.0,7_10_5
020071006,317.0,34.0,351.0,7_10_6
020071007,325.0,14.0,339.0,7_10_7
020071008,428.0,0.0,428.0,7_10_8
020071009,304.0,3.0,307.0,7_10_9
020071010,311.0,21.0,332.0,7_10_10
020071101,288.0,27.0,315.0,7_11_1
020071102,402.0,0.0,402.0,7_11_2
020071103,329.0,38.0,367.0,7_11_3
020071104,377.0,3.0,380.0,7_11_4
020071105,222.0,7.0,229.0,7_11_5
020071106,266.0,1.0,267.0,7_11_6
020071107,496.0,0.0,496.0,7_11_7
020071108,413.0,39.0,452.0,7_11_8
020071109,364.0,2.0,366.0,7_11_9
020071110,247.0,2.0,249.0,7_11_10
020071201,421.0,1.0,422.0,7_12_1
020071202,210.0,6.0,216.0,7_12_2
020071203,248.0,30.0,278.0,7_12_3
020071204,319.0,0.0,319.0,7_12_4
020071205,297.0,0.0,297.0,7_12_5
020071206,302.0,0.0,302.0,7_12_6
020071207,217.0,1.0,218.0,7_12_7
020071208,209.0,4.0,213.0,7_12_8
020071209,286.0,4.0,290.0,7_12_9
020071301,275.0,45.0,320.0,7_13_1
020071302,284.0,10.0,294.0,7_13_2
020071303,412.0,3.0,415.0,7_13_3
020071304,215.0,1.0,216.0,7_13_4
020071305,326.0,3.0,329.0,7_13_5
020071306,264.0,1.0,265.0,7_13_6
020071307,201.0,1.0,202.0,7_13_7
020071308,189.0,5.0,194.0,7_13_8
020071309,166.0,0.0,166.0,7_13_9
020071310,191.0,2.0,193.0,7_13_10
020071311,252.0,1.0,253.0,7_13_11
020071312,215.0,7.0,222.0,7_13_12
020071313,195.0,1.0,196.0,7_13_13
020071314,216.0,4.0,220.0,7_13_14
020071315,180.0,5.0,185.0,7_13_15
020071401,285.0,28.0,313.0,7_14_1
020071402,264.0,34.0,298.0,7_14_2
020071403,246.0,11.0,257.0,7_14_3
020071404,249.0,9.0,258.0,7_14_4
020071405,294.0,1.0,295.0,7_14_5
020071406,372.0,7.0,379.0,7_14_6
020071407,269.0,3.0,272.0,7_14_7
020071408,292.0,8.0,300.0,7_14_8
020071409,280.0,9.0,289.0,7_14_9
020071410,225.0,8.0,233.0,7_14_10
020071411,309.0,14.0,323.0,7_14_11
020071412,325.0,14.0,339.0,7_14_12
020071413,251.0,0.0,251.0,7_14_13
020071501,210.0,15.0,225.0,7_15_1
020071502,308.0,52.0,360.0,7_15_2
020071503,288.0,28.0,316.0,7_15_3
020071504,223.0,9.0,232.0,7_15_4
020071505,229.0,4.0,233.0,7_15_5
020071506,330.0,4.0,334.0,7_15_6
020071507,284.0,1.0,285.0,7_15_7
020071508,286.0,7.0,293.0,7_15_8
020071509,387.0,10.0,397.0,7_15_9
020071510,309.0,18.0,327.0,7_15_10
020071511,351.0,16.0,367.0,7_15_11
020071601,247.0,1.0,248.0,7_16_1
020071602,250.0,3.0,253.0,7_16_2
020071603,264.0,0.0,264.0,7_16_3
020071604,230.0,11.0,241.0,7_16_4
020071605,254.0,20.0,274.0,7_16_5
020071606,324.0,28.0,352.0,7_16_6
020071607,311.0,9.0,320.0,7_16_7
020071608,339.0,13.0,352.0,7_16_8
020071609,308.0,27.0,335.0,7_16_9
020071701,332.0,107.0,439.0,7_17_1
020071702,315.0,185.0,500.0,7_17_2
020071703,242.0,174.0,416.0,7_17_3
020071704,303.0,206.0,509.0,7_17_4
020071705,208.0,60.0,268.0,7_17_5
020071706,213.0,162.0,375.0,7_17_6
020071707,482.0,282.0,764.0,7_17_7
020071708,186.0,152.0,338.0,7_17_8
020071709,381.0,237.0,618.0,7_17_9
020071710,310.0,190.0,500.0,7_17_10
020071711,141.0,49.0,190.0,7_17_11
020071801,231.0,164.0,395.0,7_18_1
020071802,69.0,55.0,124.0,7_18_2
020071803,234.0,54.0,288.0,7_18_3
020071804,165.0,89.0,254.0,7_18_4
020071805,201.0,91.0,292.0,7_18_5
020071806,297.0,188.0,485.0,7_18_6
020071807,272.0,14.0,286.0,7_18_7
020071808,237.0,9.0,246.0,7_18_8
020071809,217.0,160.0,377.0,7_18_9
020071810,229.0,185.0,414.0,7_18_10
020071811,260.0,143.0,403.0,7_18_11
020071901,245.0,29.0,274.0,7_19_1
020071902,421.0,86.0,507.0,7_19_2
020071903,261.0,102.0,363.0,7_19_3
020071904,364.0,91.0,455.0,7_19_4
020071905,314.0,78.0,392.0,7_19_5
020071906,421.0,19.0,440.0,7_19_6
020072001,372.0,8.0,380.0,7_20_1
020072002,188.0,4.0,192.0,7_20_2
020072003,254.0,5.0,259.0,7_20_3
020072004,186.0,4.0,190.0,7_20_4
020072005,271.0,7.0,278.0,7_20_5
020072006,267.0,16.0,283.0,7_20_6
020072007,246.0,33.0,279.0,7_20_7
020072008,414.0,27.0,441.0,7_20_8
020072009,281.0,21.0,302.0,7_20_9
020072010,259.0,109.0,368.0,7_20_10
020072011,344.0,19.0,363.0,7_20_11
020072012,202.0,21.0,223.0,7_20_12
020072013,570.0,5.0,575.0,7_20_13
020072101,412.0,12.0,424.0,7_21_1
020072102,464.0,2.0,466.0,7_21_2
020072103,399.0,34.0,433.0,7_21_3
020072104,240.0,0.0,240.0,7_21_4
020072105,240.0,10.0,250.0,7_21_5
020072106,422.0,1.0,423.0,7_21_6
020072107,300.0,3.0,303.0,7_21_7
020072108,172.0,3.0,175.0,7_21_8
020072109,306.0,1.0,307.0,7_21_9
020072110,374.0,2.0,376.0,7_21_10
020072111,330.0,9.0,339.0,7_21_11
020072112,301.0,12.0,313.0,7_21_12
020072201,297.0,0.0,297.0,7_22_1
020072202,343.0,22.0,365.0,7_22_2
020072203,354.0,7.0,361.0,7_22_3
020072204,377.0,1.0,378.0,7_22_4
020072205,380.0,6.0,386.0,7_22_5
020072206,359.0,6.0,365.0,7_22_6
020072207,219.0,2.0,221.0,7_22_7
020072208,233.0,2.0,235.0,7_22_8
020072209,223.0,1.0,224.0,7_22_9
020072210,257.0,11.0,268.0,7_22_10
020072211,281.0,5.0,286.0,7_22_11
020072212,256.0,0.0,256.0,7_22_12
020072213,287.0,2.0,289.0,7_22_13
020072301,289.0,14.0,303.0,7_23_1
020072302,380.0,8.0,388.0,7_23_2
020072303,310.0,8.0,318.0,7_23_3
020072304,269.0,3.0,272.0,7_23_4
020072305,286.0,4.0,290.0,7_23_5
020072306,274.0,2.0,276.0,7_23_6
020072307,305.0,8.0,313.0,7_23_7
020072308,288.0,34.0,322.0,7_23_8
020072309,280.0,9.0,289.0,7_23_9
020072401,334.0,11.0,345.0,7_24_1
020072402,273.0,45.0,318.0,7_24_2
020072403,314.0,70.0,384.0,7_24_3
020072404,347.0,32.0,379.0,7_24_4
020072405,326.0,18.0,344.0,7_24_5
020072406,358.0,13.0,371.0,7_24_6
020072407,271.0,18.0,289.0,7_24_7
020072408,328.0,3.0,331.0,7_24_8
020072409,332.0,9.0,341.0,7_24_9
020072410,309.0,14.0,323.0,7_24_10
020072411,367.0,4.0,371.0,7_24_11
020080101,310.0,21.0,331.0,8_1_1
020080102,426.0,91.0,517.0,8_1_2
020080103,293.0,58.0,351.0,8_1_3
020080104,358.0,124.0,482.0,8_1_4
020080105,384.0,65.0,449.0,8_1_5
020080106,501.0,126.0,627.0,8_1_6
020080107,428.0,32.0,460.0,8_1_7
020080108,298.0,76.0,374.0,8_1_8
020080109,627.0,183.0,810.0,8_1_9
020080110,359.0,81.0,440.0,8_1_10
020080111,125.0,57.0,182.0,8_1_11
020080112,788.0,231.0,1019.0,8_1_12
020080201,378.0,9.0,387.0,8_2_1
020080202,167.0,1.0,168.0,8_2_2
020080203,159.0,2.0,161.0,8_2_3
020080204,242.0,7.0,249.0,8_2_4
020080205,171.0,3.0,174.0,8_2_5
020080206,248.0,1.0,249.0,8_2_6
020080207,402.0,2.0,404.0,8_2_7
020080208,303.0,4.0,307.0,8_2_8
020080209,271.0,0.0,271.0,8_2_9
020080210,187.0,1.0,188.0,8_2_10
020080301,302.0,32.0,334.0,8_3_1
020080302,248.0,8.0,256.0,8_3_2
020080303,178.0,9.0,187.0,8_3_3
020080304,194.0,56.0,250.0,8_3_4
020080305,235.0,3.0,238.0,8_3_5
020080306,141.0,3.0,144.0,8_3_6
020080307,238.0,7.0,245.0,8_3_7
020080308,361.0,186.0,547.0,8_3_8
020080309,472.0,97.0,569.0,8_3_9
020080310,392.0,86.0,478.0,8_3_10
020080401,262.0,25.0,287.0,8_4_1
020080402,175.0,39.0,214.0,8_4_2
020080403,217.0,3.0,220.0,8_4_3
020080404,198.0,26.0,224.0,8_4_4
020080405,320.0,12.0,332.0,8_4_5
020080406,342.0,8.0,350.0,8_4_6
020080407,259.0,19.0,278.0,8_4_7
020080408,269.0,9.0,278.0,8_4_8
020080409,252.0,6.0,258.0,8_4_9
020080410,301.0,5.0,306.0,8_4_10
020080411,249.0,3.0,252.0,8_4_11
020080501,267.0,10.0,277.0,8_5_1
020080502,259.0,4.0,263.0,8_5_2
020080503,243.0,27.0,270.0,8_5_3
020080504,281.0,10.0,291.0,8_5_4
020080505,196.0,5.0,201.0,8_5_5
020080506,277.0,5.0,282.0,8_5_6
020080507,327.0,9.0,336.0,8_5_7
020080508,253.0,1.0,254.0,8_5_8
020080509,297.0,1.0,298.0,8_5_9
020080510,411.0,0.0,411.0,8_5_10
020080511,318.0,1.0,319.0,8_5_11
020080601,299.0,3.0,302.0,8_6_1
020080602,392.0,5.0,397.0,8_6_2
020080603,397.0,5.0,402.0,8_6_3
020080604,224.0,9.0,233.0,8_6_4
020080605,306.0,14.0,320.0,8_6_5
020080606,254.0,66.0,320.0,8_6_6
020080607,187.0,21.0,208.0,8_6_7
020080608,236.0,5.0,241.0,8_6_8
020080609,276.0,8.0,284.0,8_6_9
020080610,201.0,18.0,219.0,8_6_10
020080611,175.0,28.0,203.0,8_6_11
020080701,270.0,89.0,359.0,8_7_1
020080702,308.0,170.0,478.0,8_7_2
020080703,398.0,95.0,493.0,8_7_3
020080704,300.0,146.0,446.0,8_7_4
020080705,356.0,187.0,543.0,8_7_5
020080706,262.0,133.0,395.0,8_7_6
020080707,409.0,252.0,661.0,8_7_7
020080708,297.0,160.0,457.0,8_7_8
020080709,612.0,202.0,814.0,8_7_9
020080710,225.0,60.0,285.0,8_7_10
020080711,319.0,92.0,411.0,8_7_11
020080712,349.0,46.0,395.0,8_7_12
020080713,313.0,78.0,391.0,8_7_13
020080714,386.0,188.0,574.0,8_7_14
020080801,278.0,3.0,281.0,8_8_1
020080802,303.0,6.0,309.0,8_8_2
020080803,229.0,6.0,235.0,8_8_3
020080804,298.0,2.0,300.0,8_8_4
020080805,224.0,16.0,240.0,8_8_5
020080806,318.0,3.0,321.0,8_8_6
020080807,298.0,10.0,308.0,8_8_7
020080808,204.0,2.0,206.0,8_8_8
020080809,230.0,2.0,232.0,8_8_9
020080810,276.0,13.0,289.0,8_8_10
020080811,317.0,21.0,338.0,8_8_11
020080901,255.0,16.0,271.0,8_9_1
020080902,292.0,6.0,298.0,8_9_2
020080903,338.0,14.0,352.0,8_9_3
020080904,186.0,0.0,186.0,8_9_4
020080905,370.0,15.0,385.0,8_9_5
020080906,288.0,6.0,294.0,8_9_6
020080907,244.0,16.0,260.0,8_9_7
020080908,253.0,5.0,258.0,8_9_8
020080909,301.0,14.0,315.0,8_9_9
020081001,273.0,5.0,278.0,8_10_1
020081002,229.0,8.0,237.0,8_10_2
020081003,380.0,0.0,380.0,8_10_3
020081004,712.0,7.0,719.0,8_10_4
020081005,835.0,7.0,842.0,8_10_5
020081006,572.0,7.0,579.0,8_10_6
020081007,535.0,8.0,543.0,8_10_7
020081008,311.0,9.0,320.0,8_10_8
020081101,893.0,17.0,910.0,8_11_1
020081102,713.0,5.0,718.0,8_11_2
020081103,1052.0,5.0,1057.0,8_11_3
020081104,637.0,6.0,643.0,8_11_4
020081105,443.0,6.0,449.0,8_11_5
020081201,296.0,10.0,306.0,8_12_1
020081202,353.0,3.0,356.0,8_12_2
020081203,318.0,13.0,331.0,8_12_3
020081204,290.0,12.0,302.0,8_12_4
020081205,336.0,5.0,341.0,8_12_5
020081206,241.0,8.0,249.0,8_12_6
020081207,267.0,11.0,278.0,8_12_7
020081301,6.0,14.0,20.0,8_13_1
020081302,111.0,7.0,118.0,8_13_2
020081303,302.0,9.0,311.0,8_13_3
020081304,298.0,35.0,333.0,8_13_4
020081305,310.0,5.0,315.0,8_13_5
020081306,217.0,4.0,221.0,8_13_6
020081307,226.0,27.0,253.0,8_13_7
020081308,273.0,24.0,297.0,8_13_8
020081401,367.0,97.0,464.0,8_14_1
020081402,304.0,78.0,382.0,8_14_2
020081403,399.0,119.0,518.0,8_14_3
020081404,546.0,247.0,793.0,8_14_4
020081405,332.0,53.0,385.0,8_14_5
020081406,242.0,8.0,250.0,8_14_6
020081407,282.0,15.0,297.0,8_14_7
020081408,244.0,15.0,259.0,8_14_8
020081409,264.0,72.0,336.0,8_14_9
020081410,269.0,44.0,313.0,8_14_10
020081501,449.0,403.0,852.0,8_15_1
020081502,413.0,242.0,655.0,8_15_2
020081503,539.0,128.0,667.0,8_15_3
020081504,179.0,52.0,231.0,8_15_4
020081505,689.0,188.0,877.0,8_15_5
020081506,195.0,38.0,233.0,8_15_6
020081507,201.0,58.0,259.0,8_15_7
020081508,279.0,79.0,358.0,8_15_8
020081509,424.0,95.0,519.0,8_15_9
020081510,333.0,56.0,389.0,8_15_10
020081601,290.0,9.0,299.0,8_16_1
020081602,173.0,10.0,183.0,8_16_2
020081603,288.0,1.0,289.0,8_16_3
020081604,264.0,2.0,266.0,8_16_4
020081605,292.0,2.0,294.0,8_16_5
020081606,264.0,3.0,267.0,8_16_6
020081607,272.0,4.0,276.0,8_16_7
020081608,232.0,4.0,236.0,8_16_8
020081609,277.0,3.0,280.0,8_16_9
020081610,251.0,28.0,279.0,8_16_10
020081701,222.0,1.0,223.0,8_17_1
020081702,221.0,0.0,221.0,8_17_2
020081703,322.0,5.0,327.0,8_17_3
020081704,290.0,0.0,290.0,8_17_4
020081705,173.0,0.0,173.0,8_17_5
020090101,205.0,1.0,206.0,9_1_1
020090102,184.0,0.0,184.0,9_1_2
020090103,258.0,3.0,261.0,9_1_3
020090104,269.0,0.0,269.0,9_1_4
020090105,292.0,2.0,294.0,9_1_5
020090106,240.0,51.0,291.0,9_1_6
020090107,253.0,4.0,257.0,9_1_7
020090108,244.0,34.0,278.0,9_1_8
020090109,339.0,5.0,344.0,9_1_9
020090201,347.0,2.0,349.0,9_2_1
020090202,296.0,5.0,301.0,9_2_2
020090203,324.0,6.0,330.0,9_2_3
020090204,410.0,4.0,414.0,9_2_4
020090205,425.0,3.0,428.0,9_2_5
