Código,Asiste,Asistió,Nunca asistió,Total
020011901,121.0,4.0,5.0,130.0
020011902,117.0,5.0,3.0,125.0
020011903,63.0,0.0,1.0,64.0
020011904,100.0,4.0,4.0,108.0
020011905,77.0,1.0,1.0,79.0
020011906,58.0,4.0,2.0,64.0
020011907,79.0,4.0,4.0,87.0
020011908,79.0,2.0,1.0,82.0
020011909,52.0,2.0,4.0,58.0
020012001,90.0,1.0,3.0,94.0
020012002,98.0,2.0,4.0,104.0
020012003,86.0,2.0,1.0,89.0
020012004,102.0,1.0,2.0,105.0
020012005,75.0,3.0,1.0,79.0
020012006,89.0,5.0,2.0,96.0
020012007,63.0,3.0,1.0,67.0
020012008,82.0,1.0,2.0,85.0
020012009,82.0,3.0,2.0,87.0
020012010,184.0,9.0,10.0,203.0
020012101,78.0,6.0,5.0,89.0
020012102,105.0,2.0,10.0,117.0
020012103,69.0,3.0,2.0,74.0
020012104,182.0,3.0,5.0,190.0
020012105,108.0,4.0,4.0,116.0
020012106,78.0,3.0,3.0,84.0
020012107,112.0,4.0,2.0,118.0
020012108,82.0,1.0,0.0,83.0
020012109,90.0,1.0,1.0,92.0
020012110,101.0,11.0,4.0,116.0
020012201,64.0,0.0,2.0,66.0
020012202,89.0,2.0,1.0,92.0
020012203,116.0,1.0,4.0,121.0
020012204,67.0,2.0,0.0,69.0
020012205,42.0,0.0,0.0,42.0
020012206,64.0,2.0,1.0,67.0
020012207,64.0,2.0,0.0,66.0
020012208,53.0,3.0,1.0,57.0
020012209,123.0,1.0,2.0,126.0
020012210,151.0,5.0,5.0,161.0
020012301,65.0,4.0,2.0,71.0
020012302,55.0,3.0,1.0,59.0
020012303,76.0,0.0,1.0,77.0
020012304,63.0,3.0,1.0,67.0
020012305,53.0,5.0,0.0,58.0
020012306,39.0,0.0,0.0,39.0
020012307,68.0,2.0,1.0,71.0
020012308,96.0,0.0,2.0,98.0
020012309,101.0,3.0,4.0,108.0
020012310,66.0,1.0,0.0,67.0
020012401,24.0,3.0,1.0,28.0
020012402,23.0,0.0,0.0,23.0
020012403,54.0,3.0,0.0,57.0
020012404,36.0,2.0,1.0,39.0
020012405,43.0,0.0,0.0,43.0
020012406,63.0,1.0,1.0,65.0
020012407,62.0,6.0,2.0,70.0
020012408,48.0,2.0,4.0,54.0
020012501,57.0,3.0,6.0,66.0
020012502,37.0,0.0,2.0,39.0
020012503,46.0,2.0,0.0,48.0
020012504,136.0,2.0,4.0,142.0
020012505,44.0,4.0,1.0,49.0
020012506,120.0,3.0,1.0,124.0
020012507,43.0,0.0,1.0,44.0
020012508,69.0,1.0,3.0,73.0
020012509,137.0,2.0,11.0,150.0
020012510,78.0,3.0,0.0,81.0
020012511,75.0,1.0,0.0,76.0
020012601,64.0,1.0,1.0,66.0
020012602,99.0,7.0,1.0,107.0
020012603,59.0,1.0,2.0,62.0
020012604,67.0,0.0,2.0,69.0
020012605,106.0,6.0,1.0,113.0
020012606,59.0,1.0,0.0,60.0
020012607,52.0,3.0,0.0,55.0
020012608,57.0,0.0,1.0,58.0
020012609,87.0,0.0,5.0,92.0
020012701,87.0,6.0,1.0,94.0
020012702,112.0,11.0,10.0,133.0
020012703,160.0,11.0,9.0,180.0
020012704,126.0,9.0,6.0,141.0
020012705,92.0,6.0,1.0,99.0
020012706,160.0,5.0,4.0,169.0
020012707,181.0,10.0,6.0,197.0
020012708,93.0,11.0,0.0,104.0
020012709,114.0,6.0,7.0,127.0
020012710,68.0,0.0,0.0,68.0
020012801,64.0,1.0,1.0,66.0
020012802,110.0,10.0,10.0,130.0
020012803,116.0,1.0,3.0,120.0
020012804,90.0,1.0,1.0,92.0
020012805,123.0,4.0,3.0,130.0
020012806,111.0,4.0,3.0,118.0
020012807,101.0,5.0,6.0,112.0
020012808,37.0,1.0,1.0,39.0
020012809,119.0,4.0,4.0,127.0
020012810,178.0,2.0,6.0,186.0
020012811,109.0,11.0,7.0,127.0
020012812,95.0,6.0,5.0,106.0
020012813,108.0,8.0,6.0,122.0
020012901,213.0,3.0,10.0,226.0
020012902,110.0,8.0,11.0,129.0
020012903,189.0,10.0,12.0,211.0
020012904,136.0,4.0,3.0,143.0
020012905,171.0,5.0,6.0,182.0
020012906,195.0,1.0,3.0,199.0
020012907,112.0,7.0,1.0,120.0
020012908,124.0,5.0,4.0,133.0
020012909,143.0,4.0,8.0,155.0
020020101,22.0,0.0,0.0,22.0
020020102,166.0,3.0,2.0,171.0
020020201,64.0,3.0,1.0,68.0
020020202,108.0,0.0,1.0,109.0
020020203,46.0,2.0,0.0,48.0
020020204,65.0,0.0,0.0,65.0
020020205,65.0,0.0,2.0,67.0
020020206,51.0,0.0,1.0,52.0
020020207,35.0,1.0,1.0,37.0
020020208,91.0,2.0,0.0,93.0
020020301,96.0,3.0,1.0,100.0
020020302,55.0,3.0,2.0,60.0
020020303,26.0,0.0,1.0,27.0
020020304,24.0,1.0,0.0,25.0
020020305,92.0,0.0,0.0,92.0
020020306,44.0,0.0,2.0,46.0
020020307,117.0,1.0,0.0,118.0
020020308,78.0,0.0,0.0,78.0
020020401,122.0,1.0,4.0,127.0
020020402,15.0,1.0,1.0,17.0
020020403,32.0,2.0,0.0,34.0
020020404,38.0,1.0,1.0,40.0
020020405,93.0,0.0,1.0,94.0
020020406,41.0,4.0,1.0,46.0
020020407,40.0,0.0,2.0,42.0
020020408,91.0,2.0,0.0,93.0
020020409,90.0,0.0,0.0,90.0
020020410,77.0,0.0,0.0,77.0
020020501,56.0,1.0,1.0,58.0
020020502,148.0,2.0,1.0,151.0
020020503,63.0,2.0,0.0,65.0
020020504,57.0,2.0,1.0,60.0
020020505,82.0,1.0,1.0,84.0
020020506,107.0,1.0,0.0,108.0
020020507,91.0,3.0,0.0,94.0
020020508,80.0,1.0,4.0,85.0
020020509,70.0,5.0,0.0,75.0
020020601,63.0,0.0,0.0,63.0
020020602,162.0,2.0,1.0,165.0
020020603,91.0,2.0,0.0,93.0
020020604,114.0,6.0,0.0,120.0
020020605,70.0,0.0,0.0,70.0
