Código,Sí,No,Total,CO_FRAC_RA
020020609,256.0,20.0,276.0,2_6_9
020020610,209.0,19.0,228.0,2_6_10
020020701,562.0,11.0,573.0,2_7_1
020020702,463.0,30.0,493.0,2_7_2
020020703,353.0,8.0,361.0,2_7_3
020020704,255.0,12.0,267.0,2_7_4
020020705,229.0,15.0,244.0,2_7_5
020020706,258.0,13.0,271.0,2_7_6
020020707,371.0,38.0,409.0,2_7_7
020020708,149.0,23.0,172.0,2_7_8
020020709,265.0,13.0,278.0,2_7_9
020020801,328.0,19.0,347.0,2_8_1
020020802,292.0,14.0,306.0,2_8_2
020020803,436.0,21.0,457.0,2_8_3
020020804,465.0,13.0,478.0,2_8_4
020020805,395.0,18.0,413.0,2_8_5
020020806,601.0,24.0,625.0,2_8_6
020020807,666.0,41.0,707.0,2_8_7
020020808,353.0,4.0,357.0,2_8_8
020020901,371.0,28.0,399.0,2_9_1
020020902,206.0,12.0,218.0,2_9_2
020020903,429.0,22.0,451.0,2_9_3
020020904,443.0,18.0,461.0,2_9_4
020020905,470.0,18.0,488.0,2_9_5
020020906,425.0,16.0,441.0,2_9_6
020020907,455.0,17.0,472.0,2_9_7
020020908,618.0,31.0,649.0,2_9_8
020020909,521.0,29.0,550.0,2_9_9
020021001,483.0,36.0,519.0,2_10_1
020021002,336.0,30.0,366.0,2_10_2
020021003,200.0,9.0,209.0,2_10_3
020021004,331.0,13.0,344.0,2_10_4
020021005,394.0,32.0,426.0,2_10_5
020021006,302.0,19.0,321.0,2_10_6
020021007,446.0,37.0,483.0,2_10_7
020021008,423.0,20.0,443.0,2_10_8
020021009,283.0,16.0,299.0,2_10_9
020021101,600.0,21.0,621.0,2_11_1
020021102,235.0,6.0,241.0,2_11_2
020021103,642.0,30.0,672.0,2_11_3
020021104,633.0,35.0,668.0,2_11_4
020021105,159.0,10.0,169.0,2_11_5
020021106,282.0,23.0,305.0,2_11_6
020021201,424.0,11.0,435.0,2_12_1
020021202,387.0,15.0,402.0,2_12_2
020021203,438.0,19.0,457.0,2_12_3
020021204,669.0,35.0,704.0,2_12_4
020021205,574.0,41.0,615.0,2_12_5
020021206,456.0,42.0,498.0,2_12_6
020021301,562.0,33.0,595.0,2_13_1
020021302,390.0,28.0,418.0,2_13_2
020021303,492.0,24.0,516.0,2_13_3
020021304,527.0,28.0,555.0,2_13_4
020021305,598.0,49.0,647.0,2_13_5
020021306,365.0,17.0,382.0,2_13_6
020021307,586.0,48.0,634.0,2_13_7
020021401,233.0,15.0,248.0,2_14_1
020021402,288.0,18.0,306.0,2_14_2
020021403,167.0,8.0,175.0,2_14_3
020021404,356.0,13.0,369.0,2_14_4
020021405,482.0,17.0,499.0,2_14_5
020021406,514.0,18.0,532.0,2_14_6
020021407,321.0,27.0,348.0,2_14_7
020021408,347.0,33.0,380.0,2_14_8
020021409,543.0,62.0,605.0,2_14_9
020021410,475.0,62.0,537.0,2_14_10
020021501,254.0,12.0,266.0,2_15_1
020021502,378.0,10.0,388.0,2_15_2
020021503,606.0,24.0,630.0,2_15_3
020021504,294.0,16.0,310.0,2_15_4
020021505,245.0,22.0,267.0,2_15_5
020021506,278.0,8.0,286.0,2_15_6
020021507,351.0,16.0,367.0,2_15_7
020021508,325.0,14.0,339.0,2_15_8
020021601,301.0,20.0,321.0,2_16_1
020021602,278.0,30.0,308.0,2_16_2
020021603,290.0,15.0,305.0,2_16_3
020021604,263.0,21.0,284.0,2_16_4
020021605,368.0,18.0,386.0,2_16_5
020021606,300.0,18.0,318.0,2_16_6
020021607,345.0,14.0,359.0,2_16_7
020021608,189.0,7.0,196.0,2_16_8
020021701,543.0,28.0,571.0,2_17_1
020021702,370.0,12.0,382.0,2_17_2
020021703,438.0,16.0,454.0,2_17_3
020021704,154.0,14.0,168.0,2_17_4
020021705,271.0,19.0,290.0,2_17_5
020021706,411.0,41.0,452.0,2_17_6
020021707,520.0,57.0,577.0,2_17_7
020021708,400.0,89.0,489.0,2_17_8
020021709,347.0,19.0,366.0,2_17_9
020021801,427.0,31.0,458.0,2_18_1
020021802,512.0,36.0,548.0,2_18_2
020021803,380.0,17.0,397.0,2_18_3
020021804,246.0,21.0,267.0,2_18_4
020021805,243.0,7.0,250.0,2_18_5
020021806,340.0,27.0,367.0,2_18_6
020021807,265.0,12.0,277.0,2_18_7
020021808,290.0,45.0,335.0,2_18_8
020021901,364.0,29.0,393.0,2_19_1
020021902,284.0,22.0,306.0,2_19_2
020021903,282.0,23.0,305.0,2_19_3
020021904,438.0,61.0,499.0,2_19_4
020021905,343.0,18.0,361.0,2_19_5
020021906,382.0,42.0,424.0,2_19_6
020021907,296.0,28.0,324.0,2_19_7
020021908,330.0,47.0,377.0,2_19_8
020022001,432.0,25.0,457.0,2_20_1
020022002,382.0,67.0,449.0,2_20_2
020022003,328.0,44.0,372.0,2_20_3
020022004,342.0,44.0,386.0,2_20_4
020022005,234.0,17.0,251.0,2_20_5
020022006,302.0,54.0,356.0,2_20_6
020022007,215.0,32.0,247.0,2_20_7
020022008,256.0,45.0,301.0,2_20_8
020022101,438.0,24.0,462.0,2_21_1
020022102,431.0,11.0,442.0,2_21_2
020022103,339.0,30.0,369.0,2_21_3
020022104,474.0,56.0,530.0,2_21_4
020022105,480.0,28.0,508.0,2_21_5
020022106,448.0,33.0,481.0,2_21_6
020022201,353.0,15.0,368.0,2_22_1
020022202,276.0,5.0,281.0,2_22_2
020022203,197.0,8.0,205.0,2_22_3
020022204,444.0,39.0,483.0,2_22_4
020022205,508.0,20.0,528.0,2_22_5
020022206,516.0,41.0,557.0,2_22_6
020022301,424.0,11.0,435.0,2_23_1
020022302,492.0,20.0,512.0,2_23_2
020022303,407.0,34.0,441.0,2_23_3
020022304,355.0,26.0,381.0,2_23_4
020022305,288.0,7.0,295.0,2_23_5
020022306,197.0,6.0,203.0,2_23_6
020022307,227.0,10.0,237.0,2_23_7
020022308,175.0,12.0,187.0,2_23_8
020022309,450.0,13.0,463.0,2_23_9
020022401,445.0,5.0,450.0,2_24_1
020022402,364.0,13.0,377.0,2_24_2
020022403,327.0,8.0,335.0,2_24_3
020022404,437.0,27.0,464.0,2_24_4
020022405,474.0,32.0,506.0,2_24_5
020022406,451.0,17.0,468.0,2_24_6
020022501,299.0,13.0,312.0,2_25_1
020022502,335.0,14.0,349.0,2_25_2
020022503,152.0,25.0,177.0,2_25_3
020022504,403.0,24.0,427.0,2_25_4
020022505,438.0,31.0,469.0,2_25_5
020022506,266.0,89.0,355.0,2_25_6
020022507,349.0,37.0,386.0,2_25_7
020022508,457.0,66.0,523.0,2_25_8
020022509,355.0,56.0,411.0,2_25_9
020022510,270.0,29.0,299.0,2_25_10
020022511,398.0,103.0,501.0,2_25_11
020030101,392.0,96.0,488.0,3_1_1
020030102,381.0,38.0,419.0,3_1_2
020030103,393.0,74.0,467.0,3_1_3
020030104,219.0,29.0,248.0,3_1_4
020030105,311.0,63.0,374.0,3_1_5
020030106,196.0,66.0,262.0,3_1_6
020030107,156.0,191.0,347.0,3_1_7
020030108,62.0,126.0,188.0,3_1_8
020030109,195.0,32.0,227.0,3_1_9
020030110,96.0,96.0,192.0,3_1_10
020030111,181.0,49.0,230.0,3_1_11
020030201,286.0,37.0,323.0,3_2_1
020030202,283.0,50.0,333.0,3_2_2
020030203,297.0,39.0,336.0,3_2_3
020030204,262.0,26.0,288.0,3_2_4
020030205,336.0,33.0,369.0,3_2_5
020030206,296.0,71.0,367.0,3_2_6
020030207,370.0,50.0,420.0,3_2_7
020030208,312.0,42.0,354.0,3_2_8
020030209,263.0,48.0,311.0,3_2_9
020030210,165.0,28.0,193.0,3_2_10
020030211,206.0,51.0,257.0,3_2_11
020030212,290.0,75.0,365.0,3_2_12
020030301,455.0,21.0,476.0,3_3_1
020030302,305.0,68.0,373.0,3_3_2
020030303,238.0,22.0,260.0,3_3_3
020030304,198.0,15.0,213.0,3_3_4
020030305,225.0,20.0,245.0,3_3_5
020030306,282.0,20.0,302.0,3_3_6
020030307,284.0,24.0,308.0,3_3_7
020030308,236.0,27.0,263.0,3_3_8
020030309,147.0,12.0,159.0,3_3_9
020030310,264.0,129.0,393.0,3_3_10
020030311,269.0,36.0,305.0,3_3_11
020030401,328.0,26.0,354.0,3_4_1
020030402,185.0,31.0,216.0,3_4_2
020030403,260.0,19.0,279.0,3_4_3
020030404,252.0,74.0,326.0,3_4_4
020030405,202.0,86.0,288.0,3_4_5
020030406,250.0,58.0,308.0,3_4_6
020030407,234.0,36.0,270.0,3_4_7
020030408,219.0,52.0,271.0,3_4_8
020030501,272.0,101.0,373.0,3_5_1
020030502,235.0,56.0,291.0,3_5_2
020030503,387.0,82.0,469.0,3_5_3
020030504,215.0,47.0,262.0,3_5_4
020030505,293.0,37.0,330.0,3_5_5
020030506,176.0,39.0,215.0,3_5_6
020030507,330.0,38.0,368.0,3_5_7
020030601,291.0,63.0,354.0,3_6_1
020030602,133.0,42.0,175.0,3_6_2
020030603,254.0,58.0,312.0,3_6_3
020030604,299.0,21.0,320.0,3_6_4
020030605,212.0,117.0,329.0,3_6_5
020030606,207.0,48.0,255.0,3_6_6
020030607,282.0,30.0,312.0,3_6_7
020030701,114.0,22.0,136.0,3_7_1
020030702,364.0,51.0,415.0,3_7_2
020030703,370.0,83.0,453.0,3_7_3
020030704,307.0,62.0,369.0,3_7_4
020030705,219.0,49.0,268.0,3_7_5
020030706,227.0,56.0,283.0,3_7_6
020030707,441.0,63.0,504.0,3_7_7
020030708,132.0,27.0,159.0,3_7_8
020030709,338.0,66.0,404.0,3_7_9
020030801,279.0,42.0,321.0,3_8_1
020030802,202.0,10.0,212.0,3_8_2
020030803,312.0,29.0,341.0,3_8_3
020030804,197.0,20.0,217.0,3_8_4
020030805,183.0,33.0,216.0,3_8_5
020030806,180.0,23.0,203.0,3_8_6
020030807,144.0,22.0,166.0,3_8_7
020030808,149.0,58.0,207.0,3_8_8
020030809,259.0,45.0,304.0,3_8_9
020030810,199.0,57.0,256.0,3_8_10
020030901,325.0,63.0,388.0,3_9_1
020030902,179.0,27.0,206.0,3_9_2
020030903,289.0,53.0,342.0,3_9_3
020030904,332.0,82.0,414.0,3_9_4
020030905,199.0,23.0,222.0,3_9_5
020030906,157.0,39.0,196.0,3_9_6
020030907,171.0,121.0,292.0,3_9_7
020030908,208.0,104.0,312.0,3_9_8
020030909,307.0,64.0,371.0,3_9_9
020030910,232.0,94.0,326.0,3_9_10
020031001,295.0,82.0,377.0,3_10_1
020031002,254.0,69.0,323.0,3_10_2
020031003,205.0,52.0,257.0,3_10_3
020031004,264.0,34.0,298.0,3_10_4
020031005,186.0,16.0,202.0,3_10_5
020031006,285.0,105.0,390.0,3_10_6
