Código,"Cerámica, baldosa, mosaico, mármol, madera o alfombrado",Cemento o ladrillo fijo,Tierra o ladrillo suelto,Otro,Total,CO_FRAC_RA
020011303,20.0,0.0,0.0,0.0,20.0,1_13_3
020011304,132.0,3.0,0.0,1.0,136.0,1_13_4
020011305,152.0,0.0,0.0,2.0,154.0,1_13_5
020011306,100.0,0.0,0.0,0.0,100.0,1_13_6
020011307,241.0,0.0,0.0,0.0,241.0,1_13_7
020011308,156.0,0.0,0.0,0.0,156.0,1_13_8
020011309,156.0,1.0,0.0,0.0,157.0,1_13_9
020011310,234.0,1.0,0.0,0.0,235.0,1_13_10
020011311,139.0,0.0,0.0,3.0,142.0,1_13_11
020011312,138.0,0.0,0.0,0.0,138.0,1_13_12
020011313,101.0,0.0,1.0,2.0,104.0,1_13_13
020011314,238.0,393.0,18.0,10.0,659.0,1_13_14
020011315,0.0,0.0,0.0,0.0,0.0,1_13_15
020011401,242.0,2.0,0.0,3.0,247.0,1_14_1
020011402,117.0,106.0,0.0,3.0,226.0,1_14_2
020011403,184.0,12.0,0.0,0.0,196.0,1_14_3
020011404,38.0,0.0,0.0,1.0,39.0,1_14_4
020011405,222.0,4.0,0.0,0.0,226.0,1_14_5
020011406,288.0,5.0,0.0,0.0,293.0,1_14_6
020011407,214.0,1.0,0.0,0.0,215.0,1_14_7
020011408,178.0,14.0,0.0,4.0,196.0,1_14_8
020011409,236.0,9.0,0.0,1.0,246.0,1_14_9
020011410,205.0,12.0,0.0,3.0,220.0,1_14_10
020011411,243.0,10.0,0.0,0.0,253.0,1_14_11
020011412,206.0,11.0,0.0,0.0,217.0,1_14_12
020011501,169.0,1.0,0.0,0.0,170.0,1_15_1
020011502,247.0,2.0,0.0,0.0,249.0,1_15_2
020011503,197.0,3.0,0.0,0.0,200.0,1_15_3
020011504,330.0,1.0,0.0,4.0,335.0,1_15_4
020011505,184.0,3.0,0.0,0.0,187.0,1_15_5
020011506,288.0,15.0,0.0,2.0,305.0,1_15_6
020011507,267.0,3.0,0.0,0.0,270.0,1_15_7
020011508,291.0,1.0,0.0,18.0,310.0,1_15_8
020011509,341.0,10.0,0.0,1.0,352.0,1_15_9
020011510,278.0,2.0,0.0,11.0,291.0,1_15_10
020011511,279.0,2.0,0.0,0.0,281.0,1_15_11
020011601,188.0,1.0,0.0,0.0,189.0,1_16_1
020011602,163.0,0.0,0.0,1.0,164.0,1_16_2
020011603,408.0,4.0,0.0,1.0,413.0,1_16_3
020011604,336.0,8.0,0.0,4.0,348.0,1_16_4
020011605,202.0,5.0,0.0,1.0,208.0,1_16_5
020011606,228.0,0.0,0.0,0.0,228.0,1_16_6
020011607,470.0,4.0,0.0,1.0,475.0,1_16_7
020011608,208.0,5.0,0.0,7.0,220.0,1_16_8
020011609,159.0,1.0,0.0,0.0,160.0,1_16_9
020011610,289.0,1.0,0.0,1.0,291.0,1_16_10
020011611,215.0,0.0,0.0,2.0,217.0,1_16_11
020011612,139.0,0.0,0.0,0.0,139.0,1_16_12
020011701,387.0,2.0,0.0,0.0,389.0,1_17_1
020011702,277.0,25.0,0.0,1.0,303.0,1_17_2
020011703,322.0,2.0,0.0,0.0,324.0,1_17_3
020011704,286.0,0.0,0.0,1.0,287.0,1_17_4
020011705,256.0,0.0,0.0,0.0,256.0,1_17_5
020011706,363.0,4.0,0.0,0.0,367.0,1_17_6
020011707,320.0,3.0,0.0,0.0,323.0,1_17_7
020011708,260.0,4.0,0.0,3.0,267.0,1_17_8
020011709,239.0,0.0,0.0,0.0,239.0,1_17_9
020011710,276.0,2.0,0.0,1.0,279.0,1_17_10
020011711,217.0,1.0,0.0,0.0,218.0,1_17_11
020011801,441.0,0.0,0.0,1.0,442.0,1_18_1
020011802,356.0,1.0,0.0,0.0,357.0,1_18_2
020011803,289.0,1.0,0.0,2.0,292.0,1_18_3
020011804,336.0,4.0,0.0,1.0,341.0,1_18_4
020011805,273.0,0.0,0.0,1.0,274.0,1_18_5
020011806,472.0,13.0,0.0,22.0,507.0,1_18_6
020011807,297.0,2.0,0.0,18.0,317.0,1_18_7
020011808,297.0,2.0,0.0,2.0,301.0,1_18_8
020011809,298.0,5.0,0.0,0.0,303.0,1_18_9
020011901,372.0,26.0,0.0,26.0,424.0,1_19_1
020011902,496.0,0.0,0.0,2.0,498.0,1_19_2
020011903,143.0,2.0,0.0,0.0,145.0,1_19_3
020011904,273.0,29.0,0.0,1.0,303.0,1_19_4
020011905,268.0,1.0,0.0,2.0,271.0,1_19_5
020011906,213.0,1.0,0.0,2.0,216.0,1_19_6
020011907,315.0,7.0,0.0,3.0,325.0,1_19_7
020011908,160.0,0.0,0.0,0.0,160.0,1_19_8
020011909,216.0,4.0,0.0,3.0,223.0,1_19_9
020012001,258.0,1.0,0.0,0.0,259.0,1_20_1
020012002,277.0,10.0,0.0,11.0,298.0,1_20_2
020012003,232.0,6.0,0.0,0.0,238.0,1_20_3
020012004,329.0,14.0,0.0,0.0,343.0,1_20_4
020012005,347.0,2.0,0.0,3.0,352.0,1_20_5
020012006,334.0,2.0,0.0,0.0,336.0,1_20_6
020012007,204.0,3.0,0.0,0.0,207.0,1_20_7
020012008,212.0,6.0,0.0,0.0,218.0,1_20_8
020012009,238.0,8.0,0.0,1.0,247.0,1_20_9
020012010,309.0,7.0,0.0,0.0,316.0,1_20_10
020012101,263.0,2.0,0.0,1.0,266.0,1_21_1
020012102,265.0,1.0,0.0,0.0,266.0,1_21_2
020012103,169.0,1.0,0.0,0.0,170.0,1_21_3
020012104,491.0,8.0,0.0,1.0,500.0,1_21_4
020012105,273.0,2.0,0.0,0.0,275.0,1_21_5
020012106,261.0,2.0,0.0,1.0,264.0,1_21_6
020012107,326.0,6.0,0.0,0.0,332.0,1_21_7
020012108,228.0,4.0,0.0,8.0,240.0,1_21_8
020012109,326.0,0.0,0.0,2.0,328.0,1_21_9
020012110,374.0,2.0,0.0,0.0,376.0,1_21_10
020012201,260.0,0.0,0.0,1.0,261.0,1_22_1
020012202,421.0,0.0,0.0,1.0,422.0,1_22_2
