Código,Argentina,Otro país,Total,CO_FRAC_RA
020021104,1285.0,108.0,1393.0,2_11_4
020021105,289.0,20.0,309.0,2_11_5
020021106,463.0,64.0,527.0,2_11_6
020021201,871.0,99.0,970.0,2_12_1
020021202,725.0,93.0,818.0,2_12_2
020021203,878.0,65.0,943.0,2_12_3
020021204,1156.0,94.0,1250.0,2_12_4
020021205,1142.0,100.0,1242.0,2_12_5
020021206,916.0,67.0,983.0,2_12_6
020021301,1110.0,86.0,1196.0,2_13_1
020021302,831.0,59.0,890.0,2_13_2
020021303,900.0,73.0,973.0,2_13_3
020021304,1033.0,79.0,1112.0,2_13_4
020021305,1259.0,112.0,1371.0,2_13_5
020021306,981.0,71.0,1052.0,2_13_6
020021307,1116.0,95.0,1211.0,2_13_7
020021401,684.0,76.0,760.0,2_14_1
020021402,519.0,56.0,575.0,2_14_2
020021403,331.0,24.0,355.0,2_14_3
020021404,698.0,45.0,743.0,2_14_4
020021405,1045.0,79.0,1124.0,2_14_5
020021406,966.0,65.0,1031.0,2_14_6
020021407,593.0,55.0,648.0,2_14_7
020021408,639.0,56.0,695.0,2_14_8
020021409,1324.0,151.0,1475.0,2_14_9
020021410,923.0,83.0,1006.0,2_14_10
020021501,545.0,56.0,601.0,2_15_1
020021502,736.0,62.0,798.0,2_15_2
020021503,1286.0,107.0,1393.0,2_15_3
020021504,575.0,53.0,628.0,2_15_4
020021505,491.0,64.0,555.0,2_15_5
020021506,562.0,43.0,605.0,2_15_6
020021507,665.0,91.0,756.0,2_15_7
020021508,651.0,57.0,708.0,2_15_8
020021601,635.0,172.0,807.0,2_16_1
020021602,639.0,73.0,712.0,2_16_2
020021603,626.0,72.0,698.0,2_16_3
020021604,450.0,84.0,534.0,2_16_4
020021605,757.0,65.0,822.0,2_16_5
020021606,620.0,55.0,675.0,2_16_6
020021607,697.0,73.0,770.0,2_16_7
020021608,379.0,46.0,425.0,2_16_8
020021701,1126.0,91.0,1217.0,2_17_1
020021702,779.0,59.0,838.0,2_17_2
020021703,838.0,93.0,931.0,2_17_3
020021704,307.0,32.0,339.0,2_17_4
020021705,478.0,54.0,532.0,2_17_5
020021706,887.0,99.0,986.0,2_17_6
020021707,1005.0,116.0,1121.0,2_17_7
020021708,824.0,89.0,913.0,2_17_8
020021709,667.0,74.0,741.0,2_17_9
020021801,801.0,90.0,891.0,2_18_1
020021802,1097.0,91.0,1188.0,2_18_2
020021803,713.0,74.0,787.0,2_18_3
020021804,1059.0,126.0,1185.0,2_18_4
020021805,498.0,51.0,549.0,2_18_5
020021806,698.0,46.0,744.0,2_18_6
020021807,526.0,69.0,595.0,2_18_7
020021808,807.0,105.0,912.0,2_18_8
020021901,805.0,49.0,854.0,2_19_1
020021902,609.0,66.0,675.0,2_19_2
020021903,635.0,82.0,717.0,2_19_3
020021904,911.0,86.0,997.0,2_19_4
020021905,737.0,53.0,790.0,2_19_5
020021906,690.0,55.0,745.0,2_19_6
020021907,626.0,56.0,682.0,2_19_7
020021908,741.0,90.0,831.0,2_19_8
020022001,875.0,84.0,959.0,2_20_1
020022002,730.0,92.0,822.0,2_20_2
020022003,648.0,103.0,751.0,2_20_3
020022004,768.0,73.0,841.0,2_20_4
020022005,466.0,38.0,504.0,2_20_5
020022006,574.0,63.0,637.0,2_20_6
020022007,480.0,89.0,569.0,2_20_7
020022008,604.0,67.0,671.0,2_20_8
020022101,968.0,90.0,1058.0,2_21_1
020022102,860.0,99.0,959.0,2_21_2
020022103,694.0,81.0,775.0,2_21_3
020022104,972.0,74.0,1046.0,2_21_4
020022105,900.0,84.0,984.0,2_21_5
020022106,846.0,80.0,926.0,2_21_6
020022201,620.0,79.0,699.0,2_22_1
020022202,494.0,40.0,534.0,2_22_2
020022203,414.0,25.0,439.0,2_22_3
020022204,886.0,73.0,959.0,2_22_4
020022205,1031.0,62.0,1093.0,2_22_5
020022206,927.0,89.0,1016.0,2_22_6
020022301,984.0,95.0,1079.0,2_23_1
020022302,941.0,84.0,1025.0,2_23_2
020022303,850.0,78.0,928.0,2_23_3
020022304,758.0,91.0,849.0,2_23_4
020022305,601.0,49.0,650.0,2_23_5
020022306,373.0,33.0,406.0,2_23_6
