Código,"Cerámica, baldosa, mosaico, mármol, madera o alfombrado",Cemento o ladrillo fijo,Tierra o ladrillo suelto,Otro,Total,CO_FRACC
0200802,2243.0,35.0,0.0,280.0,2558.0,008_2
0200803,2378.0,795.0,67.0,8.0,3248.0,008_3
0200804,2895.0,98.0,1.0,5.0,2999.0,008_4
0200805,3069.0,88.0,1.0,44.0,3202.0,008_5
0200806,2980.0,129.0,1.0,19.0,3129.0,008_6
0200807,3006.0,3571.0,106.0,19.0,6702.0,008_7
0200808,2955.0,72.0,0.0,32.0,3059.0,008_8
0200809,2524.0,63.0,0.0,32.0,2619.0,008_9
0200810,3712.0,30.0,0.0,156.0,3898.0,008_10
0200811,3333.0,11.0,0.0,433.0,3777.0,008_11
0200812,2086.0,71.0,0.0,6.0,2163.0,008_12
0200813,1699.0,157.0,4.0,8.0,1868.0,008_13
0200814,2943.0,964.0,71.0,19.0,3997.0,008_14
0200815,2720.0,2085.0,197.0,38.0,5040.0,008_15
0200816,2535.0,32.0,5.0,97.0,2669.0,008_16
0200817,1115.0,9.0,0.0,110.0,1234.0,008_17
0200901,2341.0,24.0,0.0,19.0,2384.0,009_1
0200902,3808.0,31.0,0.0,10.0,3849.0,009_2
0200903,3471.0,40.0,1.0,11.0,3523.0,009_3
0200904,3349.0,34.0,3.0,5.0,3391.0,009_4
0200905,3409.0,52.0,0.0,6.0,3467.0,009_5
0200906,3940.0,67.0,0.0,13.0,4020.0,009_6
0200907,3815.0,55.0,0.0,5.0,3875.0,009_7
0200908,3784.0,96.0,5.0,59.0,3944.0,009_8
0200909,3705.0,124.0,3.0,16.0,3848.0,009_9
0200910,3267.0,60.0,2.0,8.0,3337.0,009_10
0200911,4088.0,127.0,3.0,12.0,4230.0,009_11
0200912,3306.0,168.0,3.0,6.0,3483.0,009_12
0200913,2177.0,152.0,1.0,2.0,2332.0,009_13
0200914,2680.0,1137.0,8.0,16.0,3841.0,009_14
0200915,3014.0,156.0,4.0,14.0,3188.0,009_15
0200916,3649.0,111.0,5.0,18.0,3783.0,009_16
0201001,2390.0,16.0,1.0,9.0,2416.0,010_1
0201002,2460.0,32.0,1.0,11.0,2504.0,010_2
0201003,2241.0,21.0,1.0,7.0,2270.0,010_3
0201004,2712.0,29.0,0.0,10.0,2751.0,010_4
0201005,4083.0,47.0,2.0,11.0,4143.0,010_5
0201006,4109.0,59.0,2.0,9.0,4179.0,010_6
0201007,3958.0,68.0,0.0,15.0,4041.0,010_7
0201008,3161.0,44.0,0.0,4.0,3209.0,010_8
0201009,2944.0,61.0,0.0,3.0,3008.0,010_9
0201010,3622.0,56.0,1.0,5.0,3684.0,010_10
0201011,3545.0,73.0,2.0,3.0,3623.0,010_11
0201012,2727.0,29.0,1.0,18.0,2775.0,010_12
0201013,3145.0,37.0,0.0,10.0,3192.0,010_13
0201014,3156.0,60.0,2.0,5.0,3223.0,010_14
0201015,2581.0,76.0,1.0,6.0,2664.0,010_15
0201016,2916.0,57.0,2.0,13.0,2988.0,010_16
0201017,3088.0,47.0,0.0,6.0,3141.0,010_17
0201018,3510.0,42.0,0.0,7.0,3559.0,010_18
0201019,3916.0,147.0,6.0,14.0,4083.0,010_19
0201101,3504.0,59.0,0.0,21.0,3584.0,011_1
0201102,3401.0,29.0,0.0,1.0,3431.0,011_2
0201103,3237.0,18.0,1.0,3.0,3259.0,011_3
0201104,3768.0,15.0,0.0,7.0,3790.0,011_4
0201105,2993.0,37.0,0.0,4.0,3034.0,011_5
0201106,3405.0,26.0,0.0,6.0,3437.0,011_6
0201107,3426.0,62.0,1.0,11.0,3500.0,011_7
0201108,2920.0,8.0,0.0,5.0,2933.0,011_8
0201109,3580.0,17.0,0.0,16.0,3613.0,011_9
0201110,3504.0,13.0,0.0,26.0,3543.0,011_10
0201111,2638.0,24.0,0.0,14.0,2676.0,011_11
0201112,2672.0,18.0,1.0,7.0,2698.0,011_12
0201113,3670.0,23.0,0.0,9.0,3702.0,011_13
0201114,2746.0,24.0,0.0,3.0,2773.0,011_14
0201115,3736.0,29.0,1.0,28.0,3794.0,011_15
0201116,3012.0,41.0,2.0,0.0,3055.0,011_16
0201117,2521.0,66.0,2.0,5.0,2594.0,011_17
0201118,3034.0,36.0,0.0,5.0,3075.0,011_18
0201119,2691.0,44.0,0.0,41.0,2776.0,011_19
0201120,3128.0,51.0,0.0,8.0,3187.0,011_20
0201121,3466.0,50.0,1.0,4.0,3521.0,011_21
0201122,3431.0,47.0,0.0,7.0,3485.0,011_22
0201201,2965.0,49.0,2.0,7.0,3023.0,012_1
0201202,2825.0,39.0,1.0,4.0,2869.0,012_2
0201203,2963.0,96.0,0.0,24.0,3083.0,012_3
0201204,2983.0,81.0,0.0,14.0,3078.0,012_4
0201205,3550.0,51.0,1.0,37.0,3639.0,012_5
0201206,3233.0,35.0,2.0,14.0,3284.0,012_6
0201207,3558.0,59.0,1.0,30.0,3648.0,012_7
0201208,3652.0,165.0,1.0,13.0,3831.0,012_8
0201209,2535.0,29.0,1.0,5.0,2570.0,012_9
0201210,3632.0,51.0,1.0,14.0,3698.0,012_10
0201211,3341.0,69.0,3.0,13.0,3426.0,012_11
0201212,2847.0,25.0,0.0,7.0,2879.0,012_12
0201213,3145.0,9.0,0.0,8.0,3162.0,012_13
