Código,Sí,No,Total,CO_FRAC_RA
020012110,353.0,23.0,376.0,1_21_10
020012201,257.0,4.0,261.0,1_22_1
020012202,387.0,35.0,422.0,1_22_2
020012203,352.0,19.0,371.0,1_22_3
020012204,190.0,17.0,207.0,1_22_4
020012205,184.0,2.0,186.0,1_22_5
020012206,242.0,17.0,259.0,1_22_6
020012207,257.0,11.0,268.0,1_22_7
020012208,250.0,26.0,276.0,1_22_8
020012209,352.0,25.0,377.0,1_22_9
020012210,542.0,40.0,582.0,1_22_10
020012301,271.0,1.0,272.0,1_23_1
020012302,217.0,2.0,219.0,1_23_2
020012303,360.0,13.0,373.0,1_23_3
020012304,125.0,6.0,131.0,1_23_4
020012305,224.0,4.0,228.0,1_23_5
020012306,213.0,1.0,214.0,1_23_6
020012307,239.0,26.0,265.0,1_23_7
020012308,278.0,37.0,315.0,1_23_8
020012309,401.0,4.0,405.0,1_23_9
020012310,134.0,16.0,150.0,1_23_10
020012401,109.0,4.0,113.0,1_24_1
020012402,144.0,1.0,145.0,1_24_2
020012403,198.0,2.0,200.0,1_24_3
020012404,148.0,20.0,168.0,1_24_4
020012405,166.0,2.0,168.0,1_24_5
020012406,361.0,4.0,365.0,1_24_6
020012407,257.0,4.0,261.0,1_24_7
020012408,180.0,4.0,184.0,1_24_8
020012501,175.0,0.0,175.0,1_25_1
020012502,179.0,0.0,179.0,1_25_2
020012503,220.0,1.0,221.0,1_25_3
020012504,425.0,5.0,430.0,1_25_4
020012505,226.0,0.0,226.0,1_25_5
020012506,321.0,30.0,351.0,1_25_6
020012507,192.0,1.0,193.0,1_25_7
020012508,313.0,8.0,321.0,1_25_8
020012509,177.0,35.0,212.0,1_25_9
020012510,222.0,5.0,227.0,1_25_10
020012511,248.0,4.0,252.0,1_25_11
020012601,213.0,36.0,249.0,1_26_1
020012602,290.0,30.0,320.0,1_26_2
020012603,216.0,1.0,217.0,1_26_3
020012604,242.0,2.0,244.0,1_26_4
020012605,299.0,11.0,310.0,1_26_5
020012606,213.0,1.0,214.0,1_26_6
020012607,141.0,1.0,142.0,1_26_7
020012608,211.0,2.0,213.0,1_26_8
020012609,314.0,2.0,316.0,1_26_9
020012701,232.0,2.0,234.0,1_27_1
020012702,204.0,71.0,275.0,1_27_2
020012703,265.0,28.0,293.0,1_27_3
020012704,264.0,61.0,325.0,1_27_4
020012705,253.0,35.0,288.0,1_27_5
020012706,261.0,98.0,359.0,1_27_6
020012707,234.0,31.0,265.0,1_27_7
020012708,236.0,19.0,255.0,1_27_8
020012709,287.0,37.0,324.0,1_27_9
020012710,233.0,15.0,248.0,1_27_10
020012801,210.0,10.0,220.0,1_28_1
020012802,278.0,67.0,345.0,1_28_2
020012803,223.0,18.0,241.0,1_28_3
020012804,261.0,19.0,280.0,1_28_4
020012805,339.0,15.0,354.0,1_28_5
020012806,240.0,41.0,281.0,1_28_6
020012807,285.0,29.0,314.0,1_28_7
020012808,107.0,3.0,110.0,1_28_8
020012809,233.0,29.0,262.0,1_28_9
020012810,318.0,35.0,353.0,1_28_10
020012811,176.0,73.0,249.0,1_28_11
020012812,205.0,30.0,235.0,1_28_12
020012813,214.0,47.0,261.0,1_28_13
020012901,381.0,39.0,420.0,1_29_1
020012902,179.0,87.0,266.0,1_29_2
020012903,240.0,36.0,276.0,1_29_3
020012904,250.0,22.0,272.0,1_29_4
020012905,256.0,50.0,306.0,1_29_5
020012906,311.0,12.0,323.0,1_29_6
020012907,311.0,17.0,328.0,1_29_7
020012908,234.0,26.0,260.0,1_29_8
020012909,370.0,6.0,376.0,1_29_9
020020101,21.0,0.0,21.0,2_1_1
020020102,120.0,13.0,133.0,2_1_2
020020201,251.0,1.0,252.0,2_2_1
020020202,360.0,2.0,362.0,2_2_2
020020203,229.0,0.0,229.0,2_2_3
020020204,205.0,0.0,205.0,2_2_4
020020205,259.0,0.0,259.0,2_2_5
020020206,197.0,0.0,197.0,2_2_6
020020207,140.0,1.0,141.0,2_2_7
020020208,281.0,1.0,282.0,2_2_8
020020301,398.0,1.0,399.0,2_3_1
020020302,411.0,0.0,411.0,2_3_2
020020303,100.0,0.0,100.0,2_3_3
020020304,188.0,0.0,188.0,2_3_4
020020305,293.0,0.0,293.0,2_3_5
020020306,274.0,0.0,274.0,2_3_6
020020307,353.0,0.0,353.0,2_3_7
020020308,233.0,1.0,234.0,2_3_8
020020401,313.0,0.0,313.0,2_4_1
020020402,109.0,0.0,109.0,2_4_2
020020403,149.0,0.0,149.0,2_4_3
020020404,194.0,1.0,195.0,2_4_4
020020405,284.0,0.0,284.0,2_4_5
020020406,211.0,1.0,212.0,2_4_6
020020407,234.0,1.0,235.0,2_4_7
020020408,425.0,2.0,427.0,2_4_8
020020409,332.0,1.0,333.0,2_4_9
020020410,429.0,1.0,430.0,2_4_10
020020501,255.0,1.0,256.0,2_5_1
020020502,319.0,0.0,319.0,2_5_2
020020503,255.0,0.0,255.0,2_5_3
020020504,226.0,0.0,226.0,2_5_4
020020505,324.0,0.0,324.0,2_5_5
020020506,328.0,0.0,328.0,2_5_6
020020507,328.0,1.0,329.0,2_5_7
020020508,326.0,2.0,328.0,2_5_8
020020509,271.0,0.0,271.0,2_5_9
020020601,174.0,1.0,175.0,2_6_1
020020602,572.0,0.0,572.0,2_6_2
020020603,225.0,1.0,226.0,2_6_3
020020604,333.0,0.0,333.0,2_6_4
020020605,183.0,0.0,183.0,2_6_5
020020606,312.0,8.0,320.0,2_6_6
020020607,173.0,2.0,175.0,2_6_7
020020608,210.0,9.0,219.0,2_6_8
020020609,276.0,0.0,276.0,2_6_9
020020610,227.0,1.0,228.0,2_6_10
020020701,573.0,0.0,573.0,2_7_1
020020702,493.0,0.0,493.0,2_7_2
020020703,361.0,0.0,361.0,2_7_3
020020704,267.0,0.0,267.0,2_7_4
020020705,242.0,2.0,244.0,2_7_5
020020706,271.0,0.0,271.0,2_7_6
020020707,406.0,3.0,409.0,2_7_7
020020708,167.0,5.0,172.0,2_7_8
020020709,277.0,1.0,278.0,2_7_9
020020801,347.0,0.0,347.0,2_8_1
