Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total,CO_FRACC
0201413,1270.0,552.0,1106.0,144.0,271.0,24.0,3367.0,014_13
0201414,1406.0,637.0,1224.0,127.0,204.0,18.0,3616.0,014_14
0201415,1452.0,669.0,1064.0,118.0,201.0,12.0,3516.0,014_15
0201416,1240.0,646.0,589.0,76.0,102.0,10.0,2663.0,014_16
0201417,1376.0,664.0,620.0,66.0,89.0,14.0,2829.0,014_17
0201418,1480.0,707.0,748.0,84.0,95.0,13.0,3127.0,014_18
0201419,1206.0,454.0,763.0,91.0,110.0,7.0,2631.0,014_19
0201420,1288.0,515.0,877.0,107.0,132.0,8.0,2927.0,014_20
0201421,1066.0,537.0,956.0,124.0,226.0,30.0,2939.0,014_21
0201422,1347.0,676.0,1175.0,158.0,218.0,10.0,3584.0,014_22
0201423,1429.0,634.0,1447.0,141.0,319.0,23.0,3993.0,014_23
0201424,1047.0,495.0,915.0,82.0,176.0,22.0,2737.0,014_24
0201425,1172.0,472.0,968.0,90.0,170.0,14.0,2886.0,014_25
0201426,1455.0,663.0,939.0,84.0,146.0,7.0,3294.0,014_26
0201427,1218.0,528.0,810.0,69.0,148.0,9.0,2782.0,014_27
0201428,1754.0,865.0,942.0,103.0,113.0,13.0,3790.0,014_28
0201429,1466.0,611.0,1124.0,112.0,210.0,19.0,3542.0,014_29
0201430,1699.0,864.0,763.0,100.0,105.0,6.0,3537.0,014_30
0201431,1690.0,756.0,592.0,70.0,92.0,8.0,3208.0,014_31
0201501,1049.0,901.0,1232.0,200.0,149.0,11.0,3542.0,015_1
0201502,810.0,668.0,812.0,134.0,88.0,4.0,2516.0,015_2
0201503,1388.0,995.0,1284.0,220.0,244.0,33.0,4164.0,015_3
0201504,1228.0,850.0,1409.0,260.0,327.0,47.0,4121.0,015_4
0201505,1165.0,977.0,1341.0,235.0,216.0,16.0,3950.0,015_5
0201506,596.0,454.0,526.0,84.0,79.0,3.0,1742.0,015_6
0201507,893.0,754.0,1266.0,260.0,355.0,94.0,3622.0,015_7
0201508,876.0,631.0,1199.0,253.0,315.0,42.0,3316.0,015_8
0201509,596.0,372.0,745.0,186.0,375.0,105.0,2379.0,015_9
0201510,1363.0,752.0,1418.0,234.0,346.0,50.0,4163.0,015_10
0201511,1300.0,783.0,1472.0,251.0,391.0,48.0,4245.0,015_11
0201512,784.0,420.0,946.0,168.0,325.0,44.0,2687.0,015_12
0201513,979.0,527.0,957.0,141.0,193.0,19.0,2816.0,015_13
0201514,1116.0,686.0,1419.0,200.0,320.0,39.0,3780.0,015_14
0201515,940.0,663.0,1159.0,228.0,318.0,45.0,3353.0,015_15
0201516,1042.0,753.0,1309.0,199.0,229.0,35.0,3567.0,015_16
0201517,1359.0,765.0,1228.0,240.0,267.0,38.0,3897.0,015_17
0201518,1102.0,706.0,1066.0,142.0,171.0,15.0,3202.0,015_18
0201519,1333.0,687.0,1308.0,172.0,170.0,18.0,3688.0,015_19
0201520,1338.0,708.0,1256.0,168.0,220.0,29.0,3719.0,015_20
0201521,1356.0,669.0,1458.0,189.0,280.0,44.0,3996.0,015_21
