Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total,CO_FRAC_RA
020011109,69.0,36.0,75.0,13.0,25.0,1.0,219.0,1_11_9
020011110,95.0,35.0,100.0,14.0,27.0,1.0,272.0,1_11_10
020011111,49.0,13.0,40.0,7.0,15.0,2.0,126.0,1_11_11
020011112,140.0,65.0,150.0,16.0,32.0,4.0,407.0,1_11_12
020011113,93.0,40.0,106.0,13.0,36.0,3.0,291.0,1_11_13
020011114,96.0,26.0,116.0,21.0,30.0,0.0,289.0,1_11_14
020011201,40.0,6.0,34.0,6.0,27.0,3.0,116.0,1_12_1
020011202,22.0,25.0,57.0,3.0,18.0,4.0,129.0,1_12_2
020011203,78.0,18.0,137.0,18.0,59.0,4.0,314.0,1_12_3
020011204,35.0,8.0,134.0,10.0,22.0,0.0,209.0,1_12_4
020011205,118.0,29.0,75.0,7.0,34.0,12.0,275.0,1_12_5
020011206,64.0,32.0,66.0,7.0,27.0,6.0,202.0,1_12_6
020011207,64.0,29.0,144.0,17.0,78.0,15.0,347.0,1_12_7
020011208,56.0,2.0,47.0,3.0,20.0,1.0,129.0,1_12_8
020011209,121.0,30.0,116.0,21.0,35.0,19.0,342.0,1_12_9
020011210,28.0,3.0,45.0,4.0,21.0,0.0,101.0,1_12_10
020011211,65.0,9.0,41.0,7.0,14.0,0.0,136.0,1_12_11
020011212,30.0,5.0,32.0,7.0,15.0,1.0,90.0,1_12_12
020011301,64.0,53.0,43.0,2.0,1.0,0.0,163.0,1_13_1
020011302,24.0,20.0,15.0,1.0,0.0,0.0,60.0,1_13_2
020011303,6.0,4.0,8.0,1.0,1.0,0.0,20.0,1_13_3
020011304,48.0,45.0,34.0,5.0,4.0,0.0,136.0,1_13_4
020011305,52.0,31.0,64.0,5.0,2.0,0.0,154.0,1_13_5
020011306,49.0,22.0,28.0,1.0,0.0,0.0,100.0,1_13_6
020011307,92.0,67.0,74.0,5.0,3.0,0.0,241.0,1_13_7
020011308,69.0,41.0,44.0,2.0,0.0,0.0,156.0,1_13_8
020011309,65.0,53.0,38.0,1.0,0.0,0.0,157.0,1_13_9
020011310,95.0,70.0,51.0,10.0,7.0,2.0,235.0,1_13_10
020011311,61.0,33.0,39.0,3.0,5.0,1.0,142.0,1_13_11
020011312,59.0,32.0,41.0,6.0,0.0,0.0,138.0,1_13_12
020011313,42.0,20.0,36.0,2.0,4.0,0.0,104.0,1_13_13
020011314,66.0,45.0,210.0,51.0,219.0,68.0,659.0,1_13_14
020011315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1_13_15
020011401,66.0,15.0,102.0,11.0,43.0,10.0,247.0,1_14_1
020011402,49.0,21.0,65.0,28.0,50.0,13.0,226.0,1_14_2
020011403,65.0,14.0,62.0,11.0,32.0,12.0,196.0,1_14_3
020011404,20.0,5.0,13.0,0.0,1.0,0.0,39.0,1_14_4
020011405,51.0,16.0,97.0,10.0,38.0,14.0,226.0,1_14_5
