Código,Sí,No,Total,CO_FRAC_RA
020011907,188.0,137.0,325.0,1_19_7
020011908,59.0,101.0,160.0,1_19_8
020011909,155.0,68.0,223.0,1_19_9
020012001,146.0,113.0,259.0,1_20_1
020012002,185.0,113.0,298.0,1_20_2
020012003,161.0,77.0,238.0,1_20_3
020012004,200.0,143.0,343.0,1_20_4
020012005,218.0,134.0,352.0,1_20_5
020012006,206.0,130.0,336.0,1_20_6
020012007,136.0,71.0,207.0,1_20_7
020012008,116.0,102.0,218.0,1_20_8
020012009,152.0,95.0,247.0,1_20_9
020012010,171.0,145.0,316.0,1_20_10
020012101,144.0,122.0,266.0,1_21_1
020012102,172.0,94.0,266.0,1_21_2
020012103,83.0,87.0,170.0,1_21_3
020012104,268.0,232.0,500.0,1_21_4
020012105,167.0,108.0,275.0,1_21_5
020012106,141.0,123.0,264.0,1_21_6
020012107,179.0,153.0,332.0,1_21_7
020012108,156.0,84.0,240.0,1_21_8
020012109,195.0,133.0,328.0,1_21_9
020012110,248.0,128.0,376.0,1_21_10
020012201,200.0,61.0,261.0,1_22_1
020012202,261.0,161.0,422.0,1_22_2
020012203,234.0,137.0,371.0,1_22_3
020012204,120.0,87.0,207.0,1_22_4
020012205,137.0,49.0,186.0,1_22_5
020012206,169.0,90.0,259.0,1_22_6
020012207,173.0,95.0,268.0,1_22_7
020012208,165.0,111.0,276.0,1_22_8
020012209,231.0,146.0,377.0,1_22_9
020012210,340.0,242.0,582.0,1_22_10
020012301,190.0,82.0,272.0,1_23_1
020012302,156.0,63.0,219.0,1_23_2
020012303,261.0,112.0,373.0,1_23_3
020012304,73.0,58.0,131.0,1_23_4
020012305,163.0,65.0,228.0,1_23_5
020012306,160.0,54.0,214.0,1_23_6
020012307,175.0,90.0,265.0,1_23_7
020012308,199.0,116.0,315.0,1_23_8
020012309,278.0,127.0,405.0,1_23_9
020012310,85.0,65.0,150.0,1_23_10
020012401,79.0,34.0,113.0,1_24_1
020012402,112.0,33.0,145.0,1_24_2
020012403,138.0,62.0,200.0,1_24_3
020012404,114.0,54.0,168.0,1_24_4
020012405,123.0,45.0,168.0,1_24_5
020012406,269.0,96.0,365.0,1_24_6
020012407,195.0,66.0,261.0,1_24_7
020012408,123.0,61.0,184.0,1_24_8
020012501,127.0,48.0,175.0,1_25_1
020012502,133.0,46.0,179.0,1_25_2
020012503,153.0,68.0,221.0,1_25_3
020012504,286.0,144.0,430.0,1_25_4
020012505,165.0,61.0,226.0,1_25_5
020012506,231.0,120.0,351.0,1_25_6
020012507,119.0,74.0,193.0,1_25_7
020012508,215.0,106.0,321.0,1_25_8
020012509,111.0,101.0,212.0,1_25_9
020012510,159.0,68.0,227.0,1_25_10
020012511,186.0,66.0,252.0,1_25_11
020012601,125.0,124.0,249.0,1_26_1
020012602,220.0,100.0,320.0,1_26_2
020012603,152.0,65.0,217.0,1_26_3
020012604,177.0,67.0,244.0,1_26_4
020012605,173.0,137.0,310.0,1_26_5
020012606,142.0,72.0,214.0,1_26_6
020012607,94.0,48.0,142.0,1_26_7
020012608,143.0,70.0,213.0,1_26_8
020012609,210.0,106.0,316.0,1_26_9
020012701,142.0,92.0,234.0,1_27_1
020012702,122.0,153.0,275.0,1_27_2
020012703,138.0,155.0,293.0,1_27_3
020012704,129.0,196.0,325.0,1_27_4
020012705,163.0,125.0,288.0,1_27_5
020012706,113.0,246.0,359.0,1_27_6
020012707,117.0,148.0,265.0,1_27_7
020012708,130.0,125.0,255.0,1_27_8
020012709,164.0,160.0,324.0,1_27_9
020012710,161.0,87.0,248.0,1_27_10
020012801,121.0,99.0,220.0,1_28_1
020012802,140.0,205.0,345.0,1_28_2
020012803,121.0,120.0,241.0,1_28_3
020012804,149.0,131.0,280.0,1_28_4
020012805,197.0,157.0,354.0,1_28_5
020012806,115.0,166.0,281.0,1_28_6
020012807,179.0,135.0,314.0,1_28_7
020012808,60.0,50.0,110.0,1_28_8
020012809,130.0,132.0,262.0,1_28_9
020012810,174.0,179.0,353.0,1_28_10
020012811,72.0,177.0,249.0,1_28_11
020012812,106.0,129.0,235.0,1_28_12
020012813,122.0,139.0,261.0,1_28_13
020012901,219.0,201.0,420.0,1_29_1
020012902,77.0,189.0,266.0,1_29_2
020012903,118.0,158.0,276.0,1_29_3
020012904,134.0,138.0,272.0,1_29_4
020012905,140.0,166.0,306.0,1_29_5
020012906,253.0,70.0,323.0,1_29_6
020012907,184.0,144.0,328.0,1_29_7
020012908,131.0,129.0,260.0,1_29_8
020012909,204.0,172.0,376.0,1_29_9
020020101,14.0,7.0,21.0,2_1_1
020020102,60.0,73.0,133.0,2_1_2
020020201,202.0,50.0,252.0,2_2_1
020020202,297.0,65.0,362.0,2_2_2
020020203,195.0,34.0,229.0,2_2_3
020020204,174.0,31.0,205.0,2_2_4
020020205,204.0,55.0,259.0,2_2_5
020020206,154.0,43.0,197.0,2_2_6
020020207,116.0,25.0,141.0,2_2_7
020020208,228.0,54.0,282.0,2_2_8
020020301,321.0,78.0,399.0,2_3_1
020020302,334.0,77.0,411.0,2_3_2
020020303,78.0,22.0,100.0,2_3_3
020020304,153.0,35.0,188.0,2_3_4
020020305,240.0,53.0,293.0,2_3_5
020020306,219.0,55.0,274.0,2_3_6
020020307,289.0,64.0,353.0,2_3_7
020020308,201.0,33.0,234.0,2_3_8
020020401,271.0,42.0,313.0,2_4_1
020020402,87.0,22.0,109.0,2_4_2
020020403,124.0,25.0,149.0,2_4_3
020020404,143.0,52.0,195.0,2_4_4
020020405,213.0,71.0,284.0,2_4_5
020020406,171.0,41.0,212.0,2_4_6
020020407,182.0,53.0,235.0,2_4_7
020020408,345.0,82.0,427.0,2_4_8
020020409,273.0,60.0,333.0,2_4_9
020020410,330.0,100.0,430.0,2_4_10
020020501,198.0,58.0,256.0,2_5_1
020020502,263.0,56.0,319.0,2_5_2
020020503,189.0,66.0,255.0,2_5_3
020020504,161.0,65.0,226.0,2_5_4
020020505,264.0,60.0,324.0,2_5_5
020020506,269.0,59.0,328.0,2_5_6
020020507,269.0,60.0,329.0,2_5_7
020020508,250.0,78.0,328.0,2_5_8
020020509,206.0,65.0,271.0,2_5_9
020020601,139.0,36.0,175.0,2_6_1
020020602,442.0,130.0,572.0,2_6_2
020020603,183.0,43.0,226.0,2_6_3
020020604,261.0,72.0,333.0,2_6_4
020020605,146.0,37.0,183.0,2_6_5
020020606,232.0,88.0,320.0,2_6_6
020020607,143.0,32.0,175.0,2_6_7
020020608,158.0,61.0,219.0,2_6_8
020020609,216.0,60.0,276.0,2_6_9
020020610,176.0,52.0,228.0,2_6_10
020020701,471.0,102.0,573.0,2_7_1
020020702,397.0,96.0,493.0,2_7_2
020020703,290.0,71.0,361.0,2_7_3
020020704,217.0,50.0,267.0,2_7_4
020020705,196.0,48.0,244.0,2_7_5
020020706,208.0,63.0,271.0,2_7_6
020020707,327.0,82.0,409.0,2_7_7
020020708,127.0,45.0,172.0,2_7_8
020020709,212.0,66.0,278.0,2_7_9
020020801,271.0,76.0,347.0,2_8_1
020020802,245.0,61.0,306.0,2_8_2
020020803,367.0,90.0,457.0,2_8_3
020020804,397.0,81.0,478.0,2_8_4
020020805,325.0,88.0,413.0,2_8_5
020020806,496.0,129.0,625.0,2_8_6
020020807,554.0,153.0,707.0,2_8_7
020020808,285.0,72.0,357.0,2_8_8
020020901,331.0,68.0,399.0,2_9_1
020020902,178.0,40.0,218.0,2_9_2
020020903,349.0,102.0,451.0,2_9_3
020020904,378.0,83.0,461.0,2_9_4
020020905,396.0,92.0,488.0,2_9_5
020020906,356.0,85.0,441.0,2_9_6
020020907,383.0,89.0,472.0,2_9_7
020020908,532.0,117.0,649.0,2_9_8
020020909,438.0,112.0,550.0,2_9_9
020021001,396.0,123.0,519.0,2_10_1
020021002,276.0,90.0,366.0,2_10_2
020021003,175.0,34.0,209.0,2_10_3
020021004,271.0,73.0,344.0,2_10_4
020021005,327.0,99.0,426.0,2_10_5
020021006,262.0,59.0,321.0,2_10_6
020021007,382.0,101.0,483.0,2_10_7
020021008,349.0,94.0,443.0,2_10_8
020021009,228.0,71.0,299.0,2_10_9
020021101,490.0,131.0,621.0,2_11_1
020021102,195.0,46.0,241.0,2_11_2
020021103,564.0,108.0,672.0,2_11_3
020021104,536.0,132.0,668.0,2_11_4
020021105,133.0,36.0,169.0,2_11_5
020021106,252.0,53.0,305.0,2_11_6
020021201,358.0,77.0,435.0,2_12_1
020021202,323.0,79.0,402.0,2_12_2
020021203,365.0,92.0,457.0,2_12_3
020021204,552.0,152.0,704.0,2_12_4
020021205,497.0,118.0,615.0,2_12_5
020021206,412.0,86.0,498.0,2_12_6
020021301,494.0,101.0,595.0,2_13_1
020021302,341.0,77.0,418.0,2_13_2
020021303,418.0,98.0,516.0,2_13_3
020021304,449.0,106.0,555.0,2_13_4
020021305,532.0,115.0,647.0,2_13_5
020021306,314.0,68.0,382.0,2_13_6
020021307,497.0,137.0,634.0,2_13_7
020021401,197.0,51.0,248.0,2_14_1
020021402,243.0,63.0,306.0,2_14_2
020021403,132.0,43.0,175.0,2_14_3
020021404,303.0,66.0,369.0,2_14_4
020021405,391.0,108.0,499.0,2_14_5
020021406,430.0,102.0,532.0,2_14_6
020021407,246.0,102.0,348.0,2_14_7
020021408,290.0,90.0,380.0,2_14_8
020021409,487.0,118.0,605.0,2_14_9
020021410,431.0,106.0,537.0,2_14_10
020021501,208.0,58.0,266.0,2_15_1
020021502,302.0,86.0,388.0,2_15_2
020021503,522.0,108.0,630.0,2_15_3
020021504,250.0,60.0,310.0,2_15_4
020021505,208.0,59.0,267.0,2_15_5
020021506,229.0,57.0,286.0,2_15_6
020021507,288.0,79.0,367.0,2_15_7
020021508,270.0,69.0,339.0,2_15_8
020021601,251.0,70.0,321.0,2_16_1
020021602,246.0,62.0,308.0,2_16_2
020021603,243.0,62.0,305.0,2_16_3
020021604,238.0,46.0,284.0,2_16_4
020021605,293.0,93.0,386.0,2_16_5
020021606,247.0,71.0,318.0,2_16_6
020021607,274.0,85.0,359.0,2_16_7
020021608,150.0,46.0,196.0,2_16_8
020021701,458.0,113.0,571.0,2_17_1
020021702,301.0,81.0,382.0,2_17_2
020021703,357.0,97.0,454.0,2_17_3
020021704,123.0,45.0,168.0,2_17_4
020021705,241.0,49.0,290.0,2_17_5
020021706,348.0,104.0,452.0,2_17_6
020021707,446.0,131.0,577.0,2_17_7
020021708,351.0,138.0,489.0,2_17_8
020021709,290.0,76.0,366.0,2_17_9
020021801,348.0,110.0,458.0,2_18_1
020021802,434.0,114.0,548.0,2_18_2
020021803,312.0,85.0,397.0,2_18_3
020021804,203.0,64.0,267.0,2_18_4
020021805,190.0,60.0,250.0,2_18_5
020021806,283.0,84.0,367.0,2_18_6
020021807,210.0,67.0,277.0,2_18_7
020021808,232.0,103.0,335.0,2_18_8
020021901,310.0,83.0,393.0,2_19_1
020021902,244.0,62.0,306.0,2_19_2
020021903,247.0,58.0,305.0,2_19_3
020021904,378.0,121.0,499.0,2_19_4
020021905,278.0,83.0,361.0,2_19_5
020021906,332.0,92.0,424.0,2_19_6
020021907,243.0,81.0,324.0,2_19_7
020021908,281.0,96.0,377.0,2_19_8
020022001,361.0,96.0,457.0,2_20_1
020022002,340.0,109.0,449.0,2_20_2
020022003,288.0,84.0,372.0,2_20_3
020022004,300.0,86.0,386.0,2_20_4
020022005,206.0,45.0,251.0,2_20_5
020022006,264.0,92.0,356.0,2_20_6
020022007,198.0,49.0,247.0,2_20_7
020022008,260.0,41.0,301.0,2_20_8
020022101,375.0,87.0,462.0,2_21_1
020022102,355.0,87.0,442.0,2_21_2
020022103,289.0,80.0,369.0,2_21_3
020022104,430.0,100.0,530.0,2_21_4
020022105,426.0,82.0,508.0,2_21_5
