Código,Ocupado,Desocupado,Inactivo,Total,CO_FRACC
0200424,4260.0,394.0,1912.0,6566.0,004_24
0200425,5221.0,294.0,1918.0,7433.0,004_25
0200426,1391.0,140.0,804.0,2335.0,004_26
0200501,4500.0,212.0,1448.0,6160.0,005_1
0200502,4998.0,207.0,1649.0,6854.0,005_2
0200503,4612.0,211.0,1325.0,6148.0,005_3
0200504,4495.0,194.0,1581.0,6270.0,005_4
0200505,4019.0,137.0,1422.0,5578.0,005_5
0200506,4921.0,189.0,1819.0,6929.0,005_6
0200507,4341.0,192.0,1411.0,5944.0,005_7
0200508,4791.0,184.0,1703.0,6678.0,005_8
0200509,4395.0,192.0,1549.0,6136.0,005_9
0200510,4742.0,196.0,1672.0,6610.0,005_10
0200511,5450.0,194.0,1662.0,7306.0,005_11
0200512,4316.0,142.0,1627.0,6085.0,005_12
0200513,4558.0,147.0,1643.0,6348.0,005_13
0200514,4852.0,177.0,1900.0,6929.0,005_14
0200515,4662.0,171.0,1715.0,6548.0,005_15
0200516,5384.0,249.0,2033.0,7666.0,005_16
0200517,5232.0,229.0,1968.0,7429.0,005_17
0200518,4954.0,199.0,1852.0,7005.0,005_18
0200519,5286.0,241.0,2086.0,7613.0,005_19
0200520,6102.0,296.0,2455.0,8853.0,005_20
0200521,4580.0,219.0,1893.0,6692.0,005_21
0200522,6614.0,303.0,2594.0,9511.0,005_22
0200601,5313.0,222.0,2003.0,7538.0,006_1
0200602,5602.0,238.0,2048.0,7888.0,006_2
0200603,5205.0,218.0,1813.0,7236.0,006_3
0200604,5055.0,186.0,1798.0,7039.0,006_4
0200605,5398.0,201.0,2070.0,7669.0,006_5
0200606,5058.0,204.0,1887.0,7149.0,006_6
0200607,5708.0,169.0,1959.0,7836.0,006_7
0200608,5081.0,144.0,1637.0,6862.0,006_8
0200609,3859.0,168.0,1812.0,5839.0,006_9
0200610,4825.0,199.0,1926.0,6950.0,006_10
0200611,4608.0,173.0,1491.0,6272.0,006_11
0200612,4544.0,164.0,1781.0,6489.0,006_12
0200613,4913.0,159.0,2101.0,7173.0,006_13
0200614,5109.0,164.0,1834.0,7107.0,006_14
0200615,5204.0,161.0,1847.0,7212.0,006_15
0200616,6387.0,221.0,2276.0,8884.0,006_16
0200617,3928.0,135.0,1752.0,5815.0,006_17
0200618,4484.0,164.0,2093.0,6741.0,006_18
0200619,5062.0,196.0,1995.0,7253.0,006_19
0200620,4593.0,150.0,1864.0,6607.0,006_20
0200621,5561.0,205.0,2089.0,7855.0,006_21
0200701,3953.0,196.0,1649.0,5798.0,007_1
0200702,4981.0,253.0,2038.0,7272.0,007_2
0200703,5441.0,222.0,2099.0,7762.0,007_3
0200704,5935.0,211.0,2285.0,8431.0,007_4
0200705,4194.0,180.0,2041.0,6415.0,007_5
0200706,3970.0,164.0,1656.0,5790.0,007_6
0200707,4452.0,166.0,1890.0,6508.0,007_7
0200708,3754.0,163.0,1458.0,5375.0,007_8
0200709,4560.0,162.0,1804.0,6526.0,007_9
0200710,4106.0,167.0,1881.0,6154.0,007_10
0200711,4791.0,197.0,2197.0,7185.0,007_11
0200712,3634.0,176.0,1819.0,5629.0,007_12
0200713,5487.0,255.0,2565.0,8307.0,007_13
0200714,6121.0,329.0,2741.0,9191.0,007_14
0200715,5112.0,332.0,2626.0,8070.0,007_15
0200716,4448.0,235.0,1986.0,6669.0,007_16
0200717,7675.0,475.0,2852.0,11002.0,007_17
0200718,5930.0,488.0,2367.0,8785.0,007_18
0200719,4468.0,318.0,1748.0,6534.0,007_19
0200720,6399.0,352.0,3063.0,9814.0,007_20
0200721,5906.0,185.0,2205.0,8296.0,007_21
0200722,5862.0,208.0,2319.0,8389.0,007_22
0200723,4056.0,143.0,1663.0,5862.0,007_23
0200724,5942.0,279.0,2769.0,8990.0,007_24
0200801,9678.0,595.0,4329.0,14602.0,008_1
0200802,3922.0,308.0,2106.0,6336.0,008_2
0200803,5335.0,354.0,2443.0,8132.0,008_3
0200804,4577.0,266.0,2545.0,7388.0,008_4
0200805,4744.0,322.0,2696.0,7762.0,008_5
0200806,5126.0,363.0,2329.0,7818.0,008_6
0200807,10885.0,913.0,4874.0,16672.0,008_7
0200808,4740.0,247.0,2385.0,7372.0,008_8
0200809,3951.0,214.0,2146.0,6311.0,008_9
0200810,5895.0,380.0,3092.0,9367.0,008_10
0200811,5640.0,457.0,3065.0,9162.0,008_11
0200812,3321.0,201.0,1807.0,5329.0,008_12
0200813,2995.0,168.0,1508.0,4671.0,008_13
0200814,6592.0,479.0,2965.0,10036.0,008_14
0200815,8007.0,651.0,3756.0,12414.0,008_15
0200816,4008.0,401.0,2523.0,6932.0,008_16
0200817,1648.0,68.0,832.0,2548.0,008_17
0200901,3398.0,167.0,1428.0,4993.0,009_1
0200902,5522.0,227.0,2527.0,8276.0,009_2
0200903,5169.0,230.0,2496.0,7895.0,009_3
0200904,4816.0,272.0,2634.0,7722.0,009_4
0200905,5018.0,230.0,2527.0,7775.0,009_5
0200906,6036.0,285.0,2639.0,8960.0,009_6
0200907,5643.0,290.0,3031.0,8964.0,009_7
0200908,6029.0,370.0,2913.0,9312.0,009_8
0200909,5897.0,312.0,2905.0,9114.0,009_9
0200910,4887.0,300.0,2335.0,7522.0,009_10
0200911,6640.0,344.0,3053.0,10037.0,009_11
0200912,5510.0,310.0,2696.0,8516.0,009_12
0200913,3822.0,213.0,1822.0,5857.0,009_13
0200914,6363.0,479.0,3369.0,10211.0,009_14
0200915,5031.0,272.0,2398.0,7701.0,009_15
0200916,5648.0,386.0,2984.0,9018.0,009_16
0201001,3580.0,157.0,1752.0,5489.0,010_1
0201002,3855.0,200.0,1822.0,5877.0,010_2
0201003,3380.0,206.0,1661.0,5247.0,010_3
0201004,4212.0,177.0,1930.0,6319.0,010_4
0201005,6231.0,280.0,2978.0,9489.0,010_5
0201006,6306.0,305.0,2921.0,9532.0,010_6
0201007,6157.0,323.0,2565.0,9045.0,010_7
0201008,4864.0,238.0,2217.0,7319.0,010_8
0201009,4595.0,230.0,2160.0,6985.0,010_9
0201010,5635.0,273.0,2701.0,8609.0,010_10
0201011,5486.0,255.0,2159.0,7900.0,010_11
0201012,4170.0,159.0,1653.0,5982.0,010_12
0201013,4712.0,231.0,2084.0,7027.0,010_13
0201014,4947.0,247.0,2064.0,7258.0,010_14
0201015,4010.0,228.0,1733.0,5971.0,010_15
0201016,4511.0,171.0,2040.0,6722.0,010_16
0201017,4731.0,206.0,2186.0,7123.0,010_17
0201018,5253.0,227.0,2150.0,7630.0,010_18
0201019,5882.0,283.0,2316.0,8481.0,010_19
0201101,5377.0,225.0,2276.0,7878.0,011_1
0201102,5336.0,213.0,2380.0,7929.0,011_2
0201103,4819.0,179.0,2256.0,7254.0,011_3
0201104,5635.0,225.0,2689.0,8549.0,011_4
0201105,4481.0,205.0,2270.0,6956.0,011_5
0201106,5092.0,235.0,2453.0,7780.0,011_6
0201107,5345.0,221.0,2447.0,8013.0,011_7
0201108,4221.0,177.0,1998.0,6396.0,011_8
0201109,5141.0,220.0,2105.0,7466.0,011_9
0201110,5022.0,179.0,1985.0,7186.0,011_10
0201111,4290.0,200.0,1876.0,6366.0,011_11
0201112,3972.0,152.0,1737.0,5861.0,011_12
0201113,4901.0,205.0,2518.0,7624.0,011_13
0201114,3927.0,194.0,1896.0,6017.0,011_14
0201115,5718.0,247.0,2466.0,8431.0,011_15
0201116,4540.0,199.0,1819.0,6558.0,011_16
0201117,4028.0,166.0,1779.0,5973.0,011_17
0201118,4807.0,182.0,1698.0,6687.0,011_18
0201119,4360.0,185.0,1612.0,6157.0,011_19
0201120,5127.0,209.0,1985.0,7321.0,011_20
0201121,5293.0,226.0,1956.0,7475.0,011_21
0201122,5492.0,263.0,2002.0,7757.0,011_22
0201201,4660.0,241.0,2334.0,7235.0,012_1
0201202,4197.0,179.0,1908.0,6284.0,012_2
0201203,5003.0,293.0,2251.0,7547.0,012_3
0201204,4635.0,194.0,1898.0,6727.0,012_4
0201205,5429.0,204.0,1745.0,7378.0,012_5
0201206,4858.0,203.0,1939.0,7000.0,012_6
0201207,5622.0,224.0,2018.0,7864.0,012_7
0201208,5707.0,245.0,1970.0,7922.0,012_8
0201209,3962.0,174.0,1685.0,5821.0,012_9
0201210,5617.0,213.0,2090.0,7920.0,012_10
0201211,5195.0,246.0,1979.0,7420.0,012_11
0201212,4245.0,154.0,1430.0,5829.0,012_12
0201213,4266.0,163.0,1561.0,5990.0,012_13
0201214,5412.0,160.0,2164.0,7736.0,012_14
0201215,6669.0,229.0,2728.0,9626.0,012_15
0201216,7772.0,256.0,2722.0,10750.0,012_16
0201217,4770.0,196.0,1930.0,6896.0,012_17
0201218,6115.0,243.0,2819.0,9177.0,012_18
0201219,6741.0,311.0,2952.0,10004.0,012_19
0201220,4752.0,199.0,1884.0,6835.0,012_20
0201221,5320.0,209.0,2153.0,7682.0,012_21
0201222,5990.0,261.0,2823.0,9074.0,012_22
0201301,5723.0,190.0,2077.0,7990.0,013_1
0201302,5665.0,169.0,1753.0,7587.0,013_2
0201303,5048.0,156.0,1477.0,6681.0,013_3
0201304,6645.0,224.0,2443.0,9312.0,013_4
0201305,4726.0,175.0,1403.0,6304.0,013_5
0201306,4392.0,180.0,1552.0,6124.0,013_6
0201307,4501.0,121.0,1582.0,6204.0,013_7
0201308,4856.0,157.0,1689.0,6702.0,013_8
0201309,4393.0,141.0,1673.0,6207.0,013_9
0201310,5604.0,189.0,1769.0,7562.0,013_10
0201311,2772.0,102.0,1226.0,4100.0,013_11
0201312,4406.0,155.0,1581.0,6142.0,013_12
0201313,6199.0,207.0,2612.0,9018.0,013_13
0201314,4050.0,112.0,1951.0,6113.0,013_14
0201315,5113.0,197.0,2217.0,7527.0,013_15
0201316,5442.0,194.0,2187.0,7823.0,013_16
0201317,5553.0,200.0,2034.0,7787.0,013_17
0201318,4599.0,157.0,1903.0,6659.0,013_18
0201319,4829.0,163.0,1998.0,6990.0,013_19
0201320,4893.0,166.0,1990.0,7049.0,013_20
0201321,4296.0,120.0,2091.0,6507.0,013_21
0201322,4273.0,132.0,1869.0,6274.0,013_22
0201323,5379.0,167.0,2093.0,7639.0,013_23
0201324,4477.0,170.0,1730.0,6377.0,013_24
0201325,3750.0,137.0,1358.0,5245.0,013_25
0201326,4657.0,162.0,1591.0,6410.0,013_26
0201327,4589.0,176.0,1786.0,6551.0,013_27
0201328,3991.0,145.0,1447.0,5583.0,013_28
0201329,5025.0,207.0,1734.0,6966.0,013_29
0201401,5395.0,160.0,2388.0,7943.0,014_1
0201402,5010.0,171.0,2020.0,7201.0,014_2
0201403,5510.0,191.0,2113.0,7814.0,014_3
0201404,5469.0,202.0,2019.0,7690.0,014_4
0201405,5166.0,207.0,1726.0,7099.0,014_5
0201406,5260.0,153.0,1554.0,6967.0,014_6
0201407,4292.0,179.0,1390.0,5861.0,014_7
0201408,4238.0,182.0,1277.0,5697.0,014_8
0201409,7053.0,205.0,2031.0,9289.0,014_9
0201410,9.0,0.0,4.0,13.0,014_10
0201411,6382.0,231.0,1746.0,8359.0,014_11
0201412,4208.0,142.0,1410.0,5760.0,014_12
0201413,4797.0,167.0,1545.0,6509.0,014_13
0201414,4721.0,188.0,1649.0,6558.0,014_14
0201415,4527.0,195.0,1708.0,6430.0,014_15
0201416,3836.0,112.0,1288.0,5236.0,014_16
0201417,3980.0,126.0,1466.0,5572.0,014_17
0201418,4225.0,157.0,1718.0,6100.0,014_18
0201419,3352.0,115.0,1233.0,4700.0,014_19
0201420,3729.0,160.0,1432.0,5321.0,014_20
0201421,4136.0,187.0,1406.0,5729.0,014_21
0201422,4908.0,226.0,1747.0,6881.0,014_22
0201423,5297.0,247.0,1668.0,7212.0,014_23
0201424,3433.0,137.0,1254.0,4824.0,014_24
0201425,3559.0,114.0,1245.0,4918.0,014_25
0201426,4270.0,175.0,1844.0,6289.0,014_26
0201427,3461.0,132.0,1378.0,4971.0,014_27
0201428,4898.0,206.0,2288.0,7392.0,014_28
0201429,4680.0,149.0,1561.0,6390.0,014_29
0201430,4883.0,154.0,1858.0,6895.0,014_30
0201431,5014.0,118.0,1892.0,7024.0,014_31
0201501,5427.0,217.0,2306.0,7950.0,015_1
0201502,3784.0,165.0,1787.0,5736.0,015_2
0201503,6561.0,250.0,2474.0,9285.0,015_3
0201504,6406.0,287.0,2234.0,8927.0,015_4
0201505,6111.0,315.0,2554.0,8980.0,015_5
0201506,2527.0,111.0,1063.0,3701.0,015_6
0201507,5967.0,287.0,2340.0,8594.0,015_7
0201508,5235.0,259.0,1940.0,7434.0,015_8
0201509,3927.0,174.0,1290.0,5391.0,015_9
0201510,6002.0,217.0,1989.0,8208.0,015_10
0201511,6408.0,295.0,2093.0,8796.0,015_11
0201512,3921.0,163.0,1280.0,5364.0,015_12
0201513,4156.0,139.0,1357.0,5652.0,015_13
0201514,5501.0,223.0,1940.0,7664.0,015_14
0201515,5153.0,228.0,2098.0,7479.0,015_15
0201516,5437.0,220.0,1923.0,7580.0,015_16
0201517,5748.0,178.0,1953.0,7879.0,015_17
0201518,4648.0,160.0,1566.0,6374.0,015_18
0201519,5146.0,165.0,1746.0,7057.0,015_19
0201520,5301.0,193.0,1815.0,7309.0,015_20
0201521,5709.0,214.0,1756.0,7679.0,015_21
