Código,Con personas presentes,Con todas las personas temporalmente ausentes,En alquiler o venta,En construcción,"Se usa como comercio, oficina o consultorio","Se usa para vacaciones, fin de semana u otro uso temporal",Por otra razón,Total,CO_FRACC
0201430,3462.0,871.0,236.0,25.0,230.0,93.0,250.0,5167.0,014_30
0201431,3143.0,833.0,203.0,65.0,174.0,56.0,328.0,4802.0,014_31
0201501,3472.0,383.0,108.0,23.0,52.0,4.0,148.0,4190.0,015_1
0201502,2429.0,216.0,75.0,15.0,32.0,0.0,150.0,2917.0,015_2
0201503,4025.0,418.0,138.0,33.0,74.0,19.0,191.0,4898.0,015_3
0201504,3808.0,556.0,156.0,26.0,102.0,6.0,192.0,4846.0,015_4
0201505,3730.0,447.0,127.0,29.0,67.0,9.0,197.0,4606.0,015_5
0201506,1663.0,220.0,54.0,4.0,34.0,0.0,87.0,2062.0,015_6
0201507,3365.0,258.0,94.0,22.0,53.0,10.0,148.0,3950.0,015_7
0201508,3078.0,305.0,103.0,25.0,113.0,9.0,170.0,3803.0,015_8
0201509,2145.0,257.0,70.0,12.0,60.0,7.0,85.0,2636.0,015_9
0201510,3949.0,580.0,142.0,20.0,135.0,18.0,204.0,5048.0,015_10
0201511,4030.0,630.0,154.0,27.0,280.0,13.0,206.0,5340.0,015_11
0201512,2528.0,397.0,106.0,15.0,41.0,9.0,143.0,3239.0,015_12
0201513,2765.0,411.0,116.0,13.0,66.0,9.0,122.0,3502.0,015_13
0201514,3614.0,446.0,171.0,11.0,94.0,12.0,126.0,4474.0,015_14
0201515,3192.0,346.0,88.0,11.0,78.0,7.0,174.0,3896.0,015_15
0201516,3373.0,394.0,139.0,26.0,106.0,7.0,234.0,4279.0,015_16
0201517,3738.0,484.0,116.0,14.0,88.0,11.0,150.0,4601.0,015_17
0201518,3106.0,349.0,118.0,14.0,78.0,9.0,163.0,3837.0,015_18
0201519,3593.0,479.0,177.0,10.0,147.0,15.0,177.0,4598.0,015_19
0201520,3567.0,511.0,161.0,18.0,163.0,15.0,221.0,4656.0,015_20
0201521,3863.0,581.0,211.0,22.0,68.0,20.0,183.0,4948.0,015_21
