Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRACC
0201219,4244.0,109.0,4353.0,012_19
0201220,3121.0,57.0,3178.0,012_20
0201221,3474.0,76.0,3550.0,012_21
0201222,4036.0,31.0,4067.0,012_22
0201301,4039.0,63.0,4102.0,013_1
0201302,3842.0,70.0,3912.0,013_2
0201303,3344.0,42.0,3386.0,013_3
0201304,4764.0,160.0,4924.0,013_4
0201305,3237.0,58.0,3295.0,013_5
0201306,2971.0,110.0,3081.0,013_6
0201307,3158.0,20.0,3178.0,013_7
0201308,3524.0,32.0,3556.0,013_8
0201309,3135.0,45.0,3180.0,013_9
0201310,4046.0,73.0,4119.0,013_10
0201311,1731.0,32.0,1763.0,013_11
0201312,2879.0,21.0,2900.0,013_12
0201313,4412.0,23.0,4435.0,013_13
0201314,2952.0,35.0,2987.0,013_14
0201315,4077.0,52.0,4129.0,013_15
0201316,4277.0,43.0,4320.0,013_16
0201317,4018.0,21.0,4039.0,013_17
0201318,3098.0,25.0,3123.0,013_18
0201319,3454.0,77.0,3531.0,013_19
0201320,3736.0,16.0,3752.0,013_20
0201321,3033.0,12.0,3045.0,013_21
0201322,2841.0,17.0,2858.0,013_22
0201323,4082.0,27.0,4109.0,013_23
0201324,2959.0,112.0,3071.0,013_24
0201325,2522.0,43.0,2565.0,013_25
0201326,3073.0,179.0,3252.0,013_26
0201327,3358.0,155.0,3513.0,013_27
0201328,2867.0,152.0,3019.0,013_28
0201329,3196.0,166.0,3362.0,013_29
0201401,3720.0,64.0,3784.0,014_1
0201402,3609.0,17.0,3626.0,014_2
0201403,4185.0,36.0,4221.0,014_3
0201404,3983.0,43.0,4026.0,014_4
0201405,3630.0,51.0,3681.0,014_5
0201406,3576.0,203.0,3779.0,014_6
0201407,2659.0,133.0,2792.0,014_7
0201408,2981.0,123.0,3104.0,014_8
0201409,4952.0,40.0,4992.0,014_9
0201410,6.0,0.0,6.0,014_10
0201411,4659.0,65.0,4724.0,014_11
0201412,2964.0,251.0,3215.0,014_12
0201413,3118.0,249.0,3367.0,014_13
0201414,3514.0,102.0,3616.0,014_14
0201415,3405.0,111.0,3516.0,014_15
0201416,2645.0,18.0,2663.0,014_16
0201417,2809.0,20.0,2829.0,014_17
0201418,3096.0,31.0,3127.0,014_18
0201419,2618.0,13.0,2631.0,014_19
0201420,2900.0,27.0,2927.0,014_20
0201421,2718.0,221.0,2939.0,014_21
0201422,3426.0,158.0,3584.0,014_22
0201423,3855.0,138.0,3993.0,014_23
0201424,2688.0,49.0,2737.0,014_24
0201425,2782.0,104.0,2886.0,014_25
0201426,3276.0,18.0,3294.0,014_26
0201427,2739.0,43.0,2782.0,014_27
0201428,3775.0,15.0,3790.0,014_28
0201429,3508.0,34.0,3542.0,014_29
0201430,3505.0,32.0,3537.0,014_30
0201431,3194.0,14.0,3208.0,014_31
