Código,Sí,No,Total,CO_FRAC_RA
020012110,331.0,45.0,376.0,1_21_10
020012201,228.0,33.0,261.0,1_22_1
020012202,346.0,76.0,422.0,1_22_2
020012203,338.0,33.0,371.0,1_22_3
020012204,170.0,37.0,207.0,1_22_4
020012205,158.0,28.0,186.0,1_22_5
020012206,220.0,39.0,259.0,1_22_6
020012207,240.0,28.0,268.0,1_22_7
020012208,247.0,29.0,276.0,1_22_8
020012209,323.0,54.0,377.0,1_22_9
020012210,486.0,96.0,582.0,1_22_10
020012301,231.0,41.0,272.0,1_23_1
020012302,201.0,18.0,219.0,1_23_2
020012303,329.0,44.0,373.0,1_23_3
020012304,111.0,20.0,131.0,1_23_4
020012305,192.0,36.0,228.0,1_23_5
020012306,182.0,32.0,214.0,1_23_6
020012307,239.0,26.0,265.0,1_23_7
020012308,265.0,50.0,315.0,1_23_8
020012309,349.0,56.0,405.0,1_23_9
020012310,134.0,16.0,150.0,1_23_10
020012401,97.0,16.0,113.0,1_24_1
020012402,126.0,19.0,145.0,1_24_2
020012403,163.0,37.0,200.0,1_24_3
020012404,144.0,24.0,168.0,1_24_4
020012405,141.0,27.0,168.0,1_24_5
020012406,319.0,46.0,365.0,1_24_6
020012407,230.0,31.0,261.0,1_24_7
020012408,158.0,26.0,184.0,1_24_8
020012501,151.0,24.0,175.0,1_25_1
020012502,161.0,18.0,179.0,1_25_2
020012503,184.0,37.0,221.0,1_25_3
020012504,359.0,71.0,430.0,1_25_4
020012505,195.0,31.0,226.0,1_25_5
020012506,296.0,55.0,351.0,1_25_6
020012507,165.0,28.0,193.0,1_25_7
020012508,263.0,58.0,321.0,1_25_8
020012509,171.0,41.0,212.0,1_25_9
020012510,203.0,24.0,227.0,1_25_10
020012511,221.0,31.0,252.0,1_25_11
020012601,212.0,37.0,249.0,1_26_1
020012602,274.0,46.0,320.0,1_26_2
020012603,182.0,35.0,217.0,1_26_3
020012604,211.0,33.0,244.0,1_26_4
020012605,260.0,50.0,310.0,1_26_5
020012606,177.0,37.0,214.0,1_26_6
020012607,116.0,26.0,142.0,1_26_7
020012608,172.0,41.0,213.0,1_26_8
020012609,267.0,49.0,316.0,1_26_9
020012701,189.0,45.0,234.0,1_27_1
020012702,232.0,43.0,275.0,1_27_2
020012703,231.0,62.0,293.0,1_27_3
020012704,277.0,48.0,325.0,1_27_4
020012705,249.0,39.0,288.0,1_27_5
020012706,301.0,58.0,359.0,1_27_6
020012707,242.0,23.0,265.0,1_27_7
020012708,209.0,46.0,255.0,1_27_8
020012709,279.0,45.0,324.0,1_27_9
020012710,198.0,50.0,248.0,1_27_10
020012801,181.0,39.0,220.0,1_28_1
020012802,281.0,64.0,345.0,1_28_2
020012803,210.0,31.0,241.0,1_28_3
020012804,237.0,43.0,280.0,1_28_4
020012805,298.0,56.0,354.0,1_28_5
020012806,236.0,45.0,281.0,1_28_6
020012807,266.0,48.0,314.0,1_28_7
020012808,93.0,17.0,110.0,1_28_8
020012809,225.0,37.0,262.0,1_28_9
020012810,308.0,45.0,353.0,1_28_10
020012811,203.0,46.0,249.0,1_28_11
020012812,200.0,35.0,235.0,1_28_12
020012813,223.0,38.0,261.0,1_28_13
020012901,374.0,46.0,420.0,1_29_1
020012902,215.0,51.0,266.0,1_29_2
020012903,237.0,39.0,276.0,1_29_3
020012904,235.0,37.0,272.0,1_29_4
020012905,250.0,56.0,306.0,1_29_5
020012906,300.0,23.0,323.0,1_29_6
020012907,266.0,62.0,328.0,1_29_7
020012908,223.0,37.0,260.0,1_29_8
020012909,322.0,54.0,376.0,1_29_9
020020101,19.0,2.0,21.0,2_1_1
020020102,119.0,14.0,133.0,2_1_2
020020201,217.0,35.0,252.0,2_2_1
020020202,336.0,26.0,362.0,2_2_2
020020203,212.0,17.0,229.0,2_2_3
020020204,188.0,17.0,205.0,2_2_4
020020205,237.0,22.0,259.0,2_2_5
020020206,178.0,19.0,197.0,2_2_6
020020207,129.0,12.0,141.0,2_2_7
020020208,253.0,29.0,282.0,2_2_8
020020301,361.0,38.0,399.0,2_3_1
020020302,375.0,36.0,411.0,2_3_2
020020303,88.0,12.0,100.0,2_3_3
020020304,178.0,10.0,188.0,2_3_4
020020305,274.0,19.0,293.0,2_3_5
020020306,236.0,38.0,274.0,2_3_6
020020307,317.0,36.0,353.0,2_3_7
020020308,217.0,17.0,234.0,2_3_8
020020401,289.0,24.0,313.0,2_4_1
020020402,97.0,12.0,109.0,2_4_2
020020403,134.0,15.0,149.0,2_4_3
020020404,171.0,24.0,195.0,2_4_4
020020405,253.0,31.0,284.0,2_4_5
020020406,185.0,27.0,212.0,2_4_6
020020407,206.0,29.0,235.0,2_4_7
020020408,388.0,39.0,427.0,2_4_8
020020409,302.0,31.0,333.0,2_4_9
020020410,373.0,57.0,430.0,2_4_10
020020501,222.0,34.0,256.0,2_5_1
020020502,285.0,34.0,319.0,2_5_2
020020503,222.0,33.0,255.0,2_5_3
020020504,197.0,29.0,226.0,2_5_4
020020505,291.0,33.0,324.0,2_5_5
020020506,285.0,43.0,328.0,2_5_6
020020507,299.0,30.0,329.0,2_5_7
020020508,291.0,37.0,328.0,2_5_8
020020509,219.0,52.0,271.0,2_5_9
020020601,161.0,14.0,175.0,2_6_1
020020602,495.0,77.0,572.0,2_6_2
020020603,203.0,23.0,226.0,2_6_3
020020604,294.0,39.0,333.0,2_6_4
020020605,166.0,17.0,183.0,2_6_5
020020606,280.0,40.0,320.0,2_6_6
020020607,158.0,17.0,175.0,2_6_7
020020608,191.0,28.0,219.0,2_6_8
020020609,247.0,29.0,276.0,2_6_9
020020610,197.0,31.0,228.0,2_6_10
020020701,503.0,70.0,573.0,2_7_1
020020702,436.0,57.0,493.0,2_7_2
020020703,322.0,39.0,361.0,2_7_3
020020704,229.0,38.0,267.0,2_7_4
020020705,212.0,32.0,244.0,2_7_5
020020706,240.0,31.0,271.0,2_7_6
020020707,370.0,39.0,409.0,2_7_7
020020708,141.0,31.0,172.0,2_7_8
020020709,245.0,33.0,278.0,2_7_9
020020801,305.0,42.0,347.0,2_8_1
020020802,273.0,33.0,306.0,2_8_2
020020803,412.0,45.0,457.0,2_8_3
020020804,430.0,48.0,478.0,2_8_4
020020805,377.0,36.0,413.0,2_8_5
020020806,565.0,60.0,625.0,2_8_6
020020807,631.0,76.0,707.0,2_8_7
020020808,318.0,39.0,357.0,2_8_8
020020901,368.0,31.0,399.0,2_9_1
020020902,197.0,21.0,218.0,2_9_2
020020903,402.0,49.0,451.0,2_9_3
020020904,421.0,40.0,461.0,2_9_4
020020905,433.0,55.0,488.0,2_9_5
020020906,379.0,62.0,441.0,2_9_6
020020907,415.0,57.0,472.0,2_9_7
020020908,573.0,76.0,649.0,2_9_8
020020909,484.0,66.0,550.0,2_9_9
020021001,463.0,56.0,519.0,2_10_1
020021002,322.0,44.0,366.0,2_10_2
020021003,195.0,14.0,209.0,2_10_3
020021004,298.0,46.0,344.0,2_10_4
020021005,372.0,54.0,426.0,2_10_5
020021006,291.0,30.0,321.0,2_10_6
020021007,430.0,53.0,483.0,2_10_7
020021008,383.0,60.0,443.0,2_10_8
020021009,267.0,32.0,299.0,2_10_9
020021101,553.0,68.0,621.0,2_11_1
020021102,225.0,16.0,241.0,2_11_2
020021103,618.0,54.0,672.0,2_11_3
020021104,607.0,61.0,668.0,2_11_4
020021105,147.0,22.0,169.0,2_11_5
020021106,279.0,26.0,305.0,2_11_6
020021201,383.0,52.0,435.0,2_12_1
020021202,348.0,54.0,402.0,2_12_2
020021203,397.0,60.0,457.0,2_12_3
020021204,629.0,75.0,704.0,2_12_4
020021205,555.0,60.0,615.0,2_12_5
020021206,453.0,45.0,498.0,2_12_6
020021301,547.0,48.0,595.0,2_13_1
020021302,382.0,36.0,418.0,2_13_2
020021303,460.0,56.0,516.0,2_13_3
020021304,500.0,55.0,555.0,2_13_4
020021305,594.0,53.0,647.0,2_13_5
020021306,339.0,43.0,382.0,2_13_6
020021307,555.0,79.0,634.0,2_13_7
020021401,222.0,26.0,248.0,2_14_1
020021402,272.0,34.0,306.0,2_14_2
020021403,146.0,29.0,175.0,2_14_3
020021404,323.0,46.0,369.0,2_14_4
020021405,437.0,62.0,499.0,2_14_5
020021406,480.0,52.0,532.0,2_14_6
020021407,290.0,58.0,348.0,2_14_7
020021408,333.0,47.0,380.0,2_14_8
020021409,553.0,52.0,605.0,2_14_9
020021410,487.0,50.0,537.0,2_14_10
020021501,226.0,40.0,266.0,2_15_1
020021502,353.0,35.0,388.0,2_15_2
020021503,575.0,55.0,630.0,2_15_3
020021504,276.0,34.0,310.0,2_15_4
020021505,235.0,32.0,267.0,2_15_5
020021506,257.0,29.0,286.0,2_15_6
020021507,333.0,34.0,367.0,2_15_7
020021508,305.0,34.0,339.0,2_15_8
020021601,287.0,34.0,321.0,2_16_1
020021602,273.0,35.0,308.0,2_16_2
020021603,270.0,35.0,305.0,2_16_3
020021604,258.0,26.0,284.0,2_16_4
020021605,337.0,49.0,386.0,2_16_5
020021606,283.0,35.0,318.0,2_16_6
020021607,309.0,50.0,359.0,2_16_7
020021608,173.0,23.0,196.0,2_16_8
020021701,507.0,64.0,571.0,2_17_1
020021702,337.0,45.0,382.0,2_17_2
020021703,400.0,54.0,454.0,2_17_3
020021704,150.0,18.0,168.0,2_17_4
020021705,266.0,24.0,290.0,2_17_5
020021706,401.0,51.0,452.0,2_17_6
020021707,510.0,67.0,577.0,2_17_7
020021708,420.0,69.0,489.0,2_17_8
020021709,313.0,53.0,366.0,2_17_9
020021801,405.0,53.0,458.0,2_18_1
020021802,480.0,68.0,548.0,2_18_2
020021803,339.0,58.0,397.0,2_18_3
020021804,240.0,27.0,267.0,2_18_4
020021805,223.0,27.0,250.0,2_18_5
020021806,317.0,50.0,367.0,2_18_6
020021807,242.0,35.0,277.0,2_18_7
020021808,298.0,37.0,335.0,2_18_8
020021901,352.0,41.0,393.0,2_19_1
