Código,Sí,No,Total,CO_FRACC
0201429,3322.0,220.0,3542.0,014_29
0201430,3428.0,109.0,3537.0,014_30
0201431,3112.0,96.0,3208.0,014_31
0201501,3318.0,224.0,3542.0,015_1
0201502,2384.0,132.0,2516.0,015_2
0201503,3874.0,290.0,4164.0,015_3
0201504,3661.0,460.0,4121.0,015_4
0201505,3620.0,330.0,3950.0,015_5
0201506,1646.0,96.0,1742.0,015_6
0201507,2972.0,650.0,3622.0,015_7
0201508,2865.0,451.0,3316.0,015_8
0201509,1714.0,665.0,2379.0,015_9
0201510,3679.0,484.0,4163.0,015_10
0201511,3720.0,525.0,4245.0,015_11
0201512,2327.0,360.0,2687.0,015_12
0201513,2562.0,254.0,2816.0,015_13
0201514,3425.0,355.0,3780.0,015_14
0201515,2886.0,467.0,3353.0,015_15
0201516,3249.0,318.0,3567.0,015_16
0201517,3560.0,337.0,3897.0,015_17
0201518,2964.0,238.0,3202.0,015_18
0201519,3461.0,227.0,3688.0,015_19
0201520,3423.0,296.0,3719.0,015_20
0201521,3574.0,422.0,3996.0,015_21
