Código,Satisfactoria,Básica,Insuficiente,Total,CO_FRAC_RA
020121409,305.0,14.0,0.0,319.0,12_14_9
020121410,379.0,42.0,2.0,423.0,12_14_10
020121501,327.0,19.0,19.0,365.0,12_15_1
020121502,397.0,22.0,0.0,419.0,12_15_2
020121503,380.0,25.0,0.0,405.0,12_15_3
020121504,376.0,39.0,0.0,415.0,12_15_4
020121505,302.0,88.0,1.0,391.0,12_15_5
020121506,317.0,22.0,0.0,339.0,12_15_6
020121507,366.0,12.0,1.0,379.0,12_15_7
020121508,346.0,11.0,2.0,359.0,12_15_8
020121509,398.0,23.0,1.0,422.0,12_15_9
020121510,258.0,30.0,5.0,293.0,12_15_10
020121511,228.0,37.0,0.0,265.0,12_15_11
020121512,250.0,16.0,1.0,267.0,12_15_12
020121513,229.0,12.0,4.0,245.0,12_15_13
020121601,345.0,31.0,3.0,379.0,12_16_1
020121602,305.0,37.0,3.0,345.0,12_16_2
020121603,300.0,8.0,0.0,308.0,12_16_3
020121604,396.0,30.0,22.0,448.0,12_16_4
020121605,423.0,25.0,22.0,470.0,12_16_5
020121606,573.0,56.0,0.0,629.0,12_16_6
020121607,303.0,12.0,1.0,316.0,12_16_7
020121608,439.0,79.0,0.0,518.0,12_16_8
020121609,331.0,9.0,18.0,358.0,12_16_9
020121610,271.0,53.0,3.0,327.0,12_16_10
020121611,309.0,24.0,0.0,333.0,12_16_11
020121612,249.0,61.0,1.0,311.0,12_16_12
020121613,163.0,32.0,0.0,195.0,12_16_13
020121614,166.0,4.0,0.0,170.0,12_16_14
020121701,289.0,53.0,1.0,343.0,12_17_1
020121702,280.0,63.0,3.0,346.0,12_17_2
020121703,293.0,28.0,1.0,322.0,12_17_3
020121704,263.0,33.0,4.0,300.0,12_17_4
020121705,383.0,42.0,2.0,427.0,12_17_5
020121706,333.0,54.0,1.0,388.0,12_17_6
020121707,321.0,30.0,4.0,355.0,12_17_7
020121708,509.0,35.0,1.0,545.0,12_17_8
020121801,197.0,29.0,2.0,228.0,12_18_1
020121802,238.0,68.0,2.0,308.0,12_18_2
020121803,271.0,35.0,7.0,313.0,12_18_3
020121804,243.0,50.0,3.0,296.0,12_18_4
020121805,243.0,47.0,0.0,290.0,12_18_5
020121806,273.0,27.0,0.0,300.0,12_18_6
020121807,288.0,38.0,2.0,328.0,12_18_7
020121808,290.0,23.0,1.0,314.0,12_18_8
020121809,226.0,34.0,3.0,263.0,12_18_9
020121810,232.0,36.0,4.0,272.0,12_18_10
020121811,195.0,29.0,9.0,233.0,12_18_11
020121812,365.0,60.0,1.0,426.0,12_18_12
020121813,273.0,32.0,0.0,305.0,12_18_13
020121901,337.0,8.0,0.0,345.0,12_19_1
020121902,211.0,7.0,0.0,218.0,12_19_2
020121903,242.0,8.0,0.0,250.0,12_19_3
020121904,302.0,55.0,6.0,363.0,12_19_4
020121905,327.0,37.0,2.0,366.0,12_19_5
020121906,303.0,44.0,1.0,348.0,12_19_6
020121907,305.0,32.0,2.0,339.0,12_19_7
020121908,250.0,32.0,20.0,302.0,12_19_8
020121909,270.0,41.0,0.0,311.0,12_19_9
020121910,319.0,28.0,1.0,348.0,12_19_10
020121911,309.0,24.0,1.0,334.0,12_19_11
020121912,249.0,36.0,30.0,315.0,12_19_12
020121913,265.0,6.0,1.0,272.0,12_19_13
020122001,282.0,30.0,1.0,313.0,12_20_1
020122002,458.0,56.0,0.0,514.0,12_20_2
020122003,385.0,13.0,0.0,398.0,12_20_3
020122004,355.0,29.0,2.0,386.0,12_20_4
020122005,313.0,36.0,2.0,351.0,12_20_5
020122006,374.0,27.0,1.0,402.0,12_20_6
020122007,312.0,25.0,5.0,342.0,12_20_7
020122008,285.0,20.0,4.0,309.0,12_20_8
020122101,440.0,16.0,0.0,456.0,12_21_1
020122102,353.0,16.0,40.0,409.0,12_21_2
020122103,320.0,18.0,3.0,341.0,12_21_3
020122104,387.0,27.0,2.0,416.0,12_21_4
020122105,183.0,8.0,0.0,191.0,12_21_5
020122106,288.0,29.0,2.0,319.0,12_21_6
020122107,272.0,57.0,1.0,330.0,12_21_7
020122108,264.0,30.0,0.0,294.0,12_21_8
020122109,243.0,25.0,2.0,270.0,12_21_9
020122110,219.0,38.0,1.0,258.0,12_21_10
020122201,253.0,30.0,1.0,284.0,12_22_1
020122202,305.0,48.0,2.0,355.0,12_22_2
020122203,265.0,23.0,1.0,289.0,12_22_3
020122204,259.0,32.0,1.0,292.0,12_22_4
020122205,340.0,20.0,0.0,360.0,12_22_5
020122206,377.0,56.0,0.0,433.0,12_22_6
020122207,410.0,23.0,1.0,434.0,12_22_7
020122208,314.0,16.0,2.0,332.0,12_22_8
020122209,325.0,31.0,0.0,356.0,12_22_9
020122210,312.0,37.0,6.0,355.0,12_22_10
020122211,329.0,36.0,0.0,365.0,12_22_11
020130101,281.0,12.0,1.0,294.0,13_1_1
020130102,313.0,25.0,2.0,340.0,13_1_2
020130103,250.0,4.0,0.0,254.0,13_1_3
020130104,293.0,61.0,1.0,355.0,13_1_4
020130105,380.0,12.0,1.0,393.0,13_1_5
020130106,287.0,68.0,1.0,356.0,13_1_6
020130107,166.0,15.0,0.0,181.0,13_1_7
020130108,222.0,9.0,7.0,238.0,13_1_8
020130109,185.0,10.0,2.0,197.0,13_1_9
020130110,269.0,35.0,0.0,304.0,13_1_10
020130111,235.0,24.0,0.0,259.0,13_1_11
020130112,218.0,23.0,1.0,242.0,13_1_12
020130113,226.0,12.0,1.0,239.0,13_1_13
020130114,220.0,15.0,27.0,262.0,13_1_14
020130201,452.0,34.0,28.0,514.0,13_2_1
020130202,299.0,29.0,1.0,329.0,13_2_2
020130203,227.0,26.0,2.0,255.0,13_2_3
020130204,195.0,36.0,3.0,234.0,13_2_4
020130205,265.0,58.0,0.0,323.0,13_2_5
020130206,430.0,27.0,3.0,460.0,13_2_6
020130207,282.0,8.0,1.0,291.0,13_2_7
020130208,228.0,24.0,0.0,252.0,13_2_8
020130209,365.0,24.0,1.0,390.0,13_2_9
020130210,374.0,50.0,12.0,436.0,13_2_10
020130211,275.0,17.0,0.0,292.0,13_2_11
020130301,357.0,16.0,0.0,373.0,13_3_1
020130302,249.0,15.0,1.0,265.0,13_3_2
020130303,316.0,14.0,1.0,331.0,13_3_3
020130304,409.0,18.0,2.0,429.0,13_3_4
020130305,292.0,17.0,0.0,309.0,13_3_5
020130306,248.0,21.0,1.0,270.0,13_3_6
020130307,273.0,9.0,1.0,283.0,13_3_7
020130308,249.0,28.0,0.0,277.0,13_3_8
020130309,301.0,30.0,0.0,331.0,13_3_9
020130310,416.0,26.0,0.0,442.0,13_3_10
020130401,275.0,9.0,0.0,284.0,13_4_1
020130402,304.0,33.0,1.0,338.0,13_4_2
020130403,266.0,17.0,17.0,300.0,13_4_3
020130404,371.0,51.0,1.0,423.0,13_4_4
020130405,337.0,20.0,1.0,358.0,13_4_5
020130406,362.0,33.0,1.0,396.0,13_4_6
020130407,274.0,16.0,0.0,290.0,13_4_7
020130408,231.0,33.0,0.0,264.0,13_4_8
020130409,308.0,26.0,0.0,334.0,13_4_9
020130410,222.0,6.0,1.0,229.0,13_4_10
020130411,284.0,31.0,1.0,316.0,13_4_11
020130412,530.0,39.0,14.0,583.0,13_4_12
020130413,284.0,17.0,20.0,321.0,13_4_13
020130414,303.0,21.0,0.0,324.0,13_4_14
020130501,305.0,29.0,1.0,335.0,13_5_1
020130502,369.0,28.0,0.0,397.0,13_5_2
020130503,473.0,51.0,1.0,525.0,13_5_3
020130504,440.0,33.0,0.0,473.0,13_5_4
020130505,298.0,42.0,1.0,341.0,13_5_5
020130506,368.0,47.0,3.0,418.0,13_5_6
020130507,263.0,61.0,0.0,324.0,13_5_7
020130508,371.0,34.0,2.0,407.0,13_5_8
020130601,264.0,18.0,0.0,282.0,13_6_1
020130602,371.0,22.0,3.0,396.0,13_6_2
020130603,350.0,9.0,0.0,359.0,13_6_3
020130604,344.0,52.0,1.0,397.0,13_6_4
020130605,403.0,39.0,3.0,445.0,13_6_5
020130606,318.0,28.0,2.0,348.0,13_6_6
020130607,369.0,21.0,1.0,391.0,13_6_7
020130608,286.0,36.0,13.0,335.0,13_6_8
020130701,260.0,9.0,0.0,269.0,13_7_1
020130702,206.0,14.0,0.0,220.0,13_7_2
020130703,425.0,28.0,0.0,453.0,13_7_3
020130704,332.0,8.0,0.0,340.0,13_7_4
020130705,456.0,17.0,0.0,473.0,13_7_5
020130706,345.0,24.0,0.0,369.0,13_7_6
020130707,316.0,11.0,0.0,327.0,13_7_7
020130708,284.0,20.0,0.0,304.0,13_7_8
020130709,354.0,8.0,1.0,363.0,13_7_9
020130801,298.0,12.0,1.0,311.0,13_8_1
020130802,251.0,18.0,2.0,271.0,13_8_2
020130803,389.0,18.0,0.0,407.0,13_8_3
020130804,339.0,39.0,0.0,378.0,13_8_4
020130805,389.0,60.0,1.0,450.0,13_8_5
020130806,283.0,8.0,0.0,291.0,13_8_6
020130807,309.0,29.0,0.0,338.0,13_8_7
020130808,392.0,13.0,6.0,411.0,13_8_8
020130809,298.0,28.0,0.0,326.0,13_8_9
020130810,276.0,13.0,0.0,289.0,13_8_10
020130901,262.0,19.0,2.0,283.0,13_9_1
020130902,255.0,37.0,2.0,294.0,13_9_2
020130903,214.0,21.0,1.0,236.0,13_9_3
020130904,281.0,11.0,0.0,292.0,13_9_4
020130905,454.0,30.0,1.0,485.0,13_9_5
020130906,285.0,31.0,2.0,318.0,13_9_6
020130907,291.0,3.0,0.0,294.0,13_9_7
020130908,319.0,9.0,0.0,328.0,13_9_8
020130909,343.0,14.0,2.0,359.0,13_9_9
020130910,220.0,14.0,1.0,235.0,13_9_10
020131001,370.0,42.0,1.0,413.0,13_10_1
020131002,327.0,17.0,0.0,344.0,13_10_2
020131003,372.0,28.0,1.0,401.0,13_10_3
020131004,387.0,24.0,2.0,413.0,13_10_4
020131005,194.0,34.0,4.0,232.0,13_10_5
020131006,323.0,25.0,30.0,378.0,13_10_6
020131007,258.0,53.0,1.0,312.0,13_10_7
020131008,406.0,21.0,3.0,430.0,13_10_8
020131009,302.0,9.0,2.0,313.0,13_10_9
020131010,355.0,43.0,2.0,400.0,13_10_10
020131011,289.0,16.0,1.0,306.0,13_10_11
020131101,155.0,14.0,1.0,170.0,13_11_1
020131102,213.0,26.0,0.0,239.0,13_11_2
020131103,178.0,16.0,0.0,194.0,13_11_3
020131104,214.0,12.0,0.0,226.0,13_11_4
020131105,204.0,11.0,0.0,215.0,13_11_5
020131106,339.0,32.0,2.0,373.0,13_11_6
020131107,241.0,21.0,3.0,265.0,13_11_7
020131201,254.0,22.0,0.0,276.0,13_12_1
020131202,300.0,12.0,0.0,312.0,13_12_2
020131203,215.0,20.0,1.0,236.0,13_12_3
020131204,339.0,11.0,0.0,350.0,13_12_4
020131205,193.0,17.0,2.0,212.0,13_12_5
020131206,194.0,34.0,7.0,235.0,13_12_6
020131207,275.0,58.0,6.0,339.0,13_12_7
020131208,245.0,26.0,1.0,272.0,13_12_8
020131209,323.0,52.0,3.0,378.0,13_12_9
020131210,218.0,22.0,4.0,244.0,13_12_10
020131301,345.0,6.0,1.0,352.0,13_13_1
020131302,146.0,1.0,0.0,147.0,13_13_2
020131303,315.0,3.0,1.0,319.0,13_13_3
