Código,Satisfactoria,Básica,Insuficiente,Total,CO_FRAC_RA
020150601,281.0,8.0,0.0,289.0,15_6_1
020150602,254.0,12.0,0.0,266.0,15_6_2
020150603,248.0,23.0,0.0,271.0,15_6_3
020150604,234.0,12.0,0.0,246.0,15_6_4
020150605,152.0,29.0,1.0,182.0,15_6_5
020150606,157.0,14.0,0.0,171.0,15_6_6
020150607,226.0,12.0,0.0,238.0,15_6_7
020150701,246.0,38.0,1.0,285.0,15_7_1
020150702,181.0,27.0,5.0,213.0,15_7_2
020150703,186.0,40.0,0.0,226.0,15_7_3
020150704,160.0,29.0,3.0,192.0,15_7_4
020150705,238.0,33.0,6.0,277.0,15_7_5
020150706,115.0,40.0,126.0,281.0,15_7_6
020150707,291.0,47.0,2.0,340.0,15_7_7
020150708,203.0,88.0,3.0,294.0,15_7_8
020150709,235.0,23.0,4.0,262.0,15_7_9
020150710,261.0,73.0,37.0,371.0,15_7_10
020150711,292.0,23.0,0.0,315.0,15_7_11
020150712,269.0,40.0,0.0,309.0,15_7_12
020150801,225.0,30.0,4.0,259.0,15_8_1
020150802,157.0,31.0,17.0,205.0,15_8_2
020150803,309.0,51.0,4.0,364.0,15_8_3
020150804,271.0,28.0,7.0,306.0,15_8_4
020150805,232.0,38.0,1.0,271.0,15_8_5
020150806,207.0,35.0,1.0,243.0,15_8_6
020150807,328.0,19.0,1.0,348.0,15_8_7
020150808,285.0,27.0,5.0,317.0,15_8_8
020150809,364.0,21.0,5.0,390.0,15_8_9
020150810,364.0,11.0,0.0,375.0,15_8_10
020150901,209.0,13.0,2.0,224.0,15_9_1
020150902,196.0,6.0,2.0,204.0,15_9_2
020150903,202.0,19.0,0.0,221.0,15_9_3
020150904,152.0,63.0,11.0,226.0,15_9_4
020150905,183.0,43.0,4.0,230.0,15_9_5
020150906,154.0,44.0,12.0,210.0,15_9_6
020150907,178.0,52.0,15.0,245.0,15_9_7
020150908,229.0,149.0,207.0,585.0,15_9_8
020151001,255.0,41.0,4.0,300.0,15_10_1
020151002,290.0,42.0,1.0,333.0,15_10_2
020151003,347.0,45.0,4.0,396.0,15_10_3
020151004,283.0,31.0,16.0,330.0,15_10_4
020151005,241.0,30.0,1.0,272.0,15_10_5
020151006,191.0,20.0,2.0,213.0,15_10_6
020151007,349.0,26.0,7.0,382.0,15_10_7
020151008,238.0,33.0,7.0,278.0,15_10_8
020151009,227.0,42.0,17.0,286.0,15_10_9
020151010,167.0,32.0,43.0,242.0,15_10_10
020151011,222.0,21.0,3.0,246.0,15_10_11
020151012,266.0,39.0,5.0,310.0,15_10_12
020151013,309.0,24.0,28.0,361.0,15_10_13
020151101,237.0,31.0,23.0,291.0,15_11_1
020151102,257.0,64.0,3.0,324.0,15_11_2
020151103,269.0,23.0,10.0,302.0,15_11_3
020151104,232.0,47.0,6.0,285.0,15_11_4
020151105,171.0,52.0,3.0,226.0,15_11_5
020151106,182.0,42.0,8.0,232.0,15_11_6
020151107,196.0,34.0,15.0,245.0,15_11_7
020151108,234.0,26.0,4.0,264.0,15_11_8
020151109,298.0,58.0,2.0,358.0,15_11_9
020151110,236.0,21.0,4.0,261.0,15_11_10
020151111,453.0,62.0,1.0,516.0,15_11_11
020151112,350.0,21.0,1.0,372.0,15_11_12
020151113,287.0,45.0,22.0,354.0,15_11_13
020151201,152.0,46.0,23.0,221.0,15_12_1
020151202,222.0,50.0,6.0,278.0,15_12_2
020151203,231.0,55.0,4.0,290.0,15_12_3
020151204,262.0,46.0,0.0,308.0,15_12_4
020151205,276.0,41.0,14.0,331.0,15_12_5
020151206,253.0,39.0,2.0,294.0,15_12_6
020151207,184.0,45.0,2.0,231.0,15_12_7
020151208,319.0,11.0,1.0,331.0,15_12_8
020151209,214.0,30.0,0.0,244.0,15_12_9
020151301,240.0,48.0,6.0,294.0,15_13_1
020151302,208.0,25.0,19.0,252.0,15_13_2
020151303,272.0,26.0,0.0,298.0,15_13_3
020151304,218.0,36.0,1.0,255.0,15_13_4
020151305,192.0,17.0,0.0,209.0,15_13_5
020151306,206.0,24.0,3.0,233.0,15_13_6
020151307,250.0,26.0,6.0,282.0,15_13_7
020151308,179.0,10.0,0.0,189.0,15_13_8
020151309,355.0,68.0,35.0,458.0,15_13_9
020151310,285.0,9.0,1.0,295.0,15_13_10
020151401,273.0,65.0,1.0,339.0,15_14_1
020151402,357.0,28.0,0.0,385.0,15_14_2
020151403,255.0,21.0,0.0,276.0,15_14_3
020151404,255.0,22.0,28.0,305.0,15_14_4
020151405,384.0,29.0,0.0,413.0,15_14_5
020151406,250.0,25.0,1.0,276.0,15_14_6
020151407,370.0,16.0,2.0,388.0,15_14_7
020151408,218.0,73.0,12.0,303.0,15_14_8
020151409,276.0,37.0,8.0,321.0,15_14_9
020151410,221.0,41.0,4.0,266.0,15_14_10
020151411,288.0,50.0,4.0,342.0,15_14_11
020151501,234.0,36.0,20.0,290.0,15_15_1
020151502,206.0,16.0,4.0,226.0,15_15_2
020151503,379.0,11.0,4.0,394.0,15_15_3
020151504,238.0,69.0,6.0,313.0,15_15_4
020151505,250.0,31.0,5.0,286.0,15_15_5
020151506,260.0,16.0,1.0,277.0,15_15_6
020151507,237.0,75.0,39.0,351.0,15_15_7
020151508,229.0,19.0,6.0,254.0,15_15_8
020151509,354.0,54.0,0.0,408.0,15_15_9
020151510,346.0,30.0,17.0,393.0,15_15_10
020151601,302.0,7.0,2.0,311.0,15_16_1
020151602,238.0,32.0,9.0,279.0,15_16_2
020151603,316.0,16.0,29.0,361.0,15_16_3
020151604,258.0,26.0,0.0,284.0,15_16_4
020151605,224.0,31.0,1.0,256.0,15_16_5
020151606,280.0,22.0,0.0,302.0,15_16_6
020151607,245.0,48.0,4.0,297.0,15_16_7
020151608,319.0,27.0,2.0,348.0,15_16_8
020151609,284.0,19.0,0.0,303.0,15_16_9
020151610,299.0,27.0,1.0,327.0,15_16_10
020151611,275.0,30.0,0.0,305.0,15_16_11
020151701,267.0,44.0,1.0,312.0,15_17_1
020151702,214.0,35.0,1.0,250.0,15_17_2
020151703,336.0,26.0,0.0,362.0,15_17_3
020151704,321.0,36.0,10.0,367.0,15_17_4
020151705,310.0,36.0,3.0,349.0,15_17_5
020151706,234.0,59.0,2.0,295.0,15_17_6
020151707,270.0,40.0,20.0,330.0,15_17_7
020151708,197.0,70.0,2.0,269.0,15_17_8
020151709,227.0,27.0,8.0,262.0,15_17_9
020151710,296.0,23.0,0.0,319.0,15_17_10
020151711,315.0,24.0,0.0,339.0,15_17_11
020151712,266.0,17.0,1.0,284.0,15_17_12
020151801,246.0,11.0,0.0,257.0,15_18_1
020151802,196.0,5.0,0.0,201.0,15_18_2
020151803,238.0,23.0,40.0,301.0,15_18_3
020151804,183.0,23.0,0.0,206.0,15_18_4
020151805,175.0,31.0,2.0,208.0,15_18_5
020151806,182.0,26.0,1.0,209.0,15_18_6
020151807,265.0,10.0,1.0,276.0,15_18_7
020151808,213.0,4.0,0.0,217.0,15_18_8
020151809,222.0,0.0,0.0,222.0,15_18_9
020151810,207.0,29.0,1.0,237.0,15_18_10
020151811,260.0,29.0,1.0,290.0,15_18_11
020151812,217.0,15.0,0.0,232.0,15_18_12
020151813,241.0,9.0,0.0,250.0,15_18_13
020151901,210.0,18.0,1.0,229.0,15_19_1
020151902,302.0,23.0,2.0,327.0,15_19_2
020151903,271.0,13.0,0.0,284.0,15_19_3
020151904,326.0,12.0,0.0,338.0,15_19_4
020151905,357.0,18.0,2.0,377.0,15_19_5
020151906,317.0,16.0,1.0,334.0,15_19_6
020151907,360.0,10.0,0.0,370.0,15_19_7
020151908,277.0,14.0,0.0,291.0,15_19_8
020151909,261.0,22.0,0.0,283.0,15_19_9
020151910,345.0,34.0,1.0,380.0,15_19_10
020151911,360.0,20.0,0.0,380.0,15_19_11
020152001,309.0,30.0,1.0,340.0,15_20_1
020152002,338.0,22.0,1.0,361.0,15_20_2
020152003,315.0,21.0,0.0,336.0,15_20_3
020152004,232.0,30.0,0.0,262.0,15_20_4
020152005,249.0,16.0,2.0,267.0,15_20_5
020152006,252.0,53.0,2.0,307.0,15_20_6
020152007,247.0,32.0,0.0,279.0,15_20_7
020152008,227.0,15.0,0.0,242.0,15_20_8
020152009,163.0,41.0,14.0,218.0,15_20_9
020152010,256.0,49.0,3.0,308.0,15_20_10
020152011,207.0,118.0,2.0,327.0,15_20_11
020152012,281.0,38.0,1.0,320.0,15_20_12
020152101,278.0,34.0,4.0,316.0,15_21_1
020152102,335.0,25.0,1.0,361.0,15_21_2
020152103,225.0,39.0,0.0,264.0,15_21_3
020152104,289.0,32.0,2.0,323.0,15_21_4
020152105,166.0,20.0,10.0,196.0,15_21_5
020152106,377.0,22.0,3.0,402.0,15_21_6
020152107,147.0,24.0,0.0,171.0,15_21_7
020152108,217.0,38.0,1.0,256.0,15_21_8
020152109,302.0,77.0,0.0,379.0,15_21_9
020152110,238.0,17.0,19.0,274.0,15_21_10
020152111,310.0,10.0,4.0,324.0,15_21_11
020152112,185.0,16.0,14.0,215.0,15_21_12
020152113,332.0,38.0,12.0,382.0,15_21_13
