Código,0,1,Total,CO_FRAC_RA
020012808,80.0,30.0,110.0,1_28_8
020012809,223.0,39.0,262.0,1_28_9
020012810,309.0,44.0,353.0,1_28_10
020012811,228.0,20.0,248.0,1_28_11
020012812,204.0,27.0,231.0,1_28_12
020012813,198.0,60.0,258.0,1_28_13
020012901,346.0,72.0,418.0,1_29_1
020012902,234.0,22.0,256.0,1_29_2
020012903,236.0,38.0,274.0,1_29_3
020012904,216.0,54.0,270.0,1_29_4
020012905,254.0,51.0,305.0,1_29_5
020012906,195.0,126.0,321.0,1_29_6
020012907,251.0,73.0,324.0,1_29_7
020012908,211.0,41.0,252.0,1_29_8
020012909,316.0,57.0,373.0,1_29_9
020020101,21.0,0.0,21.0,2_1_1
020020102,128.0,4.0,132.0,2_1_2
020020201,124.0,128.0,252.0,2_2_1
020020202,130.0,232.0,362.0,2_2_2
020020203,105.0,136.0,241.0,2_2_3
020020204,84.0,120.0,204.0,2_2_4
020020205,91.0,167.0,258.0,2_2_5
020020206,103.0,94.0,197.0,2_2_6
020020207,55.0,85.0,140.0,2_2_7
020020208,101.0,181.0,282.0,2_2_8
020020301,149.0,249.0,398.0,2_3_1
020020302,161.0,249.0,410.0,2_3_2
020020303,44.0,56.0,100.0,2_3_3
020020304,63.0,125.0,188.0,2_3_4
020020305,106.0,188.0,294.0,2_3_5
020020306,117.0,157.0,274.0,2_3_6
020020307,135.0,218.0,353.0,2_3_7
020020308,77.0,156.0,233.0,2_3_8
020020401,127.0,186.0,313.0,2_4_1
020020402,50.0,59.0,109.0,2_4_2
020020403,50.0,99.0,149.0,2_4_3
020020404,88.0,107.0,195.0,2_4_4
020020405,102.0,182.0,284.0,2_4_5
020020406,92.0,119.0,211.0,2_4_6
020020407,109.0,126.0,235.0,2_4_7
020020408,145.0,280.0,425.0,2_4_8
020020409,130.0,203.0,333.0,2_4_9
020020410,172.0,257.0,429.0,2_4_10
020020501,112.0,144.0,256.0,2_5_1
020020502,121.0,196.0,317.0,2_5_2
020020503,111.0,144.0,255.0,2_5_3
