Código,A red pública (cloaca),A cámara séptica y pozo ciego,Sólo a pozo ciego,"A hoyo, excavación en la tierra, etc.",Total,CO_FRAC_RA
020011211,133.0,0.0,0.0,0.0,133.0,1_12_11
020011212,74.0,0.0,0.0,0.0,74.0,1_12_12
020011301,163.0,0.0,0.0,0.0,163.0,1_13_1
020011302,60.0,0.0,0.0,0.0,60.0,1_13_2
020011303,20.0,0.0,0.0,0.0,20.0,1_13_3
020011304,136.0,0.0,0.0,0.0,136.0,1_13_4
020011305,154.0,0.0,0.0,0.0,154.0,1_13_5
020011306,100.0,0.0,0.0,0.0,100.0,1_13_6
020011307,241.0,0.0,0.0,0.0,241.0,1_13_7
020011308,154.0,0.0,0.0,0.0,154.0,1_13_8
020011309,155.0,0.0,0.0,0.0,155.0,1_13_9
020011310,235.0,0.0,0.0,0.0,235.0,1_13_10
020011311,142.0,0.0,0.0,0.0,142.0,1_13_11
020011312,138.0,0.0,0.0,0.0,138.0,1_13_12
020011313,93.0,10.0,0.0,0.0,103.0,1_13_13
020011314,85.0,66.0,452.0,22.0,625.0,1_13_14
020011315,0.0,0.0,0.0,0.0,0.0,1_13_15
020011401,188.0,7.0,1.0,0.0,196.0,1_14_1
020011402,224.0,2.0,0.0,0.0,226.0,1_14_2
020011403,195.0,0.0,0.0,0.0,195.0,1_14_3
020011404,39.0,0.0,0.0,0.0,39.0,1_14_4
020011405,211.0,3.0,0.0,0.0,214.0,1_14_5
020011406,263.0,0.0,0.0,0.0,263.0,1_14_6
020011407,215.0,0.0,0.0,0.0,215.0,1_14_7
020011408,194.0,0.0,1.0,0.0,195.0,1_14_8
020011409,246.0,0.0,0.0,0.0,246.0,1_14_9
020011410,220.0,0.0,0.0,0.0,220.0,1_14_10
020011411,229.0,1.0,0.0,0.0,230.0,1_14_11
020011412,217.0,0.0,0.0,0.0,217.0,1_14_12
020011501,162.0,0.0,0.0,0.0,162.0,1_15_1
020011502,247.0,0.0,1.0,0.0,248.0,1_15_2
020011503,200.0,0.0,0.0,0.0,200.0,1_15_3
020011504,335.0,0.0,0.0,0.0,335.0,1_15_4
020011505,173.0,2.0,0.0,0.0,175.0,1_15_5
020011506,277.0,4.0,0.0,0.0,281.0,1_15_6
020011507,270.0,0.0,0.0,0.0,270.0,1_15_7
020011508,306.0,4.0,0.0,0.0,310.0,1_15_8
020011509,320.0,3.0,0.0,0.0,323.0,1_15_9
020011510,290.0,1.0,0.0,0.0,291.0,1_15_10
020011511,281.0,0.0,0.0,0.0,281.0,1_15_11
020011601,161.0,0.0,0.0,0.0,161.0,1_16_1
020011602,163.0,1.0,0.0,0.0,164.0,1_16_2
020011603,409.0,4.0,0.0,0.0,413.0,1_16_3
020011604,345.0,0.0,0.0,0.0,345.0,1_16_4
020011605,208.0,0.0,0.0,0.0,208.0,1_16_5
020011606,225.0,3.0,0.0,0.0,228.0,1_16_6
020011607,447.0,17.0,0.0,0.0,464.0,1_16_7
020011608,220.0,0.0,0.0,0.0,220.0,1_16_8
020011609,160.0,0.0,0.0,0.0,160.0,1_16_9
020011610,291.0,0.0,0.0,0.0,291.0,1_16_10
020011611,200.0,0.0,0.0,0.0,200.0,1_16_11
020011612,137.0,2.0,0.0,0.0,139.0,1_16_12
020011701,387.0,2.0,0.0,0.0,389.0,1_17_1
020011702,295.0,4.0,0.0,0.0,299.0,1_17_2
020011703,310.0,0.0,0.0,0.0,310.0,1_17_3
020011704,287.0,0.0,0.0,0.0,287.0,1_17_4
020011705,256.0,0.0,0.0,0.0,256.0,1_17_5
