Código,Sí,No,Total
020012601,125.0,119.0,244.0
020012602,220.0,97.0,317.0
020012603,152.0,65.0,217.0
020012604,177.0,66.0,243.0
020012605,173.0,136.0,309.0
020012606,142.0,71.0,213.0
020012607,94.0,47.0,141.0
020012608,143.0,70.0,213.0
020012609,210.0,106.0,316.0
020012701,142.0,92.0,234.0
020012702,122.0,140.0,262.0
020012703,138.0,151.0,289.0
020012704,129.0,182.0,311.0
020012705,163.0,114.0,277.0
020012706,113.0,227.0,340.0
020012707,117.0,140.0,257.0
020012708,130.0,122.0,252.0
020012709,164.0,152.0,316.0
020012710,161.0,80.0,241.0
020012801,121.0,96.0,217.0
020012802,140.0,188.0,328.0
020012803,121.0,117.0,238.0
020012804,149.0,129.0,278.0
020012805,197.0,154.0,351.0
020012806,115.0,158.0,273.0
020012807,179.0,131.0,310.0
020012808,60.0,50.0,110.0
020012809,130.0,125.0,255.0
020012810,174.0,178.0,352.0
020012811,72.0,158.0,230.0
020012812,106.0,124.0,230.0
020012813,122.0,130.0,252.0
020012901,219.0,194.0,413.0
020012902,77.0,166.0,243.0
020012903,118.0,150.0,268.0
020012904,134.0,137.0,271.0
020012905,140.0,154.0,294.0
020012906,253.0,63.0,316.0
020012907,184.0,134.0,318.0
020012908,131.0,124.0,255.0
020012909,204.0,171.0,375.0
020020101,14.0,7.0,21.0
020020102,60.0,71.0,131.0
020020201,202.0,50.0,252.0
020020202,297.0,65.0,362.0
020020203,195.0,34.0,229.0
020020204,174.0,31.0,205.0
020020205,204.0,55.0,259.0
020020206,154.0,43.0,197.0
020020207,116.0,24.0,140.0
020020208,228.0,54.0,282.0
020020301,321.0,78.0,399.0
020020302,334.0,77.0,411.0
020020303,78.0,22.0,100.0
020020304,153.0,35.0,188.0
020020305,240.0,53.0,293.0
020020306,219.0,55.0,274.0
020020307,289.0,64.0,353.0
020020308,201.0,32.0,233.0
020020401,271.0,42.0,313.0
020020402,87.0,22.0,109.0
020020403,124.0,25.0,149.0
020020404,143.0,52.0,195.0
020020405,213.0,71.0,284.0
020020406,171.0,41.0,212.0
020020407,182.0,52.0,234.0
020020408,345.0,82.0,427.0
020020409,273.0,60.0,333.0
020020410,330.0,99.0,429.0
020020501,198.0,58.0,256.0
020020502,263.0,56.0,319.0
020020503,189.0,66.0,255.0
020020504,161.0,65.0,226.0
020020505,264.0,60.0,324.0
020020506,269.0,59.0,328.0
020020507,269.0,60.0,329.0
020020508,250.0,78.0,328.0
020020509,206.0,65.0,271.0
020020601,139.0,36.0,175.0
020020602,442.0,130.0,572.0
020020603,183.0,43.0,226.0
020020604,261.0,72.0,333.0
020020605,146.0,37.0,183.0
020020606,232.0,86.0,318.0
020020607,143.0,32.0,175.0
020020608,158.0,61.0,219.0
020020609,216.0,60.0,276.0
020020610,176.0,52.0,228.0
020020701,471.0,102.0,573.0
020020702,397.0,96.0,493.0
020020703,290.0,71.0,361.0
020020704,217.0,50.0,267.0
020020705,196.0,48.0,244.0
020020706,208.0,63.0,271.0
020020707,327.0,82.0,409.0
020020708,127.0,44.0,171.0
020020709,212.0,66.0,278.0
020020801,271.0,76.0,347.0
020020802,245.0,61.0,306.0
020020803,367.0,90.0,457.0
020020804,397.0,81.0,478.0
020020805,325.0,88.0,413.0
020020806,496.0,128.0,624.0
020020807,554.0,150.0,704.0
020020808,285.0,72.0,357.0
020020901,331.0,68.0,399.0
020020902,178.0,40.0,218.0
020020903,349.0,102.0,451.0
020020904,378.0,83.0,461.0
020020905,396.0,92.0,488.0
020020906,356.0,85.0,441.0
020020907,383.0,89.0,472.0
020020908,532.0,117.0,649.0
020020909,438.0,112.0,550.0
020021001,396.0,122.0,518.0
020021002,276.0,90.0,366.0
020021003,175.0,34.0,209.0
020021004,271.0,73.0,344.0
020021005,327.0,99.0,426.0
020021006,262.0,59.0,321.0
020021007,382.0,101.0,483.0
020021008,349.0,94.0,443.0
020021009,228.0,70.0,298.0
020021101,490.0,131.0,621.0
020021102,195.0,46.0,241.0
020021103,564.0,108.0,672.0
020021104,536.0,131.0,667.0
020021105,133.0,36.0,169.0
020021106,252.0,53.0,305.0
020021201,358.0,77.0,435.0
020021202,323.0,79.0,402.0
020021203,365.0,91.0,456.0
020021204,552.0,152.0,704.0
020021205,497.0,118.0,615.0
020021206,412.0,86.0,498.0
020021301,494.0,101.0,595.0
020021302,341.0,77.0,418.0
020021303,418.0,98.0,516.0
020021304,449.0,106.0,555.0
020021305,532.0,115.0,647.0
020021306,314.0,68.0,382.0
020021307,497.0,137.0,634.0
020021401,197.0,51.0,248.0
020021402,243.0,63.0,306.0
020021403,132.0,43.0,175.0
020021404,303.0,66.0,369.0
020021405,391.0,108.0,499.0
020021406,430.0,102.0,532.0
020021407,246.0,100.0,346.0
020021408,290.0,90.0,380.0
020021409,487.0,114.0,601.0
020021410,431.0,106.0,537.0
020021501,208.0,56.0,264.0
020021502,302.0,86.0,388.0
020021503,522.0,108.0,630.0
020021504,250.0,60.0,310.0
020021505,208.0,58.0,266.0
020021506,229.0,57.0,286.0
020021507,288.0,79.0,367.0
020021508,270.0,69.0,339.0
020021601,251.0,69.0,320.0
020021602,246.0,62.0,308.0
020021603,243.0,62.0,305.0
020021604,238.0,46.0,284.0
020021605,293.0,92.0,385.0
020021606,247.0,70.0,317.0
020021607,274.0,84.0,358.0
020021608,150.0,46.0,196.0
020021701,458.0,113.0,571.0
020021702,301.0,81.0,382.0
020021703,357.0,97.0,454.0
020021704,123.0,45.0,168.0
020021705,241.0,49.0,290.0
020021706,348.0,104.0,452.0
020021707,446.0,131.0,577.0
020021708,351.0,133.0,484.0
020021709,290.0,76.0,366.0
020021801,348.0,109.0,457.0
020021802,434.0,114.0,548.0
020021803,312.0,85.0,397.0
020021804,203.0,64.0,267.0
020021805,190.0,60.0,250.0
020021806,283.0,82.0,365.0
020021807,210.0,67.0,277.0
020021808,232.0,103.0,335.0
020021901,310.0,82.0,392.0
020021902,244.0,62.0,306.0
020021903,247.0,58.0,305.0
020021904,378.0,120.0,498.0
020021905,278.0,83.0,361.0
020021906,332.0,92.0,424.0
020021907,243.0,81.0,324.0
020021908,281.0,96.0,377.0
020022001,361.0,96.0,457.0
020022002,340.0,106.0,446.0
020022003,288.0,84.0,372.0
020022004,300.0,85.0,385.0
020022005,206.0,45.0,251.0
020022006,264.0,90.0,354.0
020022007,198.0,49.0,247.0
020022008,260.0,41.0,301.0
020022101,375.0,86.0,461.0
020022102,355.0,87.0,442.0
020022103,289.0,79.0,368.0
020022104,430.0,100.0,530.0
020022105,426.0,82.0,508.0
020022106,385.0,96.0,481.0
020022201,299.0,69.0,368.0
020022202,220.0,61.0,281.0
020022203,173.0,32.0,205.0
020022204,381.0,102.0,483.0
020022205,447.0,81.0,528.0
020022206,452.0,105.0,557.0
020022301,346.0,89.0,435.0
020022302,399.0,112.0,511.0
020022303,364.0,77.0,441.0
020022304,293.0,87.0,380.0
020022305,247.0,48.0,295.0
020022306,161.0,42.0,203.0
020022307,177.0,60.0,237.0
020022308,143.0,44.0,187.0
020022309,385.0,77.0,462.0
020022401,363.0,87.0,450.0
020022402,278.0,99.0,377.0
020022403,277.0,58.0,335.0
020022404,356.0,107.0,463.0
020022405,402.0,104.0,506.0
020022406,366.0,102.0,468.0
020022501,263.0,49.0,312.0
020022502,277.0,72.0,349.0
020022503,124.0,51.0,175.0
020022504,335.0,92.0,427.0
020022505,364.0,105.0,469.0
020022506,220.0,133.0,353.0
020022507,307.0,79.0,386.0
020022508,460.0,63.0,523.0
020022509,340.0,71.0,411.0
020022510,226.0,73.0,299.0
020022511,370.0,127.0,497.0
020030101,347.0,139.0,486.0
020030102,310.0,108.0,418.0
020030103,348.0,119.0,467.0
020030104,166.0,82.0,248.0
020030105,237.0,135.0,372.0
020030106,158.0,104.0,262.0
020030107,136.0,194.0,330.0
020030108,78.0,108.0,186.0
020030109,154.0,73.0,227.0
020030110,90.0,100.0,190.0
020030111,137.0,92.0,229.0
020030201,246.0,77.0,323.0
020030202,234.0,99.0,333.0
020030203,219.0,117.0,336.0
020030204,216.0,70.0,286.0
020030205,238.0,131.0,369.0
020030206,227.0,139.0,366.0
020030207,255.0,163.0,418.0
020030208,231.0,123.0,354.0
020030209,212.0,99.0,311.0
020030210,127.0,66.0,193.0
020030211,171.0,85.0,256.0
020030212,242.0,121.0,363.0
020030301,343.0,133.0,476.0
020030302,257.0,116.0,373.0
020030303,188.0,71.0,259.0
020030304,154.0,58.0,212.0
020030305,179.0,66.0,245.0
020030306,218.0,84.0,302.0
020030307,199.0,108.0,307.0
020030308,190.0,73.0,263.0
020030309,116.0,43.0,159.0
020030310,189.0,197.0,386.0
020030311,183.0,122.0,305.0
020030401,272.0,82.0,354.0
020030402,147.0,67.0,214.0
020030403,219.0,60.0,279.0
020030404,228.0,97.0,325.0
020030405,176.0,111.0,287.0
020030406,216.0,91.0,307.0
020030407,202.0,67.0,269.0
020030408,182.0,89.0,271.0
020030501,265.0,105.0,370.0
020030502,230.0,61.0,291.0
020030503,357.0,112.0,469.0
020030504,178.0,84.0,262.0
020030505,258.0,71.0,329.0
020030506,180.0,35.0,215.0
020030507,293.0,75.0,368.0
020030601,248.0,106.0,354.0
020030602,121.0,54.0,175.0
020030603,242.0,69.0,311.0
020030604,245.0,75.0,320.0
020030605,212.0,116.0,328.0
020030606,186.0,69.0,255.0
020030607,234.0,78.0,312.0
020030701,95.0,41.0,136.0
020030702,298.0,108.0,406.0
020030703,315.0,134.0,449.0
020030704,279.0,89.0,368.0
020030705,195.0,73.0,268.0
020030706,197.0,86.0,283.0
020030707,341.0,162.0,503.0
020030708,109.0,49.0,158.0
020030709,261.0,141.0,402.0
020030801,224.0,97.0,321.0
020030802,155.0,57.0,212.0
020030803,252.0,89.0,341.0
020030804,176.0,40.0,216.0
020030805,152.0,63.0,215.0
020030806,142.0,61.0,203.0
020030807,115.0,51.0,166.0
020030808,133.0,73.0,206.0
020030809,206.0,98.0,304.0
020030810,161.0,92.0,253.0
020030901,253.0,131.0,384.0
020030902,157.0,49.0,206.0
020030903,232.0,110.0,342.0
020030904,281.0,127.0,408.0
020030905,140.0,79.0,219.0
020030906,126.0,69.0,195.0
020030907,148.0,137.0,285.0
020030908,164.0,144.0,308.0
020030909,255.0,115.0,370.0
020030910,191.0,132.0,323.0
020031001,220.0,155.0,375.0
020031002,207.0,113.0,320.0
020031003,164.0,92.0,256.0
020031004,222.0,76.0,298.0
020031005,147.0,55.0,202.0
020031006,240.0,147.0,387.0
020031007,211.0,128.0,339.0
020031008,161.0,113.0,274.0
020031101,272.0,95.0,367.0
020031102,282.0,166.0,448.0
020031103,209.0,166.0,375.0
020031104,274.0,111.0,385.0
020031105,228.0,88.0,316.0
020031106,236.0,172.0,408.0
020031107,292.0,143.0,435.0
020031108,197.0,86.0,283.0
020031201,236.0,114.0,350.0
020031202,286.0,139.0,425.0
020031203,156.0,153.0,309.0
020031204,166.0,79.0,245.0
020031205,351.0,140.0,491.0
020031206,36.0,27.0,63.0
020031207,304.0,152.0,456.0
020031208,156.0,133.0,289.0
020031209,148.0,66.0,214.0
020031210,186.0,171.0,357.0
020031301,188.0,116.0,304.0
020031302,196.0,153.0,349.0
020031303,251.0,142.0,393.0
020031304,119.0,85.0,204.0
020031305,207.0,121.0,328.0
020031306,220.0,102.0,322.0
020031307,163.0,88.0,251.0
020031308,128.0,109.0,237.0
020031309,238.0,127.0,365.0
020031310,139.0,156.0,295.0
020031311,193.0,74.0,267.0
020031401,163.0,175.0,338.0
020031402,248.0,168.0,416.0
020031403,276.0,178.0,454.0
020031404,194.0,104.0,298.0
020031405,173.0,188.0,361.0
020031406,351.0,160.0,511.0
020031407,179.0,80.0,259.0
020031408,185.0,125.0,310.0
020031409,14.0,24.0,38.0
020031410,193.0,118.0,311.0
020031501,200.0,82.0,282.0
020031502,250.0,149.0,399.0
020031503,181.0,89.0,270.0
020031504,235.0,99.0,334.0
020031505,252.0,127.0,379.0
020031506,219.0,139.0,358.0
020031507,367.0,224.0,591.0
020031508,395.0,222.0,617.0
020031509,67.0,48.0,115.0
020031601,214.0,152.0,366.0
020031602,339.0,164.0,503.0
020031603,226.0,162.0,388.0
020031604,123.0,54.0,177.0
020031605,139.0,122.0,261.0
020031606,149.0,123.0,272.0
020031607,189.0,111.0,300.0
020031608,198.0,137.0,335.0
020031609,379.0,114.0,493.0
020031701,154.0,113.0,267.0
020031702,173.0,149.0,322.0
020031703,121.0,86.0,207.0
020031704,143.0,184.0,327.0
020031705,156.0,161.0,317.0
020031706,185.0,138.0,323.0
020031707,239.0,104.0,343.0
020031708,198.0,177.0,375.0
020031709,173.0,106.0,279.0
020031801,128.0,119.0,247.0
020031802,176.0,126.0,302.0
020031803,123.0,66.0,189.0
020031804,243.0,134.0,377.0
020031805,98.0,72.0,170.0
020031806,130.0,117.0,247.0
020031807,180.0,92.0,272.0
020031808,148.0,106.0,254.0
020031809,239.0,153.0,392.0
020031810,135.0,73.0,208.0
020031811,172.0,77.0,249.0
020031901,368.0,148.0,516.0
020031902,84.0,68.0,152.0
020031903,192.0,117.0,309.0
020031904,194.0,101.0,295.0
020031905,211.0,133.0,344.0
020031906,223.0,113.0,336.0
020031907,230.0,176.0,406.0
020031908,306.0,186.0,492.0
020031909,197.0,106.0,303.0
020031910,152.0,79.0,231.0
020032001,154.0,154.0,308.0
020032002,284.0,158.0,442.0
020032003,183.0,129.0,312.0
020032004,190.0,100.0,290.0
020032005,137.0,95.0,232.0
020032006,104.0,82.0,186.0
020032007,230.0,116.0,346.0
020032008,196.0,177.0,373.0
020032009,270.0,187.0,457.0
020032010,178.0,108.0,286.0
020032011,155.0,84.0,239.0
020032101,261.0,115.0,376.0
020032102,256.0,141.0,397.0
020032103,204.0,101.0,305.0
020032104,209.0,135.0,344.0
020032105,125.0,92.0,217.0
020032106,209.0,174.0,383.0
020032107,125.0,74.0,199.0
020032108,200.0,113.0,313.0
020032109,116.0,72.0,188.0
020032110,253.0,155.0,408.0
020032201,207.0,130.0,337.0
020032202,184.0,108.0,292.0
020032203,82.0,93.0,175.0
020032204,177.0,69.0,246.0
020032205,237.0,118.0,355.0
020032206,183.0,113.0,296.0
020032207,178.0,152.0,330.0
020032208,242.0,129.0,371.0
020032209,209.0,161.0,370.0
020032301,201.0,123.0,324.0
020032302,231.0,114.0,345.0
020032303,246.0,120.0,366.0
020032304,104.0,85.0,189.0
020032305,163.0,127.0,290.0
020032306,157.0,83.0,240.0
020032307,154.0,115.0,269.0
