Código,Sí,No,Total
020080308,69.0,445.0,514.0
020080309,160.0,401.0,561.0
020080310,131.0,335.0,466.0
020080401,141.0,143.0,284.0
020080402,120.0,94.0,214.0
020080403,128.0,92.0,220.0
020080404,118.0,105.0,223.0
020080405,197.0,135.0,332.0
020080406,198.0,152.0,350.0
020080407,151.0,124.0,275.0
020080408,150.0,128.0,278.0
020080409,167.0,91.0,258.0
020080410,190.0,116.0,306.0
020080411,164.0,88.0,252.0
020080501,171.0,106.0,277.0
020080502,143.0,119.0,262.0
020080503,136.0,131.0,267.0
020080504,160.0,129.0,289.0
020080505,104.0,97.0,201.0
020080506,159.0,123.0,282.0
020080507,175.0,159.0,334.0
020080508,144.0,110.0,254.0
020080509,203.0,95.0,298.0
020080510,285.0,126.0,411.0
020080511,216.0,103.0,319.0
020080601,203.0,99.0,302.0
020080602,270.0,127.0,397.0
020080603,280.0,121.0,401.0
020080604,145.0,88.0,233.0
020080605,190.0,130.0,320.0
020080606,156.0,161.0,317.0
020080607,103.0,101.0,204.0
020080608,157.0,84.0,241.0
020080609,167.0,117.0,284.0
020080610,114.0,101.0,215.0
020080611,76.0,123.0,199.0
020080701,136.0,219.0,355.0
020080702,132.0,324.0,456.0
020080703,128.0,353.0,481.0
020080704,89.0,337.0,426.0
020080705,76.0,431.0,507.0
020080706,62.0,311.0,373.0
020080707,90.0,526.0,616.0
020080708,86.0,353.0,439.0
020080709,140.0,624.0,764.0
020080710,65.0,206.0,271.0
020080711,122.0,279.0,401.0
020080712,183.0,207.0,390.0
020080713,118.0,258.0,376.0
020080714,35.0,505.0,540.0
020080801,162.0,117.0,279.0
020080802,194.0,114.0,308.0
020080803,144.0,91.0,235.0
020080804,200.0,99.0,299.0
020080805,124.0,116.0,240.0
020080806,192.0,128.0,320.0
020080807,210.0,97.0,307.0
020080808,148.0,58.0,206.0
020080809,143.0,89.0,232.0
020080810,176.0,112.0,288.0
020080811,199.0,139.0,338.0
020080901,151.0,120.0,271.0
020080902,184.0,114.0,298.0
020080903,210.0,141.0,351.0
020080904,115.0,71.0,186.0
020080905,238.0,146.0,384.0
020080906,155.0,138.0,293.0
020080907,157.0,103.0,260.0
020080908,152.0,106.0,258.0
020080909,187.0,127.0,314.0
020081001,180.0,98.0,278.0
020081002,138.0,98.0,236.0
020081003,221.0,159.0,380.0
020081004,458.0,261.0,719.0
020081005,470.0,371.0,841.0
020081006,335.0,243.0,578.0
020081007,328.0,213.0,541.0
020081008,150.0,168.0,318.0
020081101,536.0,373.0,909.0
020081102,424.0,292.0,716.0
020081103,630.0,426.0,1056.0
020081104,416.0,227.0,643.0
020081105,222.0,227.0,449.0
020081201,180.0,125.0,305.0
020081202,243.0,113.0,356.0
020081203,190.0,140.0,330.0
020081204,160.0,141.0,301.0
020081205,223.0,118.0,341.0
020081206,165.0,84.0,249.0
020081207,158.0,120.0,278.0
020081301,1.0,4.0,5.0
020081302,61.0,56.0,117.0
020081303,159.0,151.0,310.0
020081304,152.0,179.0,331.0
020081305,156.0,159.0,315.0
020081306,118.0,102.0,220.0
020081307,126.0,126.0,252.0
020081308,148.0,149.0,297.0
020081401,109.0,342.0,451.0
020081402,102.0,262.0,364.0
020081403,195.0,317.0,512.0
020081404,155.0,536.0,691.0
020081405,169.0,212.0,381.0
020081406,121.0,127.0,248.0
020081407,152.0,145.0,297.0
020081408,143.0,116.0,259.0
020081409,153.0,181.0,334.0
020081410,136.0,174.0,310.0
020081501,113.0,620.0,733.0
020081502,122.0,504.0,626.0
020081503,176.0,468.0,644.0
020081504,65.0,157.0,222.0
020081505,224.0,633.0,857.0
020081506,75.0,153.0,228.0
020081507,79.0,173.0,252.0
020081508,84.0,262.0,346.0
020081509,163.0,343.0,506.0
020081510,182.0,203.0,385.0
020081601,137.0,161.0,298.0
020081602,78.0,104.0,182.0
020081603,132.0,157.0,289.0
020081604,115.0,150.0,265.0
020081605,146.0,148.0,294.0
020081606,114.0,153.0,267.0
020081607,143.0,131.0,274.0
020081608,118.0,118.0,236.0
020081609,140.0,136.0,276.0
020081610,148.0,128.0,276.0
020081701,154.0,69.0,223.0
020081702,144.0,77.0,221.0
020081703,184.0,143.0,327.0
020081704,199.0,91.0,290.0
020081705,121.0,52.0,173.0
020090101,126.0,80.0,206.0
020090102,123.0,61.0,184.0
020090103,161.0,100.0,261.0
020090104,164.0,104.0,268.0
020090105,166.0,128.0,294.0
020090106,152.0,136.0,288.0
020090107,160.0,97.0,257.0
020090108,161.0,108.0,269.0
020090109,211.0,132.0,343.0
020090201,223.0,126.0,349.0
020090202,197.0,104.0,301.0
020090203,220.0,109.0,329.0
020090204,296.0,118.0,414.0
020090205,309.0,119.0,428.0
020090206,168.0,87.0,255.0
020090207,228.0,72.0,300.0
020090208,172.0,73.0,245.0
020090209,268.0,90.0,358.0
020090210,219.0,86.0,305.0
020090211,213.0,127.0,340.0
020090212,142.0,81.0,223.0
020090301,103.0,157.0,260.0
020090302,139.0,112.0,251.0
020090303,141.0,98.0,239.0
020090304,172.0,68.0,240.0
020090305,159.0,112.0,271.0
020090306,198.0,100.0,298.0
020090307,207.0,109.0,316.0
020090308,199.0,80.0,279.0
020090309,173.0,84.0,257.0
020090310,213.0,70.0,283.0
020090311,200.0,94.0,294.0
020090312,152.0,61.0,213.0
020090313,169.0,143.0,312.0
020090401,226.0,135.0,361.0
020090402,202.0,122.0,324.0
020090403,222.0,120.0,342.0
020090404,205.0,124.0,329.0
020090405,232.0,122.0,354.0
020090406,151.0,100.0,251.0
020090407,160.0,110.0,270.0
020090408,179.0,90.0,269.0
020090409,171.0,84.0,255.0
020090410,203.0,87.0,290.0
020090411,226.0,115.0,341.0
020090501,205.0,104.0,309.0
020090502,208.0,114.0,322.0
020090503,170.0,91.0,261.0
020090504,189.0,113.0,302.0
020090505,256.0,128.0,384.0
020090506,203.0,111.0,314.0
020090507,203.0,111.0,314.0
020090508,204.0,88.0,292.0
020090509,209.0,121.0,330.0
020090510,216.0,101.0,317.0
020090511,202.0,114.0,316.0
020090601,268.0,138.0,406.0
020090602,183.0,76.0,259.0
020090603,190.0,180.0,370.0
020090604,204.0,137.0,341.0
020090605,274.0,136.0,410.0
020090606,153.0,106.0,259.0
020090607,249.0,124.0,373.0
020090608,178.0,102.0,280.0
020090609,290.0,79.0,369.0
020090610,193.0,150.0,343.0
020090611,181.0,126.0,307.0
020090612,187.0,96.0,283.0
020090701,178.0,91.0,269.0
020090702,202.0,98.0,300.0
020090703,142.0,78.0,220.0
020090704,179.0,63.0,242.0
020090705,177.0,80.0,257.0
020090706,197.0,110.0,307.0
020090707,159.0,73.0,232.0
020090708,169.0,106.0,275.0
020090709,203.0,110.0,313.0
020090710,144.0,100.0,244.0
020090711,165.0,113.0,278.0
020090712,205.0,110.0,315.0
020090713,207.0,116.0,323.0
020090714,189.0,108.0,297.0
020090801,185.0,102.0,287.0
020090802,193.0,101.0,294.0
020090803,200.0,93.0,293.0
020090804,192.0,94.0,286.0
020090805,193.0,135.0,328.0
020090806,204.0,144.0,348.0
020090807,191.0,137.0,328.0
020090808,206.0,127.0,333.0
020090809,153.0,95.0,248.0
020090810,171.0,152.0,323.0
020090811,180.0,143.0,323.0
020090812,197.0,134.0,331.0
020090813,127.0,78.0,205.0
020090901,173.0,109.0,282.0
020090902,155.0,112.0,267.0
020090903,241.0,154.0,395.0
020090904,117.0,89.0,206.0
020090905,155.0,105.0,260.0
020090906,203.0,100.0,303.0
020090907,235.0,124.0,359.0
020090908,113.0,92.0,205.0
020090909,148.0,108.0,256.0
020090910,180.0,104.0,284.0
020090911,159.0,116.0,275.0
020090912,148.0,77.0,225.0
020090913,127.0,81.0,208.0
020090914,231.0,79.0,310.0
020091001,182.0,116.0,298.0
020091002,219.0,117.0,336.0
020091003,208.0,120.0,328.0
020091004,146.0,91.0,237.0
020091005,240.0,102.0,342.0
020091006,183.0,97.0,280.0
020091007,147.0,101.0,248.0
020091008,225.0,97.0,322.0
020091009,113.0,57.0,170.0
020091010,194.0,110.0,304.0
020091011,155.0,89.0,244.0
020091012,125.0,99.0,224.0
020091101,288.0,141.0,429.0
020091102,241.0,112.0,353.0
020091103,182.0,108.0,290.0
020091104,237.0,130.0,367.0
020091105,284.0,110.0,394.0
020091106,217.0,109.0,326.0
020091107,234.0,148.0,382.0
020091108,202.0,109.0,311.0
020091109,204.0,109.0,313.0
020091110,210.0,96.0,306.0
020091111,207.0,121.0,328.0
020091112,241.0,167.0,408.0
020091201,196.0,141.0,337.0
020091202,107.0,84.0,191.0
020091203,185.0,98.0,283.0
020091204,186.0,110.0,296.0
020091205,179.0,110.0,289.0
020091206,193.0,144.0,337.0
020091207,159.0,90.0,249.0
020091208,200.0,119.0,319.0
020091209,188.0,104.0,292.0
020091210,220.0,122.0,342.0
020091211,176.0,131.0,307.0
020091212,122.0,107.0,229.0
020091301,186.0,128.0,314.0
020091302,228.0,175.0,403.0
020091303,233.0,168.0,401.0
020091304,158.0,91.0,249.0
020091305,158.0,141.0,299.0
020091306,171.0,129.0,300.0
020091307,189.0,166.0,355.0
020091401,223.0,164.0,387.0
020091402,184.0,120.0,304.0
020091403,129.0,133.0,262.0
020091404,100.0,148.0,248.0
020091405,134.0,314.0,448.0
020091406,198.0,439.0,637.0
020091407,111.0,226.0,337.0
020091408,126.0,292.0,418.0
020091409,124.0,124.0,248.0
020091410,138.0,335.0,473.0
020091501,110.0,104.0,214.0
020091502,155.0,132.0,287.0
020091503,172.0,118.0,290.0
020091504,162.0,109.0,271.0
020091505,180.0,137.0,317.0
020091506,213.0,122.0,335.0
020091507,193.0,154.0,347.0
020091508,163.0,118.0,281.0
020091509,140.0,153.0,293.0
020091510,119.0,107.0,226.0
020091511,179.0,131.0,310.0
020091601,173.0,136.0,309.0
020091602,174.0,140.0,314.0
020091603,104.0,122.0,226.0
020091604,129.0,114.0,243.0
020091605,160.0,120.0,280.0
020091606,203.0,123.0,326.0
020091607,179.0,156.0,335.0
020091608,173.0,126.0,299.0
020091609,205.0,134.0,339.0
020091610,171.0,126.0,297.0
020091611,127.0,120.0,247.0
020091612,141.0,117.0,258.0
020091613,137.0,158.0,295.0
020100101,162.0,88.0,250.0
020100102,224.0,129.0,353.0
020100103,239.0,102.0,341.0
020100104,199.0,95.0,294.0
020100105,155.0,103.0,258.0
020100106,195.0,113.0,308.0
020100107,183.0,73.0,256.0
020100108,246.0,107.0,353.0
020100201,234.0,119.0,353.0
020100202,178.0,79.0,257.0
020100203,167.0,77.0,244.0
020100204,209.0,94.0,303.0
020100205,201.0,95.0,296.0
020100206,299.0,92.0,391.0
020100207,233.0,107.0,340.0
020100208,229.0,87.0,316.0
020100301,160.0,62.0,222.0
020100302,197.0,93.0,290.0
020100303,222.0,71.0,293.0
020100304,161.0,57.0,218.0
020100305,192.0,91.0,283.0
020100306,170.0,107.0,277.0
020100307,247.0,95.0,342.0
020100308,239.0,105.0,344.0
020100401,289.0,80.0,369.0
020100402,310.0,91.0,401.0
020100403,209.0,91.0,300.0
020100404,207.0,80.0,287.0
020100405,198.0,87.0,285.0
020100406,173.0,61.0,234.0
020100407,211.0,90.0,301.0
020100408,186.0,78.0,264.0
020100409,196.0,108.0,304.0
020100501,162.0,81.0,243.0
020100502,181.0,111.0,292.0
020100503,244.0,109.0,353.0
020100504,204.0,119.0,323.0
020100505,195.0,104.0,299.0
020100506,221.0,118.0,339.0
020100507,188.0,118.0,306.0
020100508,236.0,121.0,357.0
020100509,172.0,91.0,263.0
020100510,195.0,101.0,296.0
020100511,174.0,73.0,247.0
020100512,186.0,79.0,265.0
020100513,195.0,93.0,288.0
020100514,176.0,93.0,269.0
020100601,154.0,77.0,231.0
020100602,162.0,85.0,247.0
020100603,257.0,131.0,388.0
020100604,217.0,102.0,319.0
020100605,243.0,110.0,353.0
020100606,214.0,84.0,298.0
020100607,208.0,76.0,284.0
020100608,241.0,98.0,339.0
020100609,247.0,110.0,357.0
020100610,264.0,154.0,418.0
020100611,197.0,83.0,280.0
020100612,186.0,79.0,265.0
020100613,256.0,139.0,395.0
020100701,264.0,116.0,380.0
020100702,309.0,98.0,407.0
020100703,301.0,169.0,470.0
020100704,296.0,137.0,433.0
020100705,210.0,154.0,364.0
020100706,232.0,110.0,342.0
020100707,409.0,106.0,515.0
020100708,271.0,113.0,384.0
020100709,243.0,96.0,339.0
020100710,280.0,121.0,401.0
020100801,297.0,108.0,405.0
020100802,274.0,151.0,425.0
020100803,192.0,127.0,319.0
020100804,249.0,118.0,367.0
020100805,207.0,95.0,302.0
020100806,210.0,80.0,290.0
020100807,317.0,107.0,424.0
020100808,288.0,118.0,406.0
020100809,174.0,90.0,264.0
020100901,216.0,113.0,329.0
020100902,216.0,105.0,321.0
020100903,210.0,93.0,303.0
020100904,204.0,105.0,309.0
020100905,213.0,89.0,302.0
020100906,223.0,118.0,341.0
020100907,222.0,90.0,312.0
020100908,173.0,86.0,259.0
020100909,184.0,66.0,250.0
020100910,192.0,86.0,278.0
020101001,179.0,101.0,280.0
020101002,251.0,99.0,350.0
020101003,245.0,72.0,317.0
020101004,204.0,79.0,283.0
020101005,223.0,89.0,312.0
020101006,242.0,72.0,314.0
020101007,218.0,90.0,308.0
020101008,169.0,85.0,254.0
020101009,220.0,130.0,350.0
020101010,179.0,82.0,261.0
020101011,191.0,113.0,304.0
020101012,209.0,137.0,346.0
020101101,208.0,101.0,309.0
020101102,278.0,155.0,433.0
020101103,225.0,129.0,354.0
020101104,231.0,158.0,389.0
020101105,198.0,103.0,301.0
020101106,100.0,82.0,182.0
020101107,224.0,151.0,375.0
020101108,214.0,128.0,342.0
020101109,240.0,139.0,379.0
020101110,189.0,105.0,294.0
020101111,143.0,108.0,251.0
020101201,255.0,88.0,343.0
020101202,263.0,105.0,368.0
020101203,163.0,133.0,296.0
020101204,124.0,117.0,241.0
020101205,98.0,87.0,185.0
020101206,131.0,82.0,213.0
020101207,150.0,88.0,238.0
020101208,211.0,100.0,311.0
020101209,205.0,101.0,306.0
020101210,155.0,90.0,245.0
020101301,158.0,68.0,226.0
020101302,172.0,83.0,255.0
020101303,159.0,102.0,261.0
020101304,162.0,86.0,248.0
020101305,217.0,97.0,314.0
020101306,191.0,86.0,277.0
020101307,164.0,89.0,253.0
020101308,214.0,76.0,290.0
020101309,191.0,90.0,281.0
020101310,151.0,78.0,229.0
020101311,198.0,89.0,287.0
020101312,181.0,86.0,267.0
020101401,214.0,120.0,334.0
020101402,217.0,98.0,315.0
020101403,191.0,131.0,322.0
020101404,223.0,72.0,295.0
020101405,196.0,66.0,262.0
020101406,152.0,53.0,205.0
020101407,212.0,79.0,291.0
020101408,168.0,84.0,252.0
020101409,244.0,92.0,336.0
020101410,230.0,111.0,341.0
020101411,161.0,97.0,258.0
020101501,150.0,110.0,260.0
020101502,230.0,117.0,347.0
020101503,134.0,68.0,202.0
020101504,163.0,83.0,246.0
020101505,207.0,91.0,298.0
020101506,157.0,91.0,248.0
020101507,139.0,84.0,223.0
020101508,236.0,135.0,371.0
020101509,334.0,122.0,456.0
020101601,185.0,81.0,266.0
020101602,257.0,151.0,408.0
020101603,169.0,113.0,282.0
020101604,259.0,85.0,344.0
020101605,273.0,114.0,387.0
020101606,246.0,109.0,355.0
020101607,190.0,99.0,289.0
020101608,200.0,111.0,311.0
020101609,211.0,126.0,337.0
020101701,214.0,99.0,313.0
020101702,240.0,132.0,372.0
020101703,234.0,125.0,359.0
020101704,315.0,63.0,378.0
020101705,253.0,112.0,365.0
020101706,213.0,93.0,306.0
020101707,193.0,95.0,288.0
020101708,177.0,69.0,246.0
020101709,167.0,72.0,239.0
020101710,199.0,69.0,268.0
020101801,198.0,80.0,278.0
020101802,178.0,92.0,270.0
020101803,205.0,129.0,334.0
020101804,261.0,133.0,394.0
020101805,179.0,95.0,274.0
020101806,169.0,110.0,279.0
020101807,201.0,162.0,363.0
020101808,139.0,44.0,183.0
020101809,343.0,115.0,458.0
020101810,120.0,70.0,190.0
020101811,147.0,77.0,224.0
020101812,218.0,79.0,297.0
020101901,140.0,120.0,260.0
020101902,234.0,194.0,428.0
020101903,194.0,157.0,351.0
020101904,206.0,131.0,337.0
020101905,237.0,108.0,345.0
020101906,179.0,163.0,342.0
020101907,215.0,113.0,328.0
020101908,133.0,82.0,215.0
020101909,172.0,102.0,274.0
020101910,223.0,167.0,390.0
020101911,233.0,109.0,342.0
020101912,304.0,125.0,429.0
020110101,236.0,88.0,324.0
020110102,247.0,92.0,339.0
020110103,167.0,80.0,247.0
020110104,239.0,77.0,316.0
020110105,160.0,61.0,221.0
020110106,198.0,80.0,278.0
020110107,181.0,71.0,252.0
020110108,204.0,91.0,295.0
020110109,226.0,78.0,304.0
020110110,242.0,98.0,340.0
020110111,301.0,101.0,402.0
020110112,205.0,61.0,266.0
020110201,220.0,66.0,286.0
020110202,275.0,86.0,361.0
020110203,210.0,76.0,286.0
020110204,173.0,50.0,223.0
020110205,306.0,83.0,389.0
020110206,283.0,74.0,357.0
020110207,262.0,50.0,312.0
020110208,230.0,72.0,302.0
020110209,183.0,55.0,238.0
020110210,294.0,54.0,348.0
020110211,260.0,68.0,328.0
020110301,201.0,63.0,264.0
020110302,241.0,51.0,292.0
020110303,183.0,57.0,240.0
020110304,166.0,44.0,210.0
020110305,182.0,51.0,233.0
020110306,218.0,68.0,286.0
020110307,227.0,56.0,283.0
020110308,225.0,74.0,299.0
020110309,225.0,73.0,298.0
020110310,248.0,69.0,317.0
020110311,192.0,61.0,253.0
020110312,220.0,62.0,282.0
020110401,221.0,63.0,284.0
020110402,236.0,61.0,297.0
020110403,173.0,48.0,221.0
020110404,246.0,49.0,295.0
020110405,237.0,71.0,308.0
020110406,179.0,62.0,241.0
020110407,216.0,63.0,279.0
020110408,220.0,62.0,282.0
020110409,240.0,69.0,309.0
020110410,194.0,87.0,281.0
020110411,235.0,78.0,313.0
020110412,264.0,88.0,352.0
020110413,234.0,93.0,327.0
020110501,173.0,69.0,242.0
020110502,238.0,77.0,315.0
020110503,257.0,96.0,353.0
020110504,177.0,75.0,252.0
020110505,230.0,109.0,339.0
020110506,221.0,98.0,319.0
020110507,209.0,71.0,280.0
020110508,208.0,99.0,307.0
020110509,201.0,91.0,292.0
020110510,224.0,110.0,334.0
020110601,220.0,97.0,317.0
020110602,261.0,89.0,350.0
020110603,240.0,107.0,347.0
020110604,243.0,90.0,333.0
020110605,194.0,110.0,304.0
020110606,204.0,102.0,306.0
020110607,219.0,89.0,308.0
020110608,186.0,98.0,284.0
020110609,188.0,114.0,302.0
020110610,175.0,96.0,271.0
020110611,197.0,116.0,313.0
020110701,94.0,77.0,171.0
020110702,222.0,105.0,327.0
020110703,218.0,79.0,297.0
020110704,235.0,90.0,325.0
020110705,236.0,113.0,349.0
020110706,218.0,73.0,291.0
020110707,212.0,61.0,273.0
020110708,176.0,73.0,249.0
020110709,209.0,87.0,296.0
020110710,217.0,75.0,292.0
020110711,215.0,108.0,323.0
020110712,188.0,118.0,306.0
020110801,265.0,82.0,347.0
020110802,240.0,97.0,337.0
020110803,149.0,61.0,210.0
020110804,214.0,115.0,329.0
020110805,193.0,72.0,265.0
020110806,294.0,85.0,379.0
020110807,255.0,89.0,344.0
020110808,271.0,84.0,355.0
020110809,267.0,98.0,365.0
020110901,244.0,71.0,315.0
020110902,247.0,65.0,312.0
020110903,305.0,74.0,379.0
020110904,195.0,59.0,254.0
020110905,219.0,89.0,308.0
020110906,181.0,67.0,248.0
020110907,229.0,82.0,311.0
020110908,266.0,64.0,330.0
020110909,171.0,75.0,246.0
020110910,256.0,96.0,352.0
020110911,174.0,84.0,258.0
020110912,189.0,108.0,297.0
020111001,227.0,88.0,315.0
020111002,284.0,100.0,384.0
020111003,228.0,89.0,317.0
020111004,290.0,74.0,364.0
020111005,280.0,106.0,386.0
020111006,327.0,131.0,458.0
020111007,307.0,93.0,400.0
020111008,235.0,83.0,318.0
020111009,256.0,63.0,319.0
020111010,201.0,80.0,281.0
020111101,213.0,80.0,293.0
020111102,231.0,77.0,308.0
020111103,244.0,81.0,325.0
020111104,71.0,31.0,102.0
020111105,246.0,89.0,335.0
020111106,269.0,126.0,395.0
020111107,221.0,84.0,305.0
020111108,199.0,116.0,315.0
020111109,203.0,93.0,296.0
020111201,169.0,64.0,233.0
020111202,167.0,68.0,235.0
020111203,262.0,98.0,360.0
020111204,189.0,83.0,272.0
020111205,189.0,56.0,245.0
020111206,235.0,85.0,320.0
020111207,181.0,75.0,256.0
020111208,189.0,83.0,272.0
020111209,161.0,78.0,239.0
020111210,165.0,95.0,260.0
020111301,242.0,104.0,346.0
020111302,252.0,135.0,387.0
020111303,207.0,114.0,321.0
020111304,230.0,115.0,345.0
020111305,244.0,149.0,393.0
020111306,266.0,107.0,373.0
020111307,209.0,90.0,299.0
020111308,200.0,81.0,281.0
020111309,273.0,97.0,370.0
020111310,163.0,87.0,250.0
020111311,239.0,97.0,336.0
020111401,252.0,112.0,364.0
020111402,227.0,105.0,332.0
020111403,258.0,107.0,365.0
020111404,196.0,83.0,279.0
020111405,243.0,85.0,328.0
020111406,277.0,132.0,409.0
020111407,475.0,221.0,696.0
020111501,251.0,97.0,348.0
020111502,238.0,86.0,324.0
020111503,232.0,136.0,368.0
020111504,259.0,96.0,355.0
020111505,238.0,90.0,328.0
020111506,237.0,76.0,313.0
020111507,201.0,78.0,279.0
020111508,239.0,133.0,372.0
020111509,225.0,112.0,337.0
020111510,242.0,88.0,330.0
020111511,286.0,143.0,429.0
020111601,237.0,82.0,319.0
020111602,256.0,103.0,359.0
020111603,190.0,77.0,267.0
020111604,180.0,72.0,252.0
020111605,195.0,93.0,288.0
020111606,258.0,75.0,333.0
020111607,231.0,119.0,350.0
020111608,267.0,126.0,393.0
020111609,178.0,78.0,256.0
020111610,162.0,73.0,235.0
020111701,188.0,102.0,290.0
020111702,200.0,86.0,286.0
020111703,237.0,99.0,336.0
020111704,234.0,90.0,324.0
020111705,209.0,86.0,295.0
020111706,290.0,117.0,407.0
020111707,234.0,94.0,328.0
020111708,203.0,118.0,321.0
020111801,209.0,70.0,279.0
020111802,225.0,78.0,303.0
020111803,229.0,81.0,310.0
020111804,235.0,132.0,367.0
020111805,216.0,102.0,318.0
020111806,415.0,106.0,521.0
020111807,216.0,106.0,322.0
020111808,221.0,125.0,346.0
020111809,210.0,94.0,304.0
020111901,152.0,68.0,220.0
020111902,245.0,77.0,322.0
020111903,204.0,75.0,279.0
020111904,241.0,94.0,335.0
020111905,208.0,97.0,305.0
020111906,243.0,98.0,341.0
020111907,223.0,96.0,319.0
020111908,193.0,108.0,301.0
020111909,214.0,129.0,343.0
020112001,248.0,107.0,355.0
020112002,223.0,93.0,316.0
020112003,251.0,136.0,387.0
020112004,232.0,71.0,303.0
020112005,234.0,94.0,328.0
020112006,171.0,96.0,267.0
020112007,161.0,71.0,232.0
020112008,127.0,60.0,187.0
020112009,224.0,35.0,259.0
020112010,208.0,84.0,292.0
020112011,174.0,78.0,252.0
020112101,206.0,116.0,322.0
020112102,180.0,89.0,269.0
020112103,271.0,152.0,423.0
020112104,226.0,91.0,317.0
020112105,268.0,122.0,390.0
020112106,255.0,127.0,382.0
020112107,191.0,79.0,270.0
020112108,176.0,79.0,255.0
020112109,186.0,32.0,218.0
020112110,202.0,89.0,291.0
020112111,263.0,111.0,374.0
020112201,233.0,110.0,343.0
020112202,221.0,135.0,356.0
020112203,247.0,113.0,360.0
020112204,167.0,98.0,265.0
020112205,227.0,80.0,307.0
020112206,282.0,125.0,407.0
020112207,234.0,111.0,345.0
020112208,189.0,80.0,269.0
020112209,191.0,78.0,269.0
020112210,213.0,93.0,306.0
020112211,178.0,70.0,248.0
020120101,134.0,57.0,191.0
020120102,164.0,32.0,196.0
020120103,144.0,43.0,187.0
020120104,235.0,78.0,313.0
020120105,154.0,61.0,215.0
020120106,198.0,88.0,286.0
020120107,263.0,97.0,360.0
020120108,140.0,42.0,182.0
020120109,236.0,119.0,355.0
020120110,250.0,111.0,361.0
020120111,266.0,108.0,374.0
020120201,265.0,106.0,371.0
020120202,208.0,108.0,316.0
020120203,253.0,140.0,393.0
020120204,270.0,109.0,379.0
020120205,303.0,98.0,401.0
020120206,236.0,107.0,343.0
020120207,226.0,93.0,319.0
020120208,261.0,84.0,345.0
020120301,69.0,35.0,104.0
020120302,159.0,90.0,249.0
020120303,197.0,73.0,270.0
020120304,191.0,76.0,267.0
020120305,196.0,96.0,292.0
020120306,231.0,215.0,446.0
020120307,287.0,91.0,378.0
020120308,164.0,89.0,253.0
020120309,178.0,44.0,222.0
020120310,242.0,63.0,305.0
020120311,210.0,79.0,289.0
020120401,197.0,80.0,277.0
020120402,207.0,80.0,287.0
020120403,328.0,90.0,418.0
020120404,232.0,63.0,295.0
020120405,185.0,64.0,249.0
020120406,214.0,83.0,297.0
020120407,344.0,155.0,499.0
020120408,212.0,74.0,286.0
020120409,159.0,65.0,224.0
020120410,170.0,73.0,243.0
020120501,174.0,37.0,211.0
020120502,193.0,90.0,283.0
020120503,480.0,63.0,543.0
020120504,218.0,59.0,277.0
020120505,261.0,87.0,348.0
020120506,237.0,64.0,301.0
020120507,262.0,65.0,327.0
020120508,336.0,85.0,421.0
020120509,251.0,60.0,311.0
020120510,207.0,77.0,284.0
020120511,238.0,93.0,331.0
020120601,225.0,95.0,320.0
020120602,265.0,88.0,353.0
020120603,200.0,57.0,257.0
020120604,260.0,89.0,349.0
020120605,300.0,86.0,386.0
020120606,303.0,77.0,380.0
020120607,237.0,95.0,332.0
020120608,218.0,69.0,287.0
020120609,229.0,73.0,302.0
020120610,239.0,77.0,316.0
020120701,244.0,74.0,318.0
020120702,240.0,69.0,309.0
020120703,251.0,74.0,325.0
020120704,270.0,88.0,358.0
020120705,220.0,69.0,289.0
020120706,258.0,89.0,347.0
020120707,241.0,60.0,301.0
020120708,266.0,99.0,365.0
020120709,450.0,107.0,557.0
020120710,363.0,113.0,476.0
020120801,444.0,104.0,548.0
020120802,216.0,57.0,273.0
020120803,261.0,64.0,325.0
020120804,203.0,59.0,262.0
020120805,246.0,98.0,344.0
020120806,264.0,88.0,352.0
020120807,290.0,73.0,363.0
020120808,362.0,53.0,415.0
020120809,317.0,78.0,395.0
020120810,247.0,43.0,290.0
020120811,219.0,43.0,262.0
020120901,239.0,90.0,329.0
020120902,286.0,134.0,420.0
020120903,277.0,106.0,383.0
020120904,290.0,102.0,392.0
020120905,247.0,111.0,358.0
020120906,265.0,112.0,377.0
020120907,211.0,96.0,307.0
020121001,277.0,89.0,366.0
020121002,300.0,90.0,390.0
020121003,201.0,84.0,285.0
020121004,209.0,61.0,270.0
020121005,254.0,44.0,298.0
020121006,256.0,97.0,353.0
020121007,222.0,72.0,294.0
020121008,364.0,113.0,477.0
020121009,215.0,103.0,318.0
020121010,188.0,109.0,297.0
020121011,255.0,88.0,343.0
020121101,242.0,86.0,328.0
020121102,179.0,88.0,267.0
020121103,174.0,79.0,253.0
020121104,273.0,70.0,343.0
020121105,201.0,102.0,303.0
020121106,235.0,83.0,318.0
020121107,244.0,86.0,330.0
020121108,259.0,81.0,340.0
020121109,292.0,81.0,373.0
020121110,221.0,61.0,282.0
020121111,211.0,66.0,277.0
020121201,203.0,69.0,272.0
020121202,392.0,108.0,500.0
020121203,417.0,92.0,509.0
020121204,265.0,90.0,355.0
020121205,257.0,71.0,328.0
020121206,196.0,64.0,260.0
020121207,281.0,105.0,386.0
020121208,198.0,69.0,267.0
020121301,301.0,106.0,407.0
020121302,291.0,97.0,388.0
020121303,581.0,140.0,721.0
020121304,382.0,143.0,525.0
020121305,358.0,116.0,474.0
020121306,313.0,82.0,395.0
020121307,168.0,81.0,249.0
020121401,273.0,96.0,369.0
020121402,286.0,114.0,400.0
020121403,233.0,75.0,308.0
