,Código,Con personas presentes,Con todas las personas temporalmente ausentes,En alquiler o venta,En construcción,"Se usa como comercio, oficina o consultorio","Se usa para vacaciones, fin de semana u otro uso temporal",Por otra razón,Total
25,0200126,2168.0,325.0,124.0,7.0,52.0,10.0,164.0,2850.0
26,0200127,2604.0,331.0,95.0,8.0,48.0,8.0,151.0,3245.0
27,0200128,3362.0,271.0,95.0,11.0,32.0,8.0,164.0,3943.0
28,0200129,2603.0,241.0,92.0,17.0,22.0,2.0,98.0,3075.0
29,0200201,128.0,0.0,0.0,0.0,0.0,0.0,3.0,131.0
30,0200202,1855.0,415.0,93.0,11.0,71.0,26.0,187.0,2658.0
31,0200203,2189.0,711.0,183.0,9.0,240.0,69.0,231.0,3632.0
32,0200204,2600.0,933.0,376.0,25.0,206.0,103.0,230.0,4473.0
33,0200205,2539.0,765.0,167.0,57.0,130.0,124.0,239.0,4021.0
34,0200206,2641.0,562.0,135.0,6.0,627.0,97.0,399.0,4467.0
35,0200207,2994.0,833.0,251.0,18.0,482.0,128.0,246.0,4952.0
36,0200208,3608.0,967.0,267.0,18.0,145.0,136.0,268.0,5409.0
37,0200209,3999.0,1020.0,305.0,16.0,249.0,132.0,269.0,5990.0
38,0200210,3331.0,895.0,182.0,15.0,176.0,84.0,240.0,4923.0
39,0200211,2583.0,636.0,166.0,6.0,168.0,58.0,172.0,3789.0
40,0200212,2954.0,675.0,145.0,6.0,151.0,47.0,262.0,4240.0
41,0200213,3565.0,888.0,212.0,14.0,180.0,81.0,318.0,5258.0
42,0200214,3851.0,1016.0,224.0,10.0,284.0,104.0,223.0,5712.0
43,0200215,2820.0,663.0,222.0,13.0,199.0,78.0,212.0,4207.0
44,0200216,2392.0,614.0,220.0,29.0,300.0,167.0,274.0,3996.0
45,0200217,3599.0,1052.0,294.0,19.0,611.0,167.0,350.0,6092.0
46,0200218,2804.0,682.0,180.0,8.0,479.0,64.0,239.0,4456.0
47,0200219,2927.0,697.0,175.0,8.0,127.0,58.0,152.0,4144.0
48,0200220,2718.0,569.0,124.0,8.0,63.0,34.0,279.0,3795.0
49,0200221,2662.0,570.0,195.0,12.0,151.0,27.0,209.0,3826.0
50,0200222,2399.0,643.0,160.0,5.0,180.0,62.0,145.0,3594.0
51,0200223,3094.0,636.0,236.0,8.0,271.0,108.0,335.0,4688.0
52,0200224,2550.0,440.0,117.0,4.0,136.0,47.0,287.0,3581.0
53,0200225,4067.0,993.0,314.0,12.0,187.0,67.0,293.0,5933.0
54,0200301,3290.0,556.0,210.0,20.0,91.0,27.0,220.0,4414.0
55,0200302,3661.0,544.0,217.0,23.0,242.0,33.0,377.0,5097.0
56,0200303,3077.0,552.0,103.0,19.0,155.0,17.0,305.0,4228.0
57,0200304,2134.0,379.0,105.0,5.0,289.0,16.0,233.0,3161.0
58,0200305,2226.0,696.0,141.0,12.0,237.0,60.0,183.0,3555.0
59,0200306,1939.0,404.0,191.0,6.0,263.0,76.0,237.0,3116.0
60,0200307,2865.0,739.0,203.0,5.0,446.0,33.0,274.0,4565.0
61,0200308,2324.0,366.0,103.0,0.0,353.0,37.0,169.0,3352.0
62,0200309,2752.0,482.0,90.0,18.0,41.0,15.0,197.0,3595.0
63,0200310,2374.0,296.0,161.0,3.0,166.0,16.0,218.0,3234.0
64,0200311,2876.0,403.0,156.0,28.0,319.0,47.0,213.0,4042.0
65,0200312,2978.0,571.0,161.0,1.0,142.0,36.0,227.0,4116.0
66,0200313,3087.0,504.0,136.0,4.0,83.0,41.0,220.0,4075.0
67,0200314,3207.0,387.0,178.0,33.0,54.0,26.0,235.0,4120.0
68,0200315,3234.0,634.0,163.0,1.0,109.0,57.0,223.0,4421.0
69,0200316,2981.0,373.0,97.0,10.0,53.0,19.0,200.0,3733.0
70,0200317,2612.0,347.0,100.0,8.0,23.0,2.0,106.0,3198.0
71,0200318,2821.0,432.0,181.0,10.0,52.0,14.0,119.0,3629.0
72,0200319,3099.0,430.0,177.0,15.0,39.0,11.0,208.0,3979.0
73,0200320,3250.0,429.0,127.0,4.0,67.0,29.0,217.0,4123.0
74,0200321,3045.0,378.0,127.0,11.0,54.0,12.0,192.0,3819.0
75,0200322,2575.0,415.0,112.0,11.0,50.0,19.0,117.0,3299.0
76,0200323,2927.0,318.0,80.0,9.0,56.0,9.0,147.0,3546.0
77,0200324,2507.0,295.0,125.0,24.0,30.0,12.0,166.0,3159.0
78,0200325,2948.0,430.0,111.0,5.0,38.0,6.0,76.0,3614.0
79,0200326,2660.0,351.0,110.0,12.0,34.0,8.0,148.0,3323.0
80,0200327,2156.0,283.0,59.0,8.0,36.0,5.0,101.0,2648.0
81,0200401,2358.0,211.0,43.0,16.0,43.0,2.0,118.0,2791.0
82,0200402,2543.0,257.0,72.0,10.0,53.0,6.0,111.0,3052.0
83,0200403,3387.0,243.0,62.0,16.0,44.0,7.0,151.0,3910.0
84,0200404,3153.0,372.0,114.0,20.0,33.0,5.0,166.0,3863.0
85,0200405,3432.0,289.0,109.0,17.0,67.0,12.0,136.0,4062.0
