,Código,0 - 14,15 - 64,65 y más,Total
118,0200512,869.0,4733.0,1416.0,7018.0
119,0200513,1001.0,4919.0,1482.0,7402.0
120,0200514,1130.0,5454.0,1663.0,8247.0
121,0200515,999.0,5166.0,1499.0,7664.0
122,0200516,1473.0,6260.0,1484.0,9217.0
123,0200517,1307.0,5907.0,1463.0,8677.0
124,0200518,1330.0,5635.0,1387.0,8352.0
125,0200519,1287.0,6007.0,1570.0,8864.0
126,0200520,1870.0,7207.0,1610.0,10687.0
127,0200521,1325.0,5355.0,1305.0,7985.0
128,0200522,1992.0,7697.0,1729.0,11418.0
129,0200601,1530.0,6292.0,1522.0,9344.0
130,0200602,1575.0,6475.0,1457.0,9507.0
131,0200603,1333.0,5859.0,1402.0,8594.0
132,0200604,1296.0,5804.0,1423.0,8523.0
133,0200605,1263.0,5969.0,1630.0,8862.0
134,0200606,1139.0,5733.0,1645.0,8517.0
135,0200607,1345.0,6799.0,1735.0,9879.0
136,0200608,1140.0,5573.0,1424.0,8137.0
137,0200609,799.0,4235.0,1645.0,6679.0
138,0200610,962.0,5251.0,1652.0,7865.0
139,0200611,1088.0,5059.0,1215.0,7362.0
140,0200612,1078.0,5011.0,1458.0,7547.0
141,0200613,1146.0,5626.0,1610.0,8382.0
142,0200614,1226.0,5745.0,1436.0,8407.0
143,0200615,1264.0,5793.0,1393.0,8450.0
144,0200616,1738.0,7223.0,1559.0,10520.0
145,0200617,806.0,4314.0,1455.0,6575.0
146,0200618,819.0,4858.0,1865.0,7542.0
147,0200619,1092.0,5581.0,1750.0,8423.0
148,0200620,1110.0,5109.0,1423.0,7642.0
149,0200621,1387.0,6363.0,1569.0,9319.0
150,0200701,1355.0,4701.0,1264.0,7320.0
151,0200702,1630.0,5847.0,1460.0,8937.0
152,0200703,1555.0,6207.0,1578.0,9340.0
153,0200704,1442.0,6651.0,1749.0,9842.0
154,0200705,1050.0,4788.0,1713.0,7551.0
155,0200706,1066.0,4424.0,1505.0,6995.0
156,0200707,1189.0,4921.0,1819.0,7929.0
157,0200708,945.0,4223.0,1229.0,6397.0
158,0200709,1119.0,5060.0,1548.0,7727.0
159,0200710,944.0,4626.0,1617.0,7187.0
160,0200711,1092.0,5609.0,1915.0,8616.0
161,0200712,1035.0,4353.0,1304.0,6692.0
162,0200713,1548.0,6494.0,1835.0,9877.0
163,0200714,1955.0,7516.0,1744.0,11215.0
164,0200715,1945.0,6518.0,1622.0,10085.0
165,0200716,1420.0,5348.0,1203.0,7971.0
166,0200717,5174.0,10531.0,142.0,15847.0
167,0200718,4133.0,8294.0,284.0,12711.0
168,0200719,2401.0,5917.0,445.0,8763.0
169,0200720,2228.0,7865.0,1970.0,12063.0
170,0200721,1456.0,6449.0,1993.0,9898.0
171,0200722,1570.0,6667.0,1631.0,9868.0
172,0200723,1088.0,4665.0,1279.0,7032.0
173,0200724,1861.0,7112.0,1755.0,10728.0
174,0200801,6676.0,13538.0,678.0,20892.0
175,0200802,1680.0,4966.0,1250.0,7896.0
176,0200803,2660.0,6983.0,963.0,10606.0
177,0200804,1700.0,5727.0,1555.0,8982.0
178,0200805,1707.0,6040.0,1599.0,9346.0
179,0200806,1915.0,6377.0,1330.0,9622.0
180,0200807,8102.0,15703.0,463.0,24268.0
181,0200808,1556.0,5825.0,1513.0,8894.0
182,0200809,1376.0,4923.0,1336.0,7635.0
