,Código,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 y más,Total
81,020010801,8.0,13.0,8.0,15.0,38.0,41.0,22.0,21.0,21.0,11.0,22.0,18.0,25.0,32.0,16.0,13.0,11.0,10.0,5.0,2.0,352.0
82,020010802,29.0,27.0,33.0,59.0,119.0,134.0,95.0,62.0,61.0,73.0,94.0,103.0,124.0,112.0,59.0,35.0,50.0,41.0,7.0,7.0,1324.0
83,020010803,26.0,26.0,26.0,70.0,127.0,123.0,75.0,65.0,55.0,55.0,70.0,78.0,72.0,61.0,71.0,40.0,33.0,19.0,10.0,2.0,1104.0
84,020010804,18.0,12.0,12.0,25.0,65.0,81.0,65.0,27.0,30.0,26.0,38.0,40.0,46.0,23.0,15.0,21.0,24.0,12.0,8.0,4.0,592.0
85,020010805,8.0,6.0,11.0,12.0,75.0,79.0,60.0,45.0,40.0,47.0,40.0,35.0,34.0,25.0,25.0,19.0,16.0,7.0,5.0,0.0,589.0
86,020010806,39.0,28.0,30.0,55.0,101.0,124.0,104.0,67.0,75.0,71.0,75.0,79.0,66.0,61.0,44.0,41.0,44.0,23.0,10.0,7.0,1144.0
87,020010807,49.0,43.0,36.0,57.0,125.0,135.0,97.0,83.0,86.0,76.0,105.0,87.0,71.0,72.0,67.0,48.0,46.0,31.0,19.0,1.0,1334.0
88,020010808,17.0,8.0,23.0,37.0,39.0,44.0,28.0,24.0,25.0,33.0,24.0,27.0,31.0,13.0,24.0,15.0,15.0,12.0,5.0,2.0,446.0
89,020010809,35.0,28.0,23.0,60.0,63.0,65.0,44.0,36.0,36.0,22.0,32.0,36.0,36.0,34.0,34.0,40.0,29.0,19.0,14.0,5.0,691.0
90,020010810,11.0,13.0,14.0,12.0,45.0,46.0,61.0,23.0,27.0,41.0,31.0,24.0,18.0,32.0,17.0,13.0,12.0,4.0,1.0,0.0,445.0
91,020010901,11.0,7.0,9.0,11.0,19.0,25.0,35.0,25.0,19.0,19.0,12.0,24.0,12.0,14.0,21.0,9.0,12.0,5.0,2.0,1.0,292.0
