,Código,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 y más,Total
163,0200714,624.0,695.0,636.0,756.0,970.0,801.0,787.0,818.0,647.0,784.0,738.0,637.0,578.0,467.0,374.0,362.0,271.0,192.0,58.0,20.0,11215.0
164,0200715,655.0,635.0,655.0,661.0,766.0,792.0,740.0,698.0,630.0,568.0,601.0,575.0,487.0,498.0,377.0,326.0,254.0,118.0,41.0,8.0,10085.0
165,0200716,409.0,488.0,523.0,593.0,634.0,589.0,566.0,528.0,521.0,474.0,513.0,498.0,432.0,370.0,280.0,229.0,180.0,102.0,35.0,7.0,7971.0
166,0200717,2001.0,1580.0,1593.0,1560.0,2145.0,1945.0,1462.0,1202.0,933.0,622.0,365.0,188.0,109.0,63.0,44.0,19.0,9.0,6.0,1.0,0.0,15847.0
167,0200718,1571.0,1336.0,1226.0,1250.0,1509.0,1346.0,1202.0,926.0,676.0,478.0,367.0,304.0,236.0,145.0,66.0,43.0,16.0,9.0,5.0,0.0,12711.0
168,0200719,907.0,774.0,720.0,758.0,1028.0,932.0,714.0,547.0,456.0,468.0,451.0,350.0,213.0,170.0,107.0,98.0,47.0,19.0,4.0,0.0,8763.0
169,0200720,735.0,761.0,732.0,772.0,914.0,893.0,873.0,856.0,767.0,749.0,736.0,677.0,628.0,544.0,445.0,411.0,308.0,183.0,61.0,18.0,12063.0
170,0200721,511.0,492.0,453.0,458.0,621.0,701.0,859.0,741.0,644.0,603.0,641.0,612.0,569.0,552.0,445.0,385.0,318.0,197.0,81.0,15.0,9898.0
171,0200722,539.0,535.0,496.0,529.0,609.0,787.0,890.0,763.0,654.0,607.0,669.0,606.0,553.0,465.0,362.0,315.0,287.0,143.0,49.0,10.0,9868.0
172,0200723,384.0,364.0,340.0,337.0,483.0,498.0,577.0,611.0,478.0,420.0,422.0,442.0,397.0,327.0,262.0,243.0,244.0,130.0,58.0,15.0,7032.0
