longitud;latitud;fecha;calle;numero;m2;dolares;u_s_m2;fot;distrito_c;fuente_;cotiz;pesos;m2__pesos_;barrio;comuna
-58.5104;-34.658;2001-12-10;ALBERDI, J.B. AV.;6800;277;145000;523.5;0;C3 II;expoclasificado;1;145000;523.5;MATADEROS;9
-58.518;-34.6324;2001-12-10;ALCARAZ;6156;470;120000;255.3;0;R2b II;expoclasificado;1;120000;255.3;VERSAILLES;10
-58.5188;-34.6332;2001-12-10;ALCARAZ;6200;260;80000;307.7;0;C3 II;argenprop;1;80000;307.7;LINIERS;9
-58.4867;-34.6378;2001-12-10;OLIVERA;200;225;63000;280;0;C3 II;argenprop;1;63000;280;VELEZ SARFIELD;10
-58.5169;-34.6091;2001-12-10;ALLENDE;3500;606;295000;486.8;0;C3 II;argenprop;1;295000;486.8;VILLA DEVOTO;11
-58.5173;-34.6087;2001-12-10;ALLENDE;3550;588;295000;501.7;0;R1b I;argenprop;1;295000;501.7;VILLA DEVOTO;11
-58.5215;-34.604;2001-12-10;ALLENDE;4200;256;118000;460.9;0;R1b I;clarin;1;118000;460.9;VILLA DEVOTO;11
-58.363;-34.6304;2001-12-10;BROWN, ALMTE. AV.;622;292;140000;479.5;0;C3 I 2;argenprop;1;140000;479.5;BOCA;4
-58.363;-34.6305;2001-12-10;BROWN, ALMTE. AV.;630;292;60000;205.5;0;C3 I 2;argenprop;1;60000;205.5;BOCA;4
-58.3591;-34.6346;2001-12-10;BROWN, ALMTE. AV.;1120;765;200000;261.4;0;C3 I 2;argenprop;1;200000;261.4;BOCA;4
-58.3582;-34.6362;2001-12-10;BROWN, ALMTE. AV.;1320;110;70000;636.4;0;C3 I 2;argenprop;1;70000;636.4;BOCA;4
-58.4003;-34.6122;2001-12-10;ALSINA ADOLFO;2400;260;109000;419.2;0;R2a II;argenprop;1;109000;419.2;BALVANERA;3
-58.485;-34.5847;2001-12-10;ALTOLAGUIRRE;1600;168;79000;470.2;0;R1b I 3;argenprop;1;79000;470.2;AGRONOMIA;15
-58.5182;-34.6306;2001-12-10;ALVAREZ JONTE, Av.;6100;243;98000;403.3;0;R2b II;argenprop;1;98000;403.3;VERSAILLES;10
-58.5222;-34.6353;2001-12-10;ALVAREZ JONTE, Av.;6500;270;95000;351.9;0;E4;argenprop;1;95000;351.9;LINIERS;9
-58.4471;-34.5822;2001-12-10;ALVAREZ THOMAS, AV.;200;430;200000;465.1;0;U20;argenprop;1;200000;465.1;CHACARITA;15
-58.4553;-34.6232;2001-12-10;ALVAREZ DONATO, AV.;224;1620;550000;339.5;0;R2a II;clarin;1;550000;339.5;FLORES;7
-58.4555;-34.6229;2001-12-10;ALVAREZ DONATO, AV.;258;477;250000;524.1;0;R2a II;clarin;1;250000;524.1;FLORES;7
-58.4632;-34.6067;2001-12-10;ALVAREZ DONATO, AV.;1800;275;90000;327.3;0;R2b III;argenprop;1;90000;327.3;VILLA GENERAL MITRE;11
-58.4651;-34.6029;2001-12-10;ALVAREZ DONATO, AV.;2100;840;450000;535.7;0;C2;argenprop;1;450000;535.7;VILLA GENERAL MITRE;11
-58.4692;-34.5931;2001-12-10;ALVAREZ DONATO, AV.;3700;320;135000;421.9;0;R2b III;argenprop;1;135000;421.9;PATERNAL;15
-58.468;-34.5995;2001-12-10;ALVAREZ JONTE, Av.;1600;225;75000;333.3;0;E2;argenprop;1;75000;333.3;PATERNAL;15
-58.4352;-34.5999;2001-12-10;ALVAREZ JULIAN;500;134;148000;1104.5;0;R2a II;argenprop;1;148000;1104.5;VILLA CRESPO;15
-58.4331;-34.5986;2001-12-10;ALVAREZ JULIAN;700;452;260000;575.2;0;R2a II;argenprop;1;260000;575.2;VILLA CRESPO;15
-58.4757;-34.5773;2001-12-10;ALVAREZ THOMAS, AV.;2400;160;105000;656.3;0;R2b I;argenprop;1;105000;656.3;VILLA ORTUZAR;15
-58.4365;-34.6156;2001-12-10;AMBROSETTI;200;220;240000;1090.9;0;R2a II;argenprop;1;240000;1090.9;CABALLITO;6
