,BARRIO,CALLE,COMUNA,DOLARES,YEAR,FECHA,LAT,LON,M2,NUMERO,U_S_M2,CO_FRACC,CO_FRAC_RA
15866,BALVANERA,"GOMEZ, VALENTIN",3.0,470000.0,2014,2015/02/18,-34.6054393201,-58.4056814004,249.0,2800,1887.6,003_2,3_2_8
15867,BARRACAS,GONCALVES DIAS,4.0,165000.0,2014,2015/02/13,-34.648361686,-58.3797971629,225.0,500,733.3,004_23,4_23_2
15868,VILLA SANTA RITA,"GONZALEZ, ELPIDIO",11.0,200000.0,2014,2015/02/18,-34.6124423473,-58.4891663673,260.0,3400,769.2,011_15,11_15_3
15869,MONTE CASTRO,"GONZALEZ, ELPIDIO",10.0,240000.0,2014,2015/02/18,-34.6204031667,-58.4993665343,145.0,4500,1655.2,010_7,10_7_8
15870,MONTE CASTRO,"GONZALEZ, ELPIDIO",10.0,240000.0,2014,2015/02/18,-34.6204031667,-58.4993665343,230.0,4500,1043.5,010_7,10_7_8
15871,FLORESTA,"GONZALEZ, JOAQUIN V.",10.0,311000.0,2014,2015/02/18,-34.6308193642,-58.4797991324,150.0,200,2073.3,010_12,10_12_3
15872,VILLA SANTA RITA,"GONZALEZ, JOAQUIN V.",11.0,470000.0,2014,2015/02/18,-34.6209403718,-58.4871236093,720.0,1300,652.8,011_17,11_17_4
15873,VILLA SANTA RITA,"GONZALEZ, JOAQUIN V.",11.0,495000.0,2014,2015/02/18,-34.6149372841,-58.4946486298,290.0,2000,1706.9,011_14,11_14_7
15874,VILLA DEL PARQUE,"GONZALEZ, JOAQUIN V.",11.0,390000.0,2014,,-34.6143091501,-58.4954400643,312.0,2100,1250.0,010_6,10_6_8
15875,VILLA DEL PARQUE,"GONZALEZ, JOAQUIN V.",11.0,850000.0,2014,,-34.611201121,-58.4981634139,600.0,2400,1416.7,010_6,10_6_7
15876,PALERMO,GORRITI,14.0,650000.0,2014,2015/02/19,-34.595337495,-58.4184855687,381.0,3800,1706.0,014_23,14_23_7
15877,PALERMO,GORRITI,14.0,550000.0,2014,2015/02/19,-34.5952321593,-58.4212542996,385.0,4000,1428.6,014_22,14_22_10
15878,PALERMO,GORRITI,14.0,420000.0,2014,2015/02/19,-34.5920960339,-58.4267330796,208.0,4600,2019.2,014_21,14_21_3
15879,PALERMO,GORRITI,14.0,1800000.0,2014,2015/02/19,-34.5906003666,-58.4290562107,500.0,4800,3600.0,014_21,14_21_3
15880,PALERMO,GORRITI,14.0,700000.0,2014,2015/02/19,-34.589298076,-58.4310836684,217.0,5000,3225.8,014_13,14_13_7
15881,PALERMO,GORRITI,14.0,900000.0,2014,2015/02/19,-34.589298076,-58.4310836684,430.0,5000,2093.0,014_13,14_13_7
15882,PALERMO,GORRITI,14.0,850000.0,2014,2015/02/19,-34.5848373715,-58.4370585049,320.0,5600,2656.3,014_7,14_7_6
15883,CABALLITO,"GOYENA, PEDRO",6.0,550000.0,2014,,-34.6262896483,-58.4404609428,300.0,900,1833.3,006_16,6_16_2
15884,CABALLITO,"GOYENA, PEDRO",6.0,1540000.0,2014,,-34.627047444,-58.4455244635,1068.0,1300,1441.9,006_14,6_14_6
15885,CABALLITO,"GOYENA, PEDRO",6.0,1620000.0,2014,2015/02/19,-34.6273412575,-58.4470641267,1070.0,1400,1514.0,006_14,6_14_8
15886,PATERNAL,"GRANADA, NICOLAS",15.0,197000.0,2014,2015/02/19,-34.6030266113,-58.4612898698,150.0,1600,1313.3,015_8,15_8_6
15887,FLORES,GRANADEROS,7.0,570000.0,2014,2015/02/18,-34.6198172996,-58.4626069078,369.0,700,1544.7,007_3,7_3_6
15888,FLORES,GRANADEROS,7.0,420000.0,2014,2015/02/18,-34.6185705257,-58.4632145925,254.0,800,1653.5,007_3,7_3_3
15863,VILLA ORTUZAR,GIRARDOT,15.0,170000.0,2014,,-34.5868648826,-58.4671580835,150.0,1500,1133.3,015_4,15_4_11
15861,BOEDO,GIBSON,5.0,240000.0,2014,,-34.6383468841,-58.4199308983,416.0,4000,576.9,005_22,5_22_11
15834,SAN CRISTOBAL,"GARAY, JUAN DE",3.0,295000.0,2014,2015/02/19,-34.6279483649,-58.3968046122,600.0,2300,491.7,003_23,3_23_9
15860,VILLA PUEYRREDON,GAVILAN,12.0,260000.0,2014,,-34.5804420525,-58.494905146,150.0,4800,1733.3,012_20,12_20_8
15835,SAN CRISTOBAL,"GARAY, JUAN DE",3.0,500000.0,2014,2015/02/19,-34.6282660871,-58.3985854281,300.0,2400,1666.7,003_27,3_27_7
